,nct_id,canonical_BioLinkBERT-base_interventions,snomed_termid,linkbert_snomed_term_canonical_interventions,linkbert_cdist_interventions,Top_Concept,Top_Concept_Canonical,Top_Concept_Canonical_First
19029,NCT02348632,(r)-2-amino-3 phenylpropylcarbamate hydrochloride,734474001,Donepezil hydrochloride monohydrate (substance),12.8185,"[123682001, 59431004]","['Piperidine (substance)', 'Ketone (substance)']",Piperidine (substance)
19034,NCT02351115,alprazolam,386983007,Alprazolam (substance),0.0031,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
19035,NCT02351115,staccato alprazolam,386983007,Alprazolam (substance),9.339,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
19037,NCT02351544,botulinum toxin a,108890005,Botulinum toxin type A (substance),1.3702,"[111117008, 372666009]","['Bacterial agent (substance)', 'Skeletal muscle relaxant (substance)']",Bacterial agent (substance)
19039,NCT02351869,midazolam,373476007,Midazolam (substance),0.0044,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
19083,NCT02360046,hydrocortisone,396458002,Hydrocortisone (substance),0.0,"[304275008, 79580006]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Adrenal hormone (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
19093,NCT02362321,dexamethasone,372584003,Dexamethasone (substance),0.0,"[304275008, 126090008, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Pregnane (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
19105,NCT02363738,infliximab,386891004,Infliximab (substance),0.0,"[68498002, 372823004]","['Antibody (substance)', 'Immunosuppressant (substance)']",Antibody (substance)
19141,NCT02373449,ketamine,373464007,Ketamine (substance),0.0,"[373469002, 59431004, 373265006]","['Hallucinogenic agent (substance)', 'Ketone (substance)', 'Analgesic (substance)']",Hallucinogenic agent (substance)
19163,NCT02383004,acetaminophen,387517004,Paracetamol (substance),0.0082,"[417551008, 373265006]","['Acetamide (substance)', 'Analgesic (substance)']",Acetamide (substance)
19165,NCT02383004,midazolam,373476007,Midazolam (substance),0.0044,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
19180,NCT02386475,serotonin,33635003,Serotonin (substance),0.0059,"[44719008, 35069000]","['Mediator of immune response (substance)', 'Neurotransmitter (substance)']",Mediator of immune response (substance)
19203,NCT02391571,methadone,387286002,Methadone (substance),0.0,"[373265006, 59431004]","['Analgesic (substance)', 'Ketone (substance)']",Analgesic (substance)
19208,NCT02393339,acetaminophen,387517004,Paracetamol (substance),0.0082,"[417551008, 373265006]","['Acetamide (substance)', 'Analgesic (substance)']",Acetamide (substance)
19210,NCT02393339,paracetamol,387517004,Paracetamol (substance),0.0074,"[417551008, 373265006]","['Acetamide (substance)', 'Analgesic (substance)']",Acetamide (substance)
19230,NCT02398136,ketamine,373464007,Ketamine (substance),0.0,"[373469002, 59431004, 373265006]","['Hallucinogenic agent (substance)', 'Ketone (substance)', 'Analgesic (substance)']",Hallucinogenic agent (substance)
19237,NCT02400619,botulinum toxin type a,108890005,Botulinum toxin type A (substance),0.0,"[111117008, 372666009]","['Bacterial agent (substance)', 'Skeletal muscle relaxant (substance)']",Bacterial agent (substance)
19240,NCT02401139,ketamine,373464007,Ketamine (substance),0.0,"[373469002, 59431004, 373265006]","['Hallucinogenic agent (substance)', 'Ketone (substance)', 'Analgesic (substance)']",Hallucinogenic agent (substance)
19242,NCT02402114,hydrocortisone,396458002,Hydrocortisone (substance),0.0,"[304275008, 79580006]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Adrenal hormone (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
19243,NCT02402530,neridronic acid,709047006,Medronic acid (substance),10.6814,"[50352000, 373301002]","['Organic phosphorus compound (substance)', 'Bone resorption inhibitor (substance)']",Organic phosphorus compound (substance)
19262,NCT02406066,oxazepam,387455006,Oxazepam (substance),0.0053,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
19302,NCT02414152,anakinra,385549000,Anakinra (substance),0.0044,"[373244000, 407073003]","['Immunologic agent (substance)', 'Recombinant protein (substance)']",Immunologic agent (substance)
19305,NCT02414932,ketamine,373464007,Ketamine (substance),0.0,"[373469002, 59431004, 373265006]","['Hallucinogenic agent (substance)', 'Ketone (substance)', 'Analgesic (substance)']",Hallucinogenic agent (substance)
19306,NCT02415062,donepezil,386855006,Donepezil (substance),0.0,"[123682001, 59431004]","['Piperidine (substance)', 'Ketone (substance)']",Piperidine (substance)
19311,NCT02415153,pomalidomide,703789000,Pomalidomide (substance),0.0,"[123682001, 373244000]","['Piperidine (substance)', 'Immunologic agent (substance)']",Piperidine (substance)
19317,NCT02418702,ketamine,373464007,Ketamine (substance),0.0,"[373469002, 59431004, 373265006]","['Hallucinogenic agent (substance)', 'Ketone (substance)', 'Analgesic (substance)']",Hallucinogenic agent (substance)
19320,NCT02419313,incobotulinumtoxina,703368006,IncobotulinumtoxinA (substance),0.0024,"[111117008, 372666009]","['Bacterial agent (substance)', 'Skeletal muscle relaxant (substance)']",Bacterial agent (substance)
19321,NCT02419378,alemtuzumab,129472003,Alemtuzumab (substance),0.0094,"[68498002, 372823004]","['Antibody (substance)', 'Immunosuppressant (substance)']",Antibody (substance)
19330,NCT02422290,ketamine,373464007,Ketamine (substance),0.0,"[373469002, 59431004, 373265006]","['Hallucinogenic agent (substance)', 'Ketone (substance)', 'Analgesic (substance)']",Hallucinogenic agent (substance)
19331,NCT02422303,ketamine,373464007,Ketamine (substance),0.0,"[373469002, 59431004, 373265006]","['Hallucinogenic agent (substance)', 'Ketone (substance)', 'Analgesic (substance)']",Hallucinogenic agent (substance)
19333,NCT02423018,pregabalin,415160008,Pregabalin (substance),0.0,"[226355009, 373265006]","['Nutrients (substance)', 'Analgesic (substance)']",Nutrients (substance)
19345,NCT02423694,escitalopram oxalate,412384000,Escitalopram oxalate (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
19356,NCT02424396,aldesleukin,386917000,Aldesleukin (substance),0.0065,"[44719008, 407073003]","['Mediator of immune response (substance)', 'Recombinant protein (substance)']",Mediator of immune response (substance)
19357,NCT02424396,human interleukin-2,897192009,Recombinant interleukin 2 (substance),3.6165,"[44719008, 407073003]","['Mediator of immune response (substance)', 'Recombinant protein (substance)']",Mediator of immune response (substance)
19359,NCT02424435,methylprednisolone,116593003,Methylprednisolone (substance),0.0062,"[304275008, 126090008]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Pregnane (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
19364,NCT02425202,ketamine,373464007,Ketamine (substance),0.0,"[373469002, 59431004, 373265006]","['Hallucinogenic agent (substance)', 'Ketone (substance)', 'Analgesic (substance)']",Hallucinogenic agent (substance)
19379,NCT02427646,botulinum toxin type a,108890005,Botulinum toxin type A (substance),0.0,"[111117008, 372666009]","['Bacterial agent (substance)', 'Skeletal muscle relaxant (substance)']",Bacterial agent (substance)
19380,NCT02427646,incobotulinumtoxina,703368006,IncobotulinumtoxinA (substance),0.0024,"[111117008, 372666009]","['Bacterial agent (substance)', 'Skeletal muscle relaxant (substance)']",Bacterial agent (substance)
19384,NCT02428478,desipramine,372705002,Desipramine (substance),0.0052,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
19385,NCT02428478,tricyclic antidepressant,373253007,Tricyclic antidepressant (substance),0.0,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
19389,NCT02428491,hep b vaccine,66071002,Viral hepatitis type B (disorder),8.9908,"[34014006, 128241005]","['Viral disease (disorder)', 'Inflammatory disease of liver (disorder)']",Viral disease (disorder)
19390,NCT02428491,hepatitis b vaccine,66071002,Viral hepatitis type B (disorder),7.2348,"[34014006, 128241005]","['Viral disease (disorder)', 'Inflammatory disease of liver (disorder)']",Viral disease (disorder)
19391,NCT02428491,hexaxim,395767008,Lenograstim (substance),12.3098,"[372559001, 407073003]","['Colony stimulating factor (substance)', 'Recombinant protein (substance)']",Colony stimulating factor (substance)
19394,NCT02428972,fentanyl,373492002,Fentanyl (substance),0.0063,"[123682001, 373265006]","['Piperidine (substance)', 'Analgesic (substance)']",Piperidine (substance)
19397,NCT02428972,remifentanil,386839004,Remifentanil (substance),0.0,"[123682001, 373265006]","['Piperidine (substance)', 'Analgesic (substance)']",Piperidine (substance)
19400,NCT02429453,fresh frozen plasma,116203006,Platelet rich plasma (substance),12.3068,"[762634006, 33463005]","['Acellular blood (substance)', 'Liquid substance (substance)']",Acellular blood (substance)
19402,NCT02429453,phylloquinone,66656000,Phytomenadione (substance),9.6383,"[226355009, 59431004]","['Nutrients (substance)', 'Ketone (substance)']",Nutrients (substance)
19414,NCT02431663,ketamine,373464007,Ketamine (substance),0.0,"[373469002, 59431004, 373265006]","['Hallucinogenic agent (substance)', 'Ketone (substance)', 'Analgesic (substance)']",Hallucinogenic agent (substance)
19415,NCT02431663,midazolam,373476007,Midazolam (substance),0.0044,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
19440,NCT02433353,venlafaxine xr,372490001,Venlafaxine (substance),6.1785,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
19443,NCT02434549,botulinum toxin-a,108890005,Botulinum toxin type A (substance),1.4915,"[111117008, 372666009]","['Bacterial agent (substance)', 'Skeletal muscle relaxant (substance)']",Bacterial agent (substance)
19457,NCT02436031,desipramine,372705002,Desipramine (substance),0.0052,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
19458,NCT02436031,tricyclic antidepressant,373253007,Tricyclic antidepressant (substance),0.0,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
19463,NCT02437253,adalimumab,407317001,Adalimumab (substance),0.0,"[68498002, 373244000]","['Antibody (substance)', 'Immunologic agent (substance)']",Antibody (substance)
19483,NCT02442713,tricyclic antidepressants,373253007,Tricyclic antidepressant (substance),3.0197,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
19484,NCT02442739,ketamine,373464007,Ketamine (substance),0.0,"[373469002, 59431004, 373265006]","['Hallucinogenic agent (substance)', 'Ketone (substance)', 'Analgesic (substance)']",Hallucinogenic agent (substance)
19488,NCT02443142,acetaminophen,387517004,Paracetamol (substance),0.0082,"[417551008, 373265006]","['Acetamide (substance)', 'Analgesic (substance)']",Acetamide (substance)
19493,NCT02443194,duloxetine,407032004,Duloxetine (substance),0.0034,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
19501,NCT02448069,argatroban,116508003,Argatroban (substance),0.0,"[372862008, 420220000]","['Anticoagulant (substance)', 'Blood derivative (substance)']",Anticoagulant (substance)
19516,NCT02450786,donepezil,386855006,Donepezil (substance),0.0,"[123682001, 59431004]","['Piperidine (substance)', 'Ketone (substance)']",Piperidine (substance)
19519,NCT02451475,amitriptyline,372726002,Amitriptyline (substance),0.0024,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
19521,NCT02451475,paroxetine,372595009,Paroxetine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
19522,NCT02451475,pregabalin,415160008,Pregabalin (substance),0.0,"[226355009, 373265006]","['Nutrients (substance)', 'Analgesic (substance)']",Nutrients (substance)
19523,NCT02451475,venlafaxine,372490001,Venlafaxine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
19524,NCT02451696,everolimus,428698007,Everolimus (substance),0.0024,"[771577000, 59431004, 372823004]","['Lactam (substance)', 'Ketone (substance)', 'Immunosuppressant (substance)']",Lactam (substance)
19541,NCT02455401,remifentanil,386839004,Remifentanil (substance),0.0,"[123682001, 373265006]","['Piperidine (substance)', 'Analgesic (substance)']",Piperidine (substance)
19560,NCT02458469,buspirone,387523009,Buspirone (substance),0.0044,"[123682001, 373282008, 372614000]","['Piperidine (substance)', 'Anxiolytic agent (substance)', 'Sedative (substance)']",Piperidine (substance)
19574,NCT02460107,botulinum toxin a,108890005,Botulinum toxin type A (substance),1.3702,"[111117008, 372666009]","['Bacterial agent (substance)', 'Skeletal muscle relaxant (substance)']",Bacterial agent (substance)
19575,NCT02460107,botulinum toxin type a,108890005,Botulinum toxin type A (substance),0.0,"[111117008, 372666009]","['Bacterial agent (substance)', 'Skeletal muscle relaxant (substance)']",Bacterial agent (substance)
19581,NCT02462109,lorazepam,387106007,Lorazepam (substance),0.002,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
19597,NCT02463110,serotonin,33635003,Serotonin (substance),0.0059,"[44719008, 35069000]","['Mediator of immune response (substance)', 'Neurotransmitter (substance)']",Mediator of immune response (substance)
19602,NCT02464124,lactulose,273945008,Lactulose (substance),0.0052,"[226355009, 372800002]","['Nutrients (substance)', 'Laxative (substance)']",Nutrients (substance)
19605,NCT02465853,hyaluronic acid,38218009,Hyaluronic acid (substance),0.0,"[82565009, 373545003]","['Mucopolysaccharide (substance)', 'Replacement agent (substance)']",Mucopolysaccharide (substance)
19623,NCT02467517,ketamine,373464007,Ketamine (substance),0.0,"[373469002, 59431004, 373265006]","['Hallucinogenic agent (substance)', 'Ketone (substance)', 'Analgesic (substance)']",Hallucinogenic agent (substance)
19625,NCT02468674,bimagrumab,278221000202100,Bimekizumab (substance),9.4491,"[68498002, 372823004]","['Antibody (substance)', 'Immunosuppressant (substance)']",Antibody (substance)
19634,NCT02469948,botulinum toxin type a,108890005,Botulinum toxin type A (substance),0.0,"[111117008, 372666009]","['Bacterial agent (substance)', 'Skeletal muscle relaxant (substance)']",Bacterial agent (substance)
19635,NCT02469948,btx-a,108890005,Botulinum toxin type A (substance),9.8607,"[111117008, 372666009]","['Bacterial agent (substance)', 'Skeletal muscle relaxant (substance)']",Bacterial agent (substance)
19649,NCT02472210,botulinum toxin type a,108890005,Botulinum toxin type A (substance),0.0,"[111117008, 372666009]","['Bacterial agent (substance)', 'Skeletal muscle relaxant (substance)']",Bacterial agent (substance)
19678,NCT02474407,diazepam,387264003,Diazepam (substance),0.0079,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
19707,NCT02483169,probucol,387178009,Probucol (substance),0.0,"[416908008, 373267003]","['Polyphenol (substance)', 'Antilipemic agent (substance)']",Polyphenol (substance)
19712,NCT02484027,rosuvastatin,700067006,Rosuvastatin (substance),0.0,"[373267003, 363549008]","['Antilipemic agent (substance)', 'Sulfone (substance)']",Antilipemic agent (substance)
19714,NCT02484170,mannitol,387168006,Mannitol (substance),0.0,"[226355009, 372695000]","['Nutrients (substance)', 'Diuretic (substance)']",Nutrients (substance)
19715,NCT02484170,menthol,387414008,Menthol (substance),0.0063,"[373477003, 415710007]","['Local anesthetic (substance)', 'Terpene (substance)']",Local anesthetic (substance)
19741,NCT02487082,donepezil,386855006,Donepezil (substance),0.0,"[123682001, 59431004]","['Piperidine (substance)', 'Ketone (substance)']",Piperidine (substance)
19744,NCT02487485,ketamine,373464007,Ketamine (substance),0.0,"[373469002, 59431004, 373265006]","['Hallucinogenic agent (substance)', 'Ketone (substance)', 'Analgesic (substance)']",Hallucinogenic agent (substance)
19745,NCT02487485,sirolimus,387014003,Sirolimus (substance),0.0,"[771577000, 59431004, 372823004]","['Lactam (substance)', 'Ketone (substance)', 'Immunosuppressant (substance)']",Lactam (substance)
19748,NCT02489292,hepastem,50045009,Heparin sodium (substance),13.3935,"[82565009, 372862008, 420220000]","['Mucopolysaccharide (substance)', 'Anticoagulant (substance)', 'Blood derivative (substance)']",Mucopolysaccharide (substance)
19750,NCT02489344,gz/sar402671,735231009,Sarilumab (substance),14.4024,"[68498002, 373244000]","['Antibody (substance)', 'Immunologic agent (substance)']",Antibody (substance)
19755,NCT02490501,heparin activated recombinant fibroblast growth factor 1,417092008,Recombinant human keratinocyte growth factor (substance),10.1881,"[417176000, 407073003]","['Growth substance (substance)', 'Recombinant protein (substance)']",Growth substance (substance)
19769,NCT02494024,c2n-8e12,23240005,Homologous restriction factor (substance),14.1066,"[40992002, 106195005]","['Lymphocyte antigen (substance)', 'Complement regulatory protein, membrane bound (substance)']",Lymphocyte antigen (substance)
19771,NCT02494778,pridopidine,78134008,Piminodine (substance),12.1416,"[123682001, 373265006]","['Piperidine (substance)', 'Analgesic (substance)']",Piperidine (substance)
19778,NCT02496884,ds-5565,387178009,Probucol (substance),14.2673,"[416908008, 373267003]","['Polyphenol (substance)', 'Antilipemic agent (substance)']",Polyphenol (substance)
19804,NCT02501434,heparin,372877000,Heparin (substance),0.0,"[82565009, 372862008, 420220000]","['Mucopolysaccharide (substance)', 'Anticoagulant (substance)', 'Blood derivative (substance)']",Mucopolysaccharide (substance)
19806,NCT02501941,ketamine,373464007,Ketamine (substance),0.0,"[373469002, 59431004, 373265006]","['Hallucinogenic agent (substance)', 'Ketone (substance)', 'Analgesic (substance)']",Hallucinogenic agent (substance)
19813,NCT02502253,grape seed polyphenolic extract,226492005,Grape juice (substance),10.4343,"[227416001, 229979003]","['Fresh fruit (substance)', 'General food and drink types (substance)']",Fresh fruit (substance)
19818,NCT02504008,zoledronic acid,395926009,Zoledronic acid (substance),0.0078,"[50352000, 373301002]","['Organic phosphorus compound (substance)', 'Bone resorption inhibitor (substance)']",Organic phosphorus compound (substance)
19822,NCT02504996,acetaminophen,387517004,Paracetamol (substance),0.0082,"[417551008, 373265006]","['Acetamide (substance)', 'Analgesic (substance)']",Acetamide (substance)
19824,NCT02504996,paracetamol,387517004,Paracetamol (substance),0.0074,"[417551008, 373265006]","['Acetamide (substance)', 'Analgesic (substance)']",Acetamide (substance)
19827,NCT02505802,abobotulinumtoxina,444619001,AbobotulinumtoxinA (substance),0.0028,"[111117008, 372666009]","['Bacterial agent (substance)', 'Skeletal muscle relaxant (substance)']",Bacterial agent (substance)
19828,NCT02505802,botulinum toxin a,108890005,Botulinum toxin type A (substance),1.3702,"[111117008, 372666009]","['Bacterial agent (substance)', 'Skeletal muscle relaxant (substance)']",Bacterial agent (substance)
19829,NCT02505802,incobotulinumtoxina,703368006,IncobotulinumtoxinA (substance),0.0024,"[111117008, 372666009]","['Bacterial agent (substance)', 'Skeletal muscle relaxant (substance)']",Bacterial agent (substance)
19830,NCT02505802,onabotulinumtoxina,444627005,OnabotulinumtoxinA (substance),0.0,"[111117008, 372666009]","['Bacterial agent (substance)', 'Skeletal muscle relaxant (substance)']",Bacterial agent (substance)
19854,NCT02513433,ropivacaine,386969005,Ropivacaine (substance),0.0073,"[373477003, 123682001]","['Local anesthetic (substance)', 'Piperidine (substance)']",Local anesthetic (substance)
19883,NCT02519400,amitriptyline,372726002,Amitriptyline (substance),0.0024,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
19884,NCT02519400,nortriptyline,372652004,Nortriptyline (substance),0.0039,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
19893,NCT02523664,hydrocortisone,396458002,Hydrocortisone (substance),0.0,"[304275008, 79580006]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Adrenal hormone (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
19922,NCT02527460,anakinra,385549000,Anakinra (substance),0.0044,"[373244000, 407073003]","['Immunologic agent (substance)', 'Recombinant protein (substance)']",Immunologic agent (substance)
19927,NCT02528513,midazolam,373476007,Midazolam (substance),0.0044,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
19939,NCT02531633,prednisone,116602009,Prednisone (substance),0.0,"[304275008, 126090008, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Pregnane (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
19940,NCT02531633,sirukumab,787732000,Risankizumab (substance),11.5284,"[68498002, 372823004, 373244000]","['Antibody (substance)', 'Immunosuppressant (substance)', 'Immunologic agent (substance)']",Antibody (substance)
19947,NCT02532153,ketamine,373464007,Ketamine (substance),0.0,"[373469002, 59431004, 373265006]","['Hallucinogenic agent (substance)', 'Ketone (substance)', 'Analgesic (substance)']",Hallucinogenic agent (substance)
19948,NCT02532322,acetaminophen,387517004,Paracetamol (substance),0.0082,"[417551008, 373265006]","['Acetamide (substance)', 'Analgesic (substance)']",Acetamide (substance)
19959,NCT02532660,escitalopram,400447003,Escitalopram (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
19976,NCT02534844,2-hydroxypropyl-β-cyclodextrin,386927006,Hydroxypropyl cellulose (substance),11.8421,"[372800002, 418681006, 226355009]","['Laxative (substance)', 'Viscosity modifier (substance)', 'Nutrients (substance)']",Laxative (substance)
19978,NCT02535039,methylprednisolone,116593003,Methylprednisolone (substance),0.0062,"[304275008, 126090008]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Pregnane (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
20011,NCT02541526,mirtazapine,386847004,Mirtazapine (substance),0.0,"[372720008, 413639003]","['Antidepressant (substance)', 'Benzazepine (substance)']",Antidepressant (substance)
20021,NCT02543983,ketamine,373464007,Ketamine (substance),0.0,"[373469002, 59431004, 373265006]","['Hallucinogenic agent (substance)', 'Ketone (substance)', 'Analgesic (substance)']",Hallucinogenic agent (substance)
20023,NCT02544607,ketamine,373464007,Ketamine (substance),0.0,"[373469002, 59431004, 373265006]","['Hallucinogenic agent (substance)', 'Ketone (substance)', 'Analgesic (substance)']",Hallucinogenic agent (substance)
20029,NCT02545114,tolvaptan,443058000,Tolvaptan (substance),0.0068,"[372695000, 413639003]","['Diuretic (substance)', 'Benzazepine (substance)']",Diuretic (substance)
20030,NCT02545868,ocrelizumab,733464008,Ocrelizumab (substance),0.0,"[68498002, 373244000]","['Antibody (substance)', 'Immunologic agent (substance)']",Antibody (substance)
20031,NCT02545959,rituximab,386919002,Rituximab (substance),0.0,"[68498002, 372823004]","['Antibody (substance)', 'Immunosuppressant (substance)']",Antibody (substance)
20033,NCT02546765,acetaminophen,387517004,Paracetamol (substance),0.0082,"[417551008, 373265006]","['Acetamide (substance)', 'Analgesic (substance)']",Acetamide (substance)
20038,NCT02546999,abobotulinumtoxina,444619001,AbobotulinumtoxinA (substance),0.0028,"[111117008, 372666009]","['Bacterial agent (substance)', 'Skeletal muscle relaxant (substance)']",Bacterial agent (substance)
20039,NCT02546999,botulinum toxin a,108890005,Botulinum toxin type A (substance),1.3702,"[111117008, 372666009]","['Bacterial agent (substance)', 'Skeletal muscle relaxant (substance)']",Bacterial agent (substance)
20040,NCT02546999,incobotulinumtoxina,703368006,IncobotulinumtoxinA (substance),0.0024,"[111117008, 372666009]","['Bacterial agent (substance)', 'Skeletal muscle relaxant (substance)']",Bacterial agent (substance)
20041,NCT02546999,onabotulinumtoxina,444627005,OnabotulinumtoxinA (substance),0.0,"[111117008, 372666009]","['Bacterial agent (substance)', 'Skeletal muscle relaxant (substance)']",Bacterial agent (substance)
20047,NCT02549118,meperidine,387298007,Pethidine (substance),0.0,"[123682001, 373265006]","['Piperidine (substance)', 'Analgesic (substance)']",Piperidine (substance)
20057,NCT02549716,acetaminophen,387517004,Paracetamol (substance),0.0082,"[417551008, 373265006]","['Acetamide (substance)', 'Analgesic (substance)']",Acetamide (substance)
20059,NCT02549963,rivaroxaban,442031002,Rivaroxaban (substance),0.0,"[771577000, 372862008, 420220000]","['Lactam (substance)', 'Anticoagulant (substance)', 'Blood derivative (substance)']",Lactam (substance)
20062,NCT02550665,donepezil,386855006,Donepezil (substance),0.0,"[123682001, 59431004]","['Piperidine (substance)', 'Ketone (substance)']",Piperidine (substance)
20063,NCT02550665,donepezil hydrochloride,386856007,Donepezil hydrochloride (substance),0.0,"[123682001, 59431004]","['Piperidine (substance)', 'Ketone (substance)']",Piperidine (substance)
20068,NCT02551848,botulinum toxin type a,108890005,Botulinum toxin type A (substance),0.0,"[111117008, 372666009]","['Bacterial agent (substance)', 'Skeletal muscle relaxant (substance)']",Bacterial agent (substance)
20069,NCT02551848,incobotulinumtoxina,703368006,IncobotulinumtoxinA (substance),0.0024,"[111117008, 372666009]","['Bacterial agent (substance)', 'Skeletal muscle relaxant (substance)']",Bacterial agent (substance)
20073,NCT02552758,icosapent,226367006,Eicosapentaenoic acid (substance),0.0,"[31979005, 735971005, 226355009, 21847005]","['Fatty acid (substance)', 'Fish (substance)', 'Nutrients (substance)', 'Oil (substance)']",Fatty acid (substance)
20076,NCT02553161,escitalopram,400447003,Escitalopram (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
20083,NCT02554253,ketamine,373464007,Ketamine (substance),0.0,"[373469002, 59431004, 373265006]","['Hallucinogenic agent (substance)', 'Ketone (substance)', 'Analgesic (substance)']",Hallucinogenic agent (substance)
20091,NCT02558569,fentanyl,373492002,Fentanyl (substance),0.0063,"[123682001, 373265006]","['Piperidine (substance)', 'Analgesic (substance)']",Piperidine (substance)
20101,NCT02560324,mirtazapine,386847004,Mirtazapine (substance),0.0,"[372720008, 413639003]","['Antidepressant (substance)', 'Benzazepine (substance)']",Antidepressant (substance)
20102,NCT02560324,ramelteon,419878007,Ramelteon (substance),0.0062,"[418033003, 372614000]","['Indan (substance)', 'Sedative (substance)']",Indan (substance)
20126,NCT02562820,ketamine,373464007,Ketamine (substance),0.0,"[373469002, 59431004, 373265006]","['Hallucinogenic agent (substance)', 'Ketone (substance)', 'Analgesic (substance)']",Hallucinogenic agent (substance)
20140,NCT02564341,chronic opioid,191819002,Continuous opioid dependence (disorder),8.5339,"[75544000, 1254975000]","['Opioid dependence (disorder)', 'Substance dependence, continuous (disorder)']",Opioid dependence (disorder)
20141,NCT02564341,chronic opioid therapy,191819002,Continuous opioid dependence (disorder),10.9251,"[75544000, 1254975000]","['Opioid dependence (disorder)', 'Substance dependence, continuous (disorder)']",Opioid dependence (disorder)
20143,NCT02564939,ramelteon,419878007,Ramelteon (substance),0.0062,"[418033003, 372614000]","['Indan (substance)', 'Sedative (substance)']",Indan (substance)
20145,NCT02564952,clobazam,387572002,Clobazam (substance),0.0039,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
