,nct_id,canonical_aact_interventions,snomed_termid,aact_snomed_term_canonical_interventions,aact_cdist_interventions,Top_Concept,Top_Concept_Canonical,Top_Concept_Canonical_First
13270,NCT02057406,2:1 epa/dha,226368001,Docosahexaenoic acid (substance),11.1858,"[226355009, 21847005, 871563004]","['Nutrients (substance)', 'Oil (substance)', 'Essential fatty acid (substance)']",Nutrients (substance)
13278,NCT02059759,1.0 miu il-2 per day,897192009,Recombinant interleukin 2 (substance),15.4753,"[372688009, 106181007, 407073003]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)', 'Recombinant protein (substance)']",Antineoplastic agent (substance)
13279,NCT02059759,2.0 miu il-2 per day,897192009,Recombinant interleukin 2 (substance),14.0272,"[372688009, 106181007, 407073003]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)', 'Recombinant protein (substance)']",Antineoplastic agent (substance)
13289,NCT02061397,sirolimus oral product,387014003,Sirolimus (substance),12.9243,"[372688009, 59431004, 372823004, 31414002]","['Antineoplastic agent (substance)', 'Ketone (substance)', 'Immunosuppressant (substance)', 'Amide (substance)']",Antineoplastic agent (substance)
13291,NCT02061397,everolimus oral product,428698007,Everolimus (substance),11.7368,"[372688009, 59431004, 372823004, 31414002]","['Antineoplastic agent (substance)', 'Ketone (substance)', 'Immunosuppressant (substance)', 'Amide (substance)']",Antineoplastic agent (substance)
13292,NCT02061878,bexarotene,387023000,Bexarotene (substance),0.0037,"[372688009, 413767000]","['Antineoplastic agent (substance)', 'Carotinoid (substance)']",Antineoplastic agent (substance)
13297,NCT02062333,dexmedetomidine,437750002,Dexmedetomidine (substance),0.0,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
13298,NCT02062658,ketamine,373464007,Ketamine (substance),0.0014,"[59431004, 418183005, 373265006]","['Ketone (substance)', 'Psychotropic agent (substance)', 'Analgesic (substance)']",Ketone (substance)
13309,NCT02064816,rebif®,386902004,Interferon beta-1a (substance),11.6651,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
13310,NCT02064920,donepezil,386855006,Donepezil (substance),0.0,"[59431004, 372668005]","['Ketone (substance)', 'Parasympathomimetic agent (substance)']",Ketone (substance)
13315,NCT02065778,autologous bone marrow mononuclear cell transplantation,413604003,Autologous bone marrow fluid (substance),11.3527,"[414265000, 15879007]","['Fluid containing hemopoietic stem cells (substance)', 'Autograft (substance)']",Fluid containing hemopoietic stem cells (substance)
13340,NCT02071407,midazolam,373476007,Midazolam (substance),0.0,"[373288007, 418183005]","['General anesthetic (substance)', 'Psychotropic agent (substance)']",General anesthetic (substance)
13347,NCT02074319,methotrexate,387381009,Methotrexate (substance),0.0,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
13352,NCT02078180,generic bupropion,387564004,Bupropion (substance),8.2118,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
13354,NCT02078583,remifentanil,386839004,Remifentanil (substance),0.0,"[373288007, 373265006, 31414002]","['General anesthetic (substance)', 'Analgesic (substance)', 'Amide (substance)']",General anesthetic (substance)
13355,NCT02078583,fentanyl,373492002,Fentanyl (substance),0.0,"[373288007, 373265006]","['General anesthetic (substance)', 'Analgesic (substance)']",General anesthetic (substance)
13365,NCT02080169,fentanyl,373492002,Fentanyl (substance),0.0,"[373288007, 373265006]","['General anesthetic (substance)', 'Analgesic (substance)']",General anesthetic (substance)
13366,NCT02080169,dexmedetomidine,437750002,Dexmedetomidine (substance),0.0,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
13367,NCT02080169,midazolam,373476007,Midazolam (substance),0.0,"[373288007, 418183005]","['General anesthetic (substance)', 'Psychotropic agent (substance)']",General anesthetic (substance)
13380,NCT02083328,caffeine,255641001,Caffeine (substance),0.0059,"[418183005, 259553003]","['Psychotropic agent (substance)', 'Methylated xanthine derivative (substance)']",Psychotropic agent (substance)
13382,NCT02084134,dexamethasone,372584003,Dexamethasone (substance),0.0,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
13390,NCT02086825,lactulose,273945008,Lactulose (substance),0.0,"[226355009, 372800002]","['Nutrients (substance)', 'Laxative (substance)']",Nutrients (substance)
13401,NCT02087813,alpha1-antitrypsin,14767006,Human alpha1 proteinase inhibitor (substance),2.212,"[261226001, 106205006]","['Blood component (substance)', 'Hemostasis related substance (substance)']",Blood component (substance)
13428,NCT02094053,e2020-donepezil hydrochloride,386856007,Donepezil hydrochloride (substance),8.2382,"[59431004, 372668005]","['Ketone (substance)', 'Parasympathomimetic agent (substance)']",Ketone (substance)
13438,NCT02094898,ketamine,373464007,Ketamine (substance),0.0014,"[59431004, 418183005, 373265006]","['Ketone (substance)', 'Psychotropic agent (substance)', 'Analgesic (substance)']",Ketone (substance)
13443,NCT02096068,dexmedetomidine (dexdor®),437750002,Dexmedetomidine (substance),6.8314,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
13445,NCT02096263,pentacel,387041008,Pentastarch (substance),13.1102,"[373545003, 226355009]","['Replacement agent (substance)', 'Nutrients (substance)']",Replacement agent (substance)
13457,NCT02097056,donepezil hcl,386856007,Donepezil hydrochloride (substance),1.3184,"[59431004, 372668005]","['Ketone (substance)', 'Parasympathomimetic agent (substance)']",Ketone (substance)
13464,NCT02098499,haloperidol,386837002,Haloperidol (substance),0.0,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
13482,NCT02100969,hizentra ®,278221000202100,Bimekizumab (substance),12.769,"[106181007, 372823004]","['Immunologic substance (substance)', 'Immunosuppressant (substance)']",Immunologic substance (substance)
13492,NCT02102100,menthol,387414008,Menthol (substance),0.0024,"[373477003, 289941004]","['Local anesthetic (substance)', 'Plant extract (substance)']",Local anesthetic (substance)
13495,NCT02102594,bortezomib,407097007,Bortezomib (substance),0.0055,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
13501,NCT02104128,bupropion,387564004,Bupropion (substance),0.006,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
13508,NCT02106325,ketamine,373464007,Ketamine (substance),0.0014,"[59431004, 418183005, 373265006]","['Ketone (substance)', 'Psychotropic agent (substance)', 'Analgesic (substance)']",Ketone (substance)
13518,NCT02108210,anakinra,385549000,Anakinra (substance),0.0081,"[373244000, 407073003]","['Immunologic agent (substance)', 'Recombinant protein (substance)']",Immunologic agent (substance)
13522,NCT02108795,remifentanil,386839004,Remifentanil (substance),0.0,"[373288007, 373265006, 31414002]","['General anesthetic (substance)', 'Analgesic (substance)', 'Amide (substance)']",General anesthetic (substance)
13523,NCT02108990,acetaminophen,387517004,Paracetamol (substance),0.002,"[373265006, 31414002]","['Analgesic (substance)', 'Amide (substance)']",Analgesic (substance)
13524,NCT02109081,dexamethasone,372584003,Dexamethasone (substance),0.0,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
13527,NCT02110706,rituximab,386919002,Rituximab (substance),0.0048,"[372688009, 106181007, 372823004]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)', 'Immunosuppressant (substance)']",Antineoplastic agent (substance)
13530,NCT02111044,itf2984 1000 mcg,108745009,Interferon alfacon-1 (substance),14.8623,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
13531,NCT02111044,itf2984 2000 mcg,785674001,Turoctocog alfa pegol (substance),15.6152,"[261226001, 372681003, 106205006, 407073003]","['Blood component (substance)', 'Hemostatic agent (substance)', 'Hemostasis related substance (substance)', 'Recombinant protein (substance)']",Blood component (substance)
13540,NCT02111785,dexamethasone,372584003,Dexamethasone (substance),0.0,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
13541,NCT02111798,bupropion xl,395733003,Bupropion hydrochloride (substance),4.8,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
13548,NCT02115698,protein whey,878874009,Whey protein (substance),3.6652,"[10827009, 226770007]","['Milk protein (substance)', 'Whey (substance)']",Milk protein (substance)
13550,NCT02117050,rebif®,386902004,Interferon beta-1a (substance),11.6651,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
13553,NCT02117635,ctx dp,387420009,Cyclophosphamide (substance),12.1183,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
13554,NCT02117726,"propofol,midazolam",373476007,Midazolam (substance),12.0399,"[373288007, 418183005]","['General anesthetic (substance)', 'Psychotropic agent (substance)']",General anesthetic (substance)
13555,NCT02117726,"dexmedetomidine,midazolam",437750002,Dexmedetomidine (substance),8.2647,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
13561,NCT02119806,fentanyl,373492002,Fentanyl (substance),0.0,"[373288007, 373265006]","['General anesthetic (substance)', 'Analgesic (substance)']",General anesthetic (substance)
13569,NCT02123355,dexmedetomidine,437750002,Dexmedetomidine (substance),0.0,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
13587,NCT02129647,axitinib,427882000,Axitinib (substance),0.0014,"[372688009, 300903003]","['Antineoplastic agent (substance)', 'Azole (substance)']",Antineoplastic agent (substance)
13595,NCT02130674,dipeptiven,387226000,Dipipanone (substance),10.577,"[59431004, 373265006]","['Ketone (substance)', 'Analgesic (substance)']",Ketone (substance)
13626,NCT02139540,nitrous oxide,111132001,Nitrous oxide (substance),0.0,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
13628,NCT02140788,fish oil,735341005,Fish oil (substance),0.0081,"[226355009, 21847005]","['Nutrients (substance)', 'Oil (substance)']",Nutrients (substance)
13633,NCT02141620,cocaine,387085005,Cocaine (substance),0.0059,"[373477003, 418183005, 439718001]","['Local anesthetic (substance)', 'Psychotropic agent (substance)', 'Aza compound (substance)']",Local anesthetic (substance)
13656,NCT02146911,bupropion,387564004,Bupropion (substance),0.006,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
13659,NCT02148432,"dexmedetomidine infusion rate, 0.5 mcg/kg/hr",437750002,Dexmedetomidine (substance),14.9249,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
13660,NCT02148432,"dexmedetomidine infusion rate, 1.0 mcg/kg/hr",437750002,Dexmedetomidine (substance),15.5277,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
13673,NCT02151656,f17464,75665004,Monosodium glutamate (substance),14.5739,"[80259003, 430503006]","['Food flavoring agent (substance)', 'Glutamate (substance)']",Food flavoring agent (substance)
13698,NCT02158182,lactulose,273945008,Lactulose (substance),0.0,"[226355009, 372800002]","['Nutrients (substance)', 'Laxative (substance)']",Nutrients (substance)
13700,NCT02159547,dexketoprofen,396018005,Dexketoprofen (substance),0.0,"[59431004, 373265006]","['Ketone (substance)', 'Analgesic (substance)']",Ketone (substance)
13703,NCT02160223,sugammadex,442340006,Sugammadex (substance),0.0,"[226355009, 372892004]","['Nutrients (substance)', 'Antidote (substance)']",Nutrients (substance)
13711,NCT02162433,dexmedetomidine,437750002,Dexmedetomidine (substance),0.0,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
13720,NCT02165644,acetazolamide,372709008,Acetazolamide (substance),0.0044,"[372695000, 31414002]","['Diuretic (substance)', 'Amide (substance)']",Diuretic (substance)
13723,NCT02166424,olive oil,41834005,Olive oil (substance),0.007,"[288841007, 226355009, 21847005]","['Patch test substance (substance)', 'Nutrients (substance)', 'Oil (substance)']",Patch test substance (substance)
13726,NCT02167217,prednisolone,116601002,Prednisolone (substance),0.0014,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
13733,NCT02168075,0.5g/kg of 20% mannitol,387168006,Mannitol (substance),14.2874,"[226355009, 372695000]","['Nutrients (substance)', 'Diuretic (substance)']",Nutrients (substance)
13734,NCT02168075,1.0g/kg of 20% mannitol,387168006,Mannitol (substance),14.2892,"[226355009, 372695000]","['Nutrients (substance)', 'Diuretic (substance)']",Nutrients (substance)
13735,NCT02168075,1.5g/kg of 20% mannitol,387168006,Mannitol (substance),13.3592,"[226355009, 372695000]","['Nutrients (substance)', 'Diuretic (substance)']",Nutrients (substance)
13736,NCT02168075,0.25g/kgof 20% mannitol,387168006,Mannitol (substance),12.4412,"[226355009, 372695000]","['Nutrients (substance)', 'Diuretic (substance)']",Nutrients (substance)
13739,NCT02168829,rivaroxaban,442031002,Rivaroxaban (substance),0.0,"[372862008, 106205006, 31414002]","['Anticoagulant (substance)', 'Hemostasis related substance (substance)', 'Amide (substance)']",Anticoagulant (substance)
13741,NCT02169219,rituximab,386919002,Rituximab (substance),0.0048,"[372688009, 106181007, 372823004]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)', 'Immunosuppressant (substance)']",Antineoplastic agent (substance)
13748,NCT02169843,dexmedetomidine,437750002,Dexmedetomidine (substance),0.0,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
13750,NCT02169882,adjuvant dexamethasone,372584003,Dexamethasone (substance),8.8883,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
13795,NCT02178124,donepezil,386855006,Donepezil (substance),0.0,"[59431004, 372668005]","['Ketone (substance)', 'Parasympathomimetic agent (substance)']",Ketone (substance)
13805,NCT02180867,ifosfamide,386904003,Ifosfamide (substance),0.0,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
13806,NCT02180867,pazopanib,443763005,Pazopanib (substance),0.0066,"[372688009, 31414002]","['Antineoplastic agent (substance)', 'Amide (substance)']",Antineoplastic agent (substance)
13807,NCT02180867,pazopanib hydrochloride,735169009,Pazopanib hydrochloride (substance),0.002,"[372688009, 31414002]","['Antineoplastic agent (substance)', 'Amide (substance)']",Antineoplastic agent (substance)
13810,NCT02180880,pregabalin and oxcarbazepine,415160008,Pregabalin (substance),13.8862,"[226355009, 373265006]","['Nutrients (substance)', 'Analgesic (substance)']",Nutrients (substance)
13816,NCT02183220,metamizole,780831000,Metamizole (substance),0.0039,"[300903003, 373265006]","['Azole (substance)', 'Analgesic (substance)']",Azole (substance)
13819,NCT02183272,intranasal ketamine,373464007,Ketamine (substance),13.1505,"[59431004, 418183005, 373265006]","['Ketone (substance)', 'Psychotropic agent (substance)', 'Analgesic (substance)']",Ketone (substance)
13825,NCT02183688,caffeine,255641001,Caffeine (substance),0.0059,"[418183005, 259553003]","['Psychotropic agent (substance)', 'Methylated xanthine derivative (substance)']",Psychotropic agent (substance)
13827,NCT02184260,metamizole,780831000,Metamizole (substance),0.0039,"[300903003, 373265006]","['Azole (substance)', 'Analgesic (substance)']",Azole (substance)
13828,NCT02185053,cpc-201,1290559005,Syngeneic fluid containing peripheral blood stem cells (substance),14.1016,"[414265000, 67194007]","['Fluid containing hemopoietic stem cells (substance)', 'Syngraft (substance)']",Fluid containing hemopoietic stem cells (substance)
13830,NCT02185651,zavesca® prescription,1156228008,Darvadstrocel (substance),13.5523,"[373244000, 372823004]","['Immunologic agent (substance)', 'Immunosuppressant (substance)']",Immunologic agent (substance)
13839,NCT02188459,bupropion,387564004,Bupropion (substance),0.006,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
13849,NCT02190760,dexamethasone,372584003,Dexamethasone (substance),0.0,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
13850,NCT02190994,prednisone,116602009,Prednisone (substance),0.0028,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
13853,NCT02191488,5-aminolevulinic acid,259496005,5-aminolevulinic acid (substance),0.0,"[372688009, 434771003, 35352008]","['Antineoplastic agent (substance)', '5-aminolevulinate (substance)', 'Fluorescent stain (substance)']",Antineoplastic agent (substance)
13856,NCT02192320,atorvastatin,373444002,Atorvastatin (substance),0.0,"[373267003, 300903003]","['Antilipemic agent (substance)', 'Azole (substance)']",Antilipemic agent (substance)
13857,NCT02192320,atorvastatin and dexamethasone,725658002,Atorvastatin calcium trihydrate (substance),13.1371,"[373267003, 300903003]","['Antilipemic agent (substance)', 'Azole (substance)']",Antilipemic agent (substance)
13869,NCT02193139,"wl8713, 24 mg",226875009,Muesli-nut low fat yogurt (substance),15.4947,"[13577000, 226871000]","['Nut (substance)', 'Low fat yogurt (substance)']",Nut (substance)
13873,NCT02193347,temozolomide,387009002,Temozolomide (substance),0.0039,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
13875,NCT02193698,lenalidomide+dexamethasone,421471009,Lenalidomide (substance),10.5369,"[372688009, 373244000]","['Antineoplastic agent (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
13893,NCT02198248,rituximab,386919002,Rituximab (substance),0.0048,"[372688009, 106181007, 372823004]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)', 'Immunosuppressant (substance)']",Antineoplastic agent (substance)
13903,NCT02199743,haloperidol,386837002,Haloperidol (substance),0.0,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
13913,NCT02201212,everolimus,428698007,Everolimus (substance),0.0048,"[372688009, 59431004, 372823004, 31414002]","['Antineoplastic agent (substance)', 'Ketone (substance)', 'Immunosuppressant (substance)', 'Amide (substance)']",Antineoplastic agent (substance)
13924,NCT02203786,haloperidol,386837002,Haloperidol (substance),0.0,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
13930,NCT02204969,lithia water,1296974009,Carbonated water (substance),10.4149,"[11713004, 226465004]","['Water (substance)', 'Drinks (substance)']",Water (substance)
13937,NCT02206620,donepezil,386855006,Donepezil (substance),0.0,"[59431004, 372668005]","['Ketone (substance)', 'Parasympathomimetic agent (substance)']",Ketone (substance)
13938,NCT02206776,intranasal midazolam,373476007,Midazolam (substance),12.4791,"[373288007, 418183005]","['General anesthetic (substance)', 'Psychotropic agent (substance)']",General anesthetic (substance)
13939,NCT02206776,intranasal ketamine,373464007,Ketamine (substance),13.1505,"[59431004, 418183005, 373265006]","['Ketone (substance)', 'Psychotropic agent (substance)', 'Analgesic (substance)']",Ketone (substance)
13948,NCT02210962,olive oil,41834005,Olive oil (substance),0.007,"[288841007, 226355009, 21847005]","['Patch test substance (substance)', 'Nutrients (substance)', 'Oil (substance)']",Patch test substance (substance)
13956,NCT02213159,dexmedetomidine,437750002,Dexmedetomidine (substance),0.0,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
13960,NCT02213900,haloperidol,386837002,Haloperidol (substance),0.0,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
13961,NCT02214550,cyclic microgestin 1/20,387273006,Carbenoxolone (substance),14.2072,"[289941004, 707161007]","['Plant extract (substance)', 'Triterpene (substance)']",Plant extract (substance)
13965,NCT02215616,laquinimod,386941002,Imiquimod (substance),9.4063,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
13988,NCT02220803,acetazolamide,372709008,Acetazolamide (substance),0.0044,"[372695000, 31414002]","['Diuretic (substance)', 'Amide (substance)']",Diuretic (substance)
13991,NCT02221102,edoxaban,712778008,Edoxaban (substance),0.0,"[372862008, 106205006]","['Anticoagulant (substance)', 'Hemostasis related substance (substance)']",Anticoagulant (substance)
14017,NCT02228460,gz/sar402671,735231009,Sarilumab (substance),14.4024,"[106181007, 373244000]","['Immunologic substance (substance)', 'Immunologic agent (substance)']",Immunologic substance (substance)
14030,NCT02231008,tasimelteon,702394009,Tasimelteon (substance),0.0053,"[418183005, 418033003]","['Psychotropic agent (substance)', 'Indan (substance)']",Psychotropic agent (substance)
14038,NCT02231918,mirapex® - medium,1299094002,Polmacoxib (substance),13.5187,"[373265006, 31414002]","['Analgesic (substance)', 'Amide (substance)']",Analgesic (substance)
14040,NCT02232347,sufentanil,49998007,Sufentanil (substance),0.0,"[373288007, 373265006]","['General anesthetic (substance)', 'Analgesic (substance)']",General anesthetic (substance)
14041,NCT02232347,ketamine,373464007,Ketamine (substance),0.0014,"[59431004, 418183005, 373265006]","['Ketone (substance)', 'Psychotropic agent (substance)', 'Analgesic (substance)']",Ketone (substance)
14042,NCT02232425,ix-01,395860001,Recombinant coagulation factor IX (substance),10.8527,"[261226001, 106205006, 407073003]","['Blood component (substance)', 'Hemostasis related substance (substance)', 'Recombinant protein (substance)']",Blood component (substance)
14048,NCT02233452,methadone,387286002,Methadone (substance),0.0,"[373265006, 59431004]","['Analgesic (substance)', 'Ketone (substance)']",Analgesic (substance)
14049,NCT02233452,methadone plus ketamine,387286002,Methadone (substance),12.5191,"[373265006, 59431004]","['Analgesic (substance)', 'Ketone (substance)']",Analgesic (substance)
14050,NCT02233452,ketamine,373464007,Ketamine (substance),0.0014,"[59431004, 418183005, 373265006]","['Ketone (substance)', 'Psychotropic agent (substance)', 'Analgesic (substance)']",Ketone (substance)
14053,NCT02234011,ketamine,373464007,Ketamine (substance),0.0014,"[59431004, 418183005, 373265006]","['Ketone (substance)', 'Psychotropic agent (substance)', 'Analgesic (substance)']",Ketone (substance)
14062,NCT02236065,filgrastim,386948008,Filgrastim (substance),0.0065,"[80572003, 407073003]","['Colony-stimulating factor, granulocytic (substance)', 'Recombinant protein (substance)']","Colony-stimulating factor, granulocytic (substance)"
14073,NCT02239120,asa 100 mg,387501005,Mesalazine (substance),16.0684,"[386945006, 373265006]","['Amino acid derivative (substance)', 'Analgesic (substance)']",Amino acid derivative (substance)
14074,NCT02239120,dabigatran etexilate,700029008,Dabigatran etexilate (substance),0.0,"[372862008, 106205006]","['Anticoagulant (substance)', 'Hemostasis related substance (substance)']",Anticoagulant (substance)
14075,NCT02239120,optional asa as comedication,387501005,Mesalazine (substance),13.6182,"[386945006, 373265006]","['Amino acid derivative (substance)', 'Analgesic (substance)']",Amino acid derivative (substance)
14081,NCT02240030,cvt-301 low dose,763611007,Emicizumab (substance),14.0639,"[106181007, 372681003]","['Immunologic substance (substance)', 'Hemostatic agent (substance)']",Immunologic substance (substance)
14083,NCT02240030,cvt-301 high dose,1156047000,Idecabtagene vicleucel (substance),14.2357,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
14086,NCT02240407,acetaminophen,387517004,Paracetamol (substance),0.002,"[373265006, 31414002]","['Analgesic (substance)', 'Amide (substance)']",Analgesic (substance)
14089,NCT02240407,sirolimus,387014003,Sirolimus (substance),0.0,"[372688009, 59431004, 372823004, 31414002]","['Antineoplastic agent (substance)', 'Ketone (substance)', 'Immunosuppressant (substance)', 'Amide (substance)']",Antineoplastic agent (substance)
14090,NCT02240407,rituximab,386919002,Rituximab (substance),0.0048,"[372688009, 106181007, 372823004]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)', 'Immunosuppressant (substance)']",Antineoplastic agent (substance)
14095,NCT02241395,intrathecal autologous bone marrow mononuclear cell transplantation,413604003,Autologous bone marrow fluid (substance),13.1072,"[414265000, 15879007]","['Fluid containing hemopoietic stem cells (substance)', 'Autograft (substance)']",Fluid containing hemopoietic stem cells (substance)
14103,NCT02243254,high dose remifentanil,108376001,Remifentanil hydrochloride (substance),9.1403,"[373288007, 373265006, 31414002]","['General anesthetic (substance)', 'Analgesic (substance)', 'Amide (substance)']",General anesthetic (substance)
14104,NCT02243254,low dose remifentanil,386839004,Remifentanil (substance),8.2075,"[373288007, 373265006, 31414002]","['General anesthetic (substance)', 'Analgesic (substance)', 'Amide (substance)']",General anesthetic (substance)
14108,NCT02244541,anavex2-73 intravenous,838468009,Enfortumab vedotin (substance),13.5587,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
14112,NCT02245308,bupropion,387564004,Bupropion (substance),0.006,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
14113,NCT02245568,lmtm,66322002,Dextran 40 (substance),11.7694,"[373545003, 226355009]","['Replacement agent (substance)', 'Nutrients (substance)']",Replacement agent (substance)
14122,NCT02246517,nitrous oxide,111132001,Nitrous oxide (substance),0.0,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
14148,NCT02253004,cilostazol,116087001,Cilostazol (substance),0.007,"[300903003, 31414002]","['Azole (substance)', 'Amide (substance)']",Azole (substance)
14153,NCT02253784,dexamethasone,372584003,Dexamethasone (substance),0.0,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
14169,NCT02255799,donepezil,386855006,Donepezil (substance),0.0,"[59431004, 372668005]","['Ketone (substance)', 'Parasympathomimetic agent (substance)']",Ketone (substance)
14173,NCT02256319,dexmedetomidine,437750002,Dexmedetomidine (substance),0.0,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
14175,NCT02256358,ketamine,373464007,Ketamine (substance),0.0014,"[59431004, 418183005, 373265006]","['Ketone (substance)', 'Psychotropic agent (substance)', 'Analgesic (substance)']",Ketone (substance)
14176,NCT02256358,midazolam,373476007,Midazolam (substance),0.0,"[373288007, 418183005]","['General anesthetic (substance)', 'Psychotropic agent (substance)']",General anesthetic (substance)
14178,NCT02258204,ketamine,373464007,Ketamine (substance),0.0014,"[59431004, 418183005, 373265006]","['Ketone (substance)', 'Psychotropic agent (substance)', 'Analgesic (substance)']",Ketone (substance)
14202,NCT02264353,donepezil,386855006,Donepezil (substance),0.0,"[59431004, 372668005]","['Ketone (substance)', 'Parasympathomimetic agent (substance)']",Ketone (substance)
14203,NCT02265367,levomilnacipran,387509007,Levomepromazine (substance),12.1104,"[373265006, 418183005]","['Analgesic (substance)', 'Psychotropic agent (substance)']",Analgesic (substance)
14207,NCT02267057,paracetamol,387517004,Paracetamol (substance),0.0,"[373265006, 31414002]","['Analgesic (substance)', 'Amide (substance)']",Analgesic (substance)
14208,NCT02267057,acetaminophen,387517004,Paracetamol (substance),0.002,"[373265006, 31414002]","['Analgesic (substance)', 'Amide (substance)']",Analgesic (substance)
14211,NCT02267434,high dose affitope® pd03a + adjuvant,697995005,Ipilimumab (substance),14.4038,"[372688009, 106181007, 372823004]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)', 'Immunosuppressant (substance)']",Antineoplastic agent (substance)
