,nct_id,linkbert_snomed_term_canonical_conditions,linkbert_top_concept_canonical_first_conditions
8277,NCT01825616,Doms|Exertional rhabdomyolysis (disorder),Doms|Degenerative disorder of muscle (disorder)
8278,NCT01825798,Antipsychotic medication|Atypical psychosis (disorder)|Pervasive developmental disorder (disorder)|Obesity (disorder),Antipsychotic medication|Atypical psychosis (disorder)|Developmental mental disorder (disorder)|Obesity (disorder)
8279,NCT01825941,Migraine with aura (disorder)|Headache disorder (disorder)|Migraine (disorder),Disorder of blood vessel (disorder)|Headache disorder (disorder)
8280,NCT01826110,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
8281,NCT01826422,Becker muscular dystrophy (disorder)|Dmb|Duchenne muscular dystrophy (disorder)|Inflammatory disorder (disorder)|Insulin resistance (disorder)|Obesity (disorder),Congenital malformation (disorder)|Dmb|Inflammatory disorder (disorder)|Disorder of glucose regulation (disorder)|Obesity (disorder)
8282,NCT01826474,Duchenne muscular dystrophy (disorder),Congenital malformation (disorder)
8283,NCT01826487,Duchenne muscular dystrophy (disorder)|X-linked muscular dystrophy with abnormal dystrophin (disorder)|Induced termination of pregnancy (disorder)|Nonsense mutation,Congenital malformation (disorder)|Induced termination of pregnancy (disorder)|Nonsense mutation
8284,NCT01827046,Cerebral hemorrhage (disorder),Intracranial hemorrhage (disorder)
8285,NCT01827332,Marijuana,Marijuana
8286,NCT01828203,Nontraumatic anterior cord syndrome (disorder)|Acute infarction of spinal cord (disorder)|Cervical spinal cord injury without spinal bone injury (disorder)|Multiple spinal cord injuries without spinal bone injury (disorder)|Incomplete spinal cord injury (disorder)|Spinal cord injury (disorder),Spinal cord disorder (disorder)|Soft tissue injury (disorder)|Multiple traumatic injuries (disorder)
8287,NCT01828294,Acetylcholine receptor antibody|Myasthenia gravis (disorder),Acetylcholine receptor antibody|Autoimmune disease (disorder)
8288,NCT01828437,Epilepsy (disorder)|Temporal lobe epilepsy (disorder)|Cryptogenic late-onset epileptic spasms (disorder)|Spasm of cerebral arteries (disorder),Seizure disorder (disorder)|Disorder of blood vessel (disorder)
8289,NCT01828944,Rheumatism (disorder),Rheumatism (disorder)
8290,NCT01829048,Mental disorder (disorder)|Schizophrenia (disorder),Mental disorder (disorder)|Schizophrenia (disorder)
8291,NCT01829243,Psychogenic fatigue (disorder)|Fibromyalgia (disorder)|Pain,Bodily distress disorder (disorder)|Fibromyalgia (disorder)|Pain
8292,NCT01829867,Parkinson's disease (disorder),Parkinsonism (disorder)
8293,NCT01830517,"Ischemic stroke (disorder)|Hypertensive disorder, systemic arterial (disorder)|Hypertensive heart disease (disorder)","Cerebrovascular accident (disorder)|Hypertensive disorder, systemic arterial (disorder)|Heart disease (disorder)"
8294,NCT01830842,Nicotine|Nicotine withdrawal syndrome (disorder),Nicotine|Nicotine withdrawal syndrome (disorder)
8295,NCT01831440,Major depressive disorder (disorder),Depressive disorder (disorder)
8296,NCT01831934,"Mitochondrial cytopathy (disorder)|Juvenile myopathy, encephalopathy, lactic acidosis, stroke (disorder)",Mitochondrial cytopathy (disorder)
8297,NCT01831986,Anxiety disorder (disorder)|Chronic mental disorder (disorder)|Psychotic disorder (disorder)|Sa|Seasonal affective disorder (disorder)|Bodily distress disorder (disorder)|Schizoaffective disorder (disorder)|Schizophrenia (disorder),Anxiety disorder (disorder)|Chronic mental disorder (disorder)|Psychotic disorder (disorder)|Sa|Recurrent disease (disorder)|Bodily distress disorder (disorder)|Schizoaffective disorder (disorder)|Schizophrenia (disorder)
8298,NCT01832038,Epilepsy (disorder)|Minimal change disease (disorder)|Focal epilepsy (disorder)|Secondary stereotypy (disorder),Seizure disorder (disorder)|Disorder of the genitourinary system (disorder)|Developmental mental disorder (disorder)
8299,NCT01832350,Alzheimer's disease (disorder)|Pseudobulbar palsy (disorder),Alzheimer's disease (disorder)|Motor neuron disease (disorder)
8300,NCT01832532,Diabetes mellitus (disorder)|Sleep apnea (disorder)|Breathing-related sleep disorder (disorder),Disorder of glucose metabolism (disorder)|Sleep disorder (disorder)
8301,NCT01832753,Complete trisomy 21 syndrome (disorder)|Subclinical hypothyroidism (disorder),Chromosomal disorder (disorder)|Disorder of endocrine system (disorder)
8302,NCT01832766,Delusional disorder (disorder)|Depressive disorder (disorder)|Hallucinogen hallucinosis (disorder)|Schizophrenia (disorder),Delusional disorder (disorder)|Depressive disorder (disorder)|Hallucinogen hallucinosis (disorder)|Schizophrenia (disorder)
8303,NCT01833897,Bipolar disorder (disorder)|Depressive disorder (disorder),Bipolar disorder (disorder)|Depressive disorder (disorder)
8304,NCT01834053,Chorea (disorder)|Diabetes mellitus (disorder)|Huntington's chorea (disorder),Chorea (disorder)|Disorder of glucose metabolism (disorder)|Chronic mental disorder (disorder)
8305,NCT01834066,Duchenne muscular dystrophy (disorder)|Muscular dystrophy (disorder),Congenital malformation (disorder)|Degenerative disorder of muscle (disorder)
8306,NCT01834079,Disorder of optic nerve (disorder),Disorder of optic nerve (disorder)
8307,NCT01834339,Disorder of teeth AND/OR supporting structures (disorder)|Avulsion of mandible (disorder)|Melnick-Needles syndrome (disorder)|Congenital dysplasia of vestibule of ear (disorder),"Disorder of upper digestive tract (disorder)|Avulsion - injury (disorder)|Congenital malformation (disorder)|Ear, nose and throat disorder (disorder)"
8308,NCT01834482,Intractable idiopathic partial epilepsy (disorder)|Ketosis (disorder)|Drug resistance to anti-seizure medication (disorder)|Dietetic microangiopathy (disorder)|Seizure disorder (disorder),Seizure disorder (disorder)|Ketosis (disorder)|Drug resistance (disorder)|Disorder of blood vessel (disorder)
8309,NCT01834586,Injection site pain (disorder)|Multiple sclerosis (disorder)|Pain,Injection site pain (disorder)|Multiple sclerosis (disorder)|Pain
8310,NCT01834638,Apatite-associated destructive arthritis (disorder)|Cognitive disorder (disorder)|Schizophrenia (disorder),Calcinosis (disorder)|Cognitive disorder (disorder)|Schizophrenia (disorder)
8311,NCT01834794,Cannabis|Cannabis abuse (disorder)|Organic mental disorder caused by cannabis (disorder)|Tobacco|Tobacco smoking,Cannabis|Substance abuse (disorder)|Organic mental disorder caused by cannabis (disorder)|Tobacco|Tobacco smoking
8312,NCT01834911,Huntington's chorea (disorder)|Parkinsonism caused by dopamine depleting agent (disorder),Chronic mental disorder (disorder)|Parkinsonism (disorder)
8313,NCT01835847,Depressive disorder (disorder),Depressive disorder (disorder)
8314,NCT01836549,Malignant neoplastic disease (disorder)|Diffuse intrinsic pontine glioma (disorder)|Ependymoma (disorder)|Recurrent neoplasm (disorder),Neoplastic disease (disorder)|Recurrent disease (disorder)
8315,NCT01837641,Alzheimer's disease (disorder)|Mild neurocognitive disorder (disorder)|Amnestic mild cognitive disorder (disorder),Alzheimer's disease (disorder)|Cognitive disorder (disorder)
8316,NCT01837862,Neoplasm of brain (disorder)|Malignant neoplastic disease (disorder)|Glioma (disorder)|Low grade glioma of brain (disorder)|Psychosis with origin in childhood (disorder)|Pilomyxoid astrocytoma (disorder)|Neoplastic disease (disorder),Neoplastic disease (disorder)|Psychosis with origin in childhood (disorder)
8317,NCT01838174,Acute retrobulbar neuritis (disorder)|Ainhum (disorder)|Psychogenic fatigue (disorder)|Infection causing inflammation of optic nerve (disorder)|Multiple sclerosis (disorder)|Multiple lesions (disorder)|On - off phenomenon (disorder),Disorder of optic nerve (disorder)|Disorder of skin (disorder)|Bodily distress disorder (disorder)|Multiple sclerosis (disorder)|Multiple lesions (disorder)|Parkinsonism (disorder)
8318,NCT01838616,Chronic pain syndrome (disorder)|Disorder characterized by back pain (disorder)|Cranial neuralgia (disorder)|Neurological pain disorder (disorder)|Chronic sciatica (disorder)|Severe uncontrolled persistent asthma (disorder),Chronic pain syndrome (disorder)|Disorder characterized by back pain (disorder)|Cranial neuralgia (disorder)|Neurological pain disorder (disorder)|Peripheral nerve disease (disorder)|Disorder of respiratory system (disorder)
8319,NCT01838668,Relapsing remitting multiple sclerosis (disorder),Multiple sclerosis (disorder)
8320,NCT01839526,Fabry's disease (disorder),Hereditary metabolic disease (disorder)
8321,NCT01839656,Kugelberg-Welander disease (disorder)|Werdnig-Hoffmann disease (disorder)|Spinal muscular atrophy (disorder),Motor neuron disease (disorder)
8322,NCT01840345,Chronic pain syndrome (disorder)|Pain,Chronic pain syndrome (disorder)|Pain
8323,NCT01841125,Alzheimer's disease (disorder)|Depressive disorder (disorder),Alzheimer's disease (disorder)|Depressive disorder (disorder)
8324,NCT01841502,Depressive disorder (disorder)|Viral hepatitis type C (disorder),Depressive disorder (disorder)|Disorder of digestive organ (disorder)
8325,NCT01841671,Acute poliomyelitis (disorder)|Infection caused by Human poliovirus (disorder)|Ventilator-acquired pneumonia (disorder),Infectious disease (disorder)
8326,NCT01841827,Headache disorder (disorder)|Migraine (disorder),Headache disorder (disorder)|Disorder of blood vessel (disorder)
8327,NCT01842022,Cognitive disorder (disorder)|Dementia (disorder)|Organic memory impairment (disorder),Cognitive disorder (disorder)|Dementia (disorder)|Organic memory impairment (disorder)
8328,NCT01842113,Cirrhosis of liver (disorder)|Hepatic encephalopathy (disorder),Disorder of digestive organ (disorder)|Metabolic encephalopathy (disorder)
8329,NCT01842334,Cigarette smoking|Nicotine dependence (disorder)|Replacement|Smoking|Treatment -,Cigarette smoking|Substance dependence (disorder)|Replacement|Smoking|Treatment -
8330,NCT01842581,Cirrhosis of liver (disorder)|Hepatic encephalopathy (disorder)|Recurrent hepatitis (disorder),Disorder of digestive organ (disorder)|Metabolic encephalopathy (disorder)|Recurrent disease (disorder)
8331,NCT01842841,Glucosylceramide beta-glucosidase deficiency (disorder)|Chronic non-neuropathic Gaucher's disease (disorder)|Acute neuronopathic Gaucher's disease (disorder)|Diabetes mellitus associated with pancreatic disease (disorder),Hereditary metabolic disease (disorder)|Acute metabolic disorder (disorder)|Disorder of glucose metabolism (disorder)
8332,NCT01843023,Opioid dependence (disorder),Substance dependence (disorder)
8333,NCT01843075,"Alzheimer's disease (disorder)|Primary degenerative dementia of the Alzheimer type, presenile onset (disorder)|Non-amnestic Alzheimer disease (disorder)",Alzheimer's disease (disorder)|Presenile dementia (disorder)
8334,NCT01843699,Depressive disorder (disorder)|Compulsive gambling (disorder),Depressive disorder (disorder)|Impulse control disorder (disorder)
8335,NCT01844232,Multiple sclerosis (disorder)|Spastic syndrome (disorder),Multiple sclerosis (disorder)|Spastic syndrome (disorder)
8336,NCT01844726,Mental disorder (disorder),Mental disorder (disorder)
8337,NCT01845441,Ischemic stroke (disorder)|Spasm of cerebral arteries (disorder)|Drug-induced embolism (disorder),Cerebrovascular accident (disorder)|Disorder of blood vessel (disorder)
8338,NCT01845558,Repetitive motion disorder (disorder)|Disease caused by Eimeria (disorder)|Exertional rhabdomyolysis (disorder),Repetitive motion disorder (disorder)|Infectious disease (disorder)|Degenerative disorder of muscle (disorder)
8339,NCT01845584,Polyneuropathy associated with monoclonal immunoglobulin M antibodies to myelin-associated glycoprotein (disorder),Peripheral nerve disease (disorder)
8340,NCT01845740,Systemic lupus erythematosus (disorder)|Lupus erythematosus (disorder),Autoimmune disease (disorder)
8341,NCT01846481,Cocaine,Cocaine
8342,NCT01846663,Hepatic encephalopathy (disorder)|Hepatic failure (disorder),Metabolic encephalopathy (disorder)|Disorder of digestive organ (disorder)
8343,NCT01846806,Bacterial overgrowth syndrome (disorder)|Cirrhosis of liver (disorder)|Slow transit constipation (disorder)|Hepatic encephalopathy (disorder),Disorder of digestive organ (disorder)|Metabolic encephalopathy (disorder)
8344,NCT01847157,Chronic cerebral ischemia (disorder)|Severe multi tissue damage upper arm (disorder)|Severe hypoxic ischemic encephalopathy (disorder)|Cerebrovascular accident (disorder)|Ureteric neuromuscular incoordination (disorder),Disorder of blood vessel (disorder)|Severe multi tissue damage upper arm (disorder)|Hypoxic ischemic encephalopathy (disorder)|Cerebrovascular accident (disorder)|Disorder of the genitourinary system (disorder)
8345,NCT01847521,Pervasive developmental disorder (disorder),Developmental mental disorder (disorder)
8346,NCT01847573,Duchenne muscular dystrophy (disorder),Congenital malformation (disorder)
8347,NCT01847651,Cirrhosis of liver (disorder)|Hepatic encephalopathy (disorder)|Muscle|Muscle atrophy (disorder),Disorder of digestive organ (disorder)|Metabolic encephalopathy (disorder)|Muscle|Degenerative disorder of muscle (disorder)
8348,NCT01847755,Traumatic brain injury (disorder),Traumatic brain injury (disorder)
8349,NCT01847872,Rubella (disorder)|Post vaccination fever (disorder)|Measles (disorder)|Adverse reaction to component of vaccine product (disorder)|Yellow fever (disorder),Infectious disease (disorder)|Febrile disorder (disorder)|Adverse reaction to component of vaccine product (disorder)
8350,NCT01849042,"Primary degenerative dementia of the Alzheimer type, senile onset (disorder)|Primary degenerative dementia of the Alzheimer type, presenile onset (disorder)",Senile dementia (disorder)|Presenile dementia (disorder)
8351,NCT01849419,Hay-Wells syndrome of ectodermal dysplasia (disorder),Disorder of upper digestive tract (disorder)
8352,NCT01850238,Alzheimer's disease (disorder)|Amnestic mild cognitive disorder (disorder),Alzheimer's disease (disorder)|Cognitive disorder (disorder)
8353,NCT01850355,Anxiety disorder (disorder)|Pervasive developmental disorder (disorder),Anxiety disorder (disorder)|Developmental mental disorder (disorder)
8354,NCT01850381,Young onset Parkinson disease (disorder)|Sporadic Parkinson disease (disorder)|Pd,Parkinsonism (disorder)|Pd
8355,NCT01850420,Fibromyalgia (disorder)|Herpesvirus infection (disorder),Fibromyalgia (disorder)|Infectious disease (disorder)
8356,NCT01850771,Lumbar radiculopathy (disorder)|Pain,Peripheral nerve disease (disorder)|Pain
8357,NCT01850784,Congenital heart disease (disorder),Heart disease (disorder)
8358,NCT01850953,Schizophrenia (disorder),Schizophrenia (disorder)
8359,NCT01851057,Epilepsy (disorder)|Progressive epilepsy-intellectual disability syndrome Finnish type (disorder)|Newly diagnosed diabetes (disorder)|Seizure disorder (disorder),Seizure disorder (disorder)|Congenital malformation (disorder)|Disorder of glucose metabolism (disorder)
8360,NCT01851083,Traumatic or nontraumatic brain injury (disorder)|Traumatic brain injury (disorder)|Severe multiple injuries (disorder)|Major head injury (disorder),Traumatic or nontraumatic brain injury (disorder)|Traumatic brain injury (disorder)|Multiple traumatic injuries (disorder)|Major head injury (disorder)
8361,NCT01851148,Transformed migraine (disorder)|Migraine (disorder),Disorder of blood vessel (disorder)
8362,NCT01851499,Cranial neuralgia (disorder)|Neurological pain disorder (disorder)|Spinal cord injury (disorder),Cranial neuralgia (disorder)|Neurological pain disorder (disorder)|Spinal cord disorder (disorder)
8363,NCT01851863,Fd|Nonulcer dyspepsia (disorder),Fd|Disorder of upper digestive tract (disorder)
8364,NCT01852110,Alzheimer's disease (disorder)|Amnestic mild cognitive disorder (disorder),Alzheimer's disease (disorder)|Cognitive disorder (disorder)
8365,NCT01852331,Antipsychotic|Antipsychotic-induced|Hyperprl|Hyperprolactinemia (disorder)|Prolactin|Schizophrenia (disorder)|Schizophrenic disorders (disorder),Antipsychotic|Antipsychotic-induced|Hyperprl|Disorder of endocrine system (disorder)|Prolactin|Schizophrenia (disorder)
8366,NCT01852383,Disorder of cardiovascular system (disorder)|Chronic disease (disorder)|Depressive disorder (disorder)|Disease (disorder)|Dysthymia (disorder)|Major depressive disorder (disorder),Disorder of cardiovascular system (disorder)|Chronic disease (disorder)|Depressive disorder (disorder)|Disease (disorder)
8367,NCT01853579,Depressive disorder (disorder)|Subclinical hypothyroidism (disorder),Depressive disorder (disorder)|Disorder of endocrine system (disorder)
8368,NCT01853852,Fabry's disease (disorder),Hereditary metabolic disease (disorder)
8369,NCT01854294,Amyotrophic lateral sclerosis (disorder),Motor neuron disease (disorder)
8370,NCT01854359,Multiple sclerosis (disorder)|Primary progressive multiple sclerosis (disorder),Multiple sclerosis (disorder)
8371,NCT01854957,Progressive multiple sclerosis (disorder)|Multiple sclerosis (disorder),Chronic nervous system disorder (disorder)|Multiple sclerosis (disorder)
8372,NCT01855074,Schizophrenia (disorder)|Schizophreniform disorder (disorder),Schizophrenia (disorder)|Acute psychosis (disorder)
8373,NCT01855256,Hyperhidrosis (disorder),Disorder of skin (disorder)
8374,NCT01855594,Cranial neuralgia (disorder)|Neurological pain disorder (disorder)|Spinal cord injury (disorder),Cranial neuralgia (disorder)|Neurological pain disorder (disorder)|Spinal cord disorder (disorder)
8375,NCT01855971,Fragile X syndrome (disorder)|Fragile X chromosome (disorder)|Intellectual disability (disorder)|Tesxf),Congenital malformation (disorder)|Chromosomal disorder (disorder)|Intellectual disability (disorder)|Tesxf)
8376,NCT01856205,Japanese encephalitis virus disease (disorder)|Viral encephalitis (disorder),Infectious disease (disorder)
8377,NCT01856270,Traumatic brain injury (disorder)|Chronic post-traumatic headache (disorder)|Headache disorder (disorder)|Concussion injury of brain (disorder),Traumatic brain injury (disorder)|Headache disorder (disorder)
8378,NCT01856439,Parkinson's disease (disorder),Parkinsonism (disorder)
8379,NCT01856738,Hallucinogen hallucinosis (disorder)|Major vh|Minor vh|Parkinson's disease (disorder)|Acute polymorphic psychotic disorder (disorder)|Dementia associated with Parkinson's Disease (disorder),Hallucinogen hallucinosis (disorder)|Major vh|Minor vh|Parkinsonism (disorder)|Acute psychosis (disorder)|Dementia associated with Parkinson's Disease (disorder)
8380,NCT01859624,"Enzyme overdose (disorder)|Glycogen storage disease due to acid maltase deficiency (disorder)|Late onset schizophrenia (disorder)|Glycogen storage disease due to acid maltase deficiency, late-onset (disorder)",Poisoning (disorder)|Hereditary metabolic disease (disorder)|Schizophrenia (disorder)
8381,NCT01859767,"- amyloid|Alzheimer's disease (disorder)|Amyloid|Primary degenerative dementia of the Alzheimer type, senile onset (disorder)",- amyloid|Alzheimer's disease (disorder)|Amyloid|Senile dementia (disorder)
8382,NCT01860300,Chronic motor tic disorder (disorder)|Gas|Gas gangrene (disorder)|Streptococcus pyogenes infection (disorder)|Tic disorder (disorder),Tic disorder (disorder)|Gas|Infectious disease (disorder)
8383,NCT01860404,Concussion injury of brain (disorder)|Cerebral trauma (disorder),Traumatic brain injury (disorder)
8384,NCT01860781,Schizophrenia (disorder),Schizophrenia (disorder)
8385,NCT01860794,Parkinson's disease (disorder),Parkinsonism (disorder)
8386,NCT01861145,Respiratory obstruction (disorder)|E|Retention of urine (disorder)|Nocturnal epilepsy (disorder)|Sdb|Obstructive sleep apnea syndrome (disorder),Disorder of respiratory system (disorder)|E|Disorder of the genitourinary system (disorder)|Seizure disorder (disorder)|Sdb|Sleep disorder (disorder)
8387,NCT01861717,Acromegaly (disorder)|Cavernous sinus syndrome (disorder)|Neoplasm of pituitary gland (disorder),Disorder of endocrine system (disorder)|Disorder of blood vessel (disorder)
8388,NCT01861847,Posttraumatic stress disorder (disorder),Anxiety disorder (disorder)
8389,NCT01862640,Stress reaction with psychomotor agitation (disorder)|Alzheimer's disease (disorder),Adjustment disorder (disorder)|Alzheimer's disease (disorder)
8390,NCT01862952,Cerebrovascular accident (disorder)|Epilepsy (disorder)|Hemorrhagic cerebral infarction (disorder)|Ischemia (disorder)|Postconcussion syndrome (disorder)|Partial epilepsy with impairment of consciousness (disorder),Cerebrovascular accident (disorder)|Seizure disorder (disorder)|Ischemic encephalopathy (disorder)|Disorder of blood vessel (disorder)|Late effect of injury (disorder)
8391,NCT01863810,Anxiety disorder (disorder)|Chronic pain syndrome (disorder)|Depressive disorder (disorder)|Diabetes mellitus (disorder)|Neuropathy due to diabetes mellitus (disorder)|Cranial neuralgia (disorder)|Neurological pain disorder (disorder)|Pain|Middle insomnia (disorder),Anxiety disorder (disorder)|Chronic pain syndrome (disorder)|Depressive disorder (disorder)|Disorder of glucose metabolism (disorder)|Disorder of nervous system due to diabetes mellitus (disorder)|Cranial neuralgia (disorder)|Neurological pain disorder (disorder)|Pain|Sleep disorder (disorder)
8392,NCT01863888,Progressive relapsing multiple sclerosis (disorder),Multiple sclerosis (disorder)
8393,NCT01864148,Acute relapsing multiple sclerosis (disorder)|Multiple sclerosis (disorder)|Progressive relapsing multiple sclerosis (disorder),Chronic nervous system disorder (disorder)|Multiple sclerosis (disorder)
8394,NCT01864551,Bipolar disorder (disorder)|Depressive disorder (disorder),Bipolar disorder (disorder)|Depressive disorder (disorder)
8395,NCT01864655,Alzheimer's disease (disorder)|Dementia (disorder),Alzheimer's disease (disorder)|Dementia (disorder)
8396,NCT01865084,Duchenne muscular dystrophy (disorder),Congenital malformation (disorder)
8397,NCT01865721,Pain|Serrated polyp of colon (disorder),Pain|Polyp (disorder)
8398,NCT01866098,Antipsychotic -|Antipsychotic medications|Bipolar disorder (disorder)|Psychotic disorder (disorder)|Schizoaffective disorder (disorder)|Schizophrenia (disorder)|Severe bodily distress disorder (disorder)|Obesity (disorder),Antipsychotic -|Antipsychotic medications|Bipolar disorder (disorder)|Psychotic disorder (disorder)|Schizoaffective disorder (disorder)|Schizophrenia (disorder)|Bodily distress disorder (disorder)|Obesity (disorder)
8399,NCT01866111,Partial epilepsy with impairment of consciousness (disorder)|Focal epilepsy (disorder),Seizure disorder (disorder)
8400,NCT01866995,Pelvic congestion syndrome (disorder)|Lack or loss of sexual desire (disorder)|Prostatocystitis (disorder),Disorder of blood vessel (disorder)|Sexual disorder (disorder)|Disorder of the genitourinary system (disorder)
8401,NCT01867268,Cerebrospinal fluid leak (disorder)|Cerebrospinal fluid (|Csf collection|Sacralization of lumbar vertebra (disorder)|Neurological complication of procedure (disorder)|Wound dehiscence (disorder),Cerebrospinal fluid leak (disorder)|Cerebrospinal fluid (|Csf collection|Congenital malformation (disorder)|Neurological complication of procedure (disorder)|Wound (disorder)
8402,NCT01867645,Clinical sepsis (disorder)|Critical illness polyneuropathy (disorder)|Multiple organ failure (disorder)|Disorder of skeletal AND/OR smooth muscle (disorder)|Sepsis (disorder)|Systemic inflammatory response syndrome (disorder),Infectious disease (disorder)|Peripheral nerve disease (disorder)|Multiple organ failure (disorder)|Disorder of skeletal AND/OR smooth muscle (disorder)|Sepsis (disorder)|Systemic disease (disorder)
8403,NCT01867775,Alzheimer's disease (disorder)|Disorder of sleep-wake cycle (disorder),Alzheimer's disease (disorder)|Sleep disorder (disorder)
8404,NCT01868048,Multiple sclerosis (disorder)|Spastic syndrome (disorder),Multiple sclerosis (disorder)|Spastic syndrome (disorder)
8405,NCT01868191,Neuropathy due to diabetes mellitus (disorder)|Sensory polyneuropathy due to diabetes mellitus (disorder)|Neuropathy (disorder)|Diabetes mellitus type 2 (disorder),Disorder of nervous system due to diabetes mellitus (disorder)|Neuropathy (disorder)|Disorder of glucose metabolism (disorder)
8406,NCT01868269,Hereditary acrodermatitis enteropathica (disorder)|Des|Autosomal recessive omodysplasia (disorder)|Opsoclonus-myoclonus syndrome (disorder),Disorder of skin (disorder)|Des|Congenital malformation (disorder)|Myoclonic disorder (disorder)
8407,NCT01869374,Depressive disorder (disorder)|Major depressive disorder (disorder),Depressive disorder (disorder)
8408,NCT01869478,Ischemic stroke (disorder),Cerebrovascular accident (disorder)
8409,NCT01869569,Cranial neuralgia (disorder)|Neurological pain disorder (disorder)|Toxicity due to radiotherapy (disorder)|Chronic pain following radiotherapy (disorder),Cranial neuralgia (disorder)|Neurological pain disorder (disorder)|Injury caused by causative force (disorder)|Chronic pain following radiotherapy (disorder)
8410,NCT01870024,Generalized epilepsy (disorder),Seizure disorder (disorder)
8411,NCT01870206,General paresis - neurosyphilis (disorder)|Acute poliomyelitis (disorder)|Infection caused by Human poliovirus (disorder),Chronic mental disorder (disorder)|Infectious disease (disorder)
8412,NCT01870999,Schizophrenia (disorder),Schizophrenia (disorder)
8413,NCT01871610,Traumatic brain injury (disorder)|Dementia (disorder)|Concussion injury of brain (disorder),Traumatic brain injury (disorder)|Dementia (disorder)
8414,NCT01872598,Amnestic mild cognitive disorder (disorder),Cognitive disorder (disorder)
8415,NCT01873404,Pain|Lumbar radiculopathy (disorder),Pain|Peripheral nerve disease (disorder)
8416,NCT01873547,Chronic disorder of spinal cord (disorder)|Spinal cord injury (disorder),Spinal cord disorder (disorder)
8417,NCT01873716,Disorder of carotid artery (disorder)|Dissection of extracranial carotid artery (disorder)|Skin plaque (disorder),Disorder of blood vessel (disorder)|Disorder of skin (disorder)
8418,NCT01874028,Wilson's disease (disorder),Chorea (disorder)
8419,NCT01874145,Relapsing remitting multiple sclerosis (disorder),Multiple sclerosis (disorder)
8420,NCT01874340,Progressive relapsing multiple sclerosis (disorder),Multiple sclerosis (disorder)
8421,NCT01874756,Cognitive disorder (disorder)|Hormone receptor negative neoplasm (disorder)|Schizophrenia (disorder),Cognitive disorder (disorder)|Neoplastic disease (disorder)|Schizophrenia (disorder)
8422,NCT01874847,Concussion injury of brain (disorder)|Postconcussion syndrome (disorder),Traumatic brain injury (disorder)|Late effect of injury (disorder)
8423,NCT01874951,"Antidepressant therapy|Stuporous depression (disorder)|Bipolar disorder, most recent episode depression (disorder)|Depressive disorder (disorder)|Major depressive disorder (disorder)",Antidepressant therapy|Depressive disorder (disorder)|Bipolar disorder (disorder)
8424,NCT01875445,Attention deficit hyperactivity disorder (disorder)|Trichotillomania (disorder),Disorders of attention and motor control (disorder)|Impulse control disorder (disorder)
8425,NCT01875601,Refractory malignant neoplastic disease (disorder)|Neoplastic disease (disorder),Neoplastic disease (disorder)
8426,NCT01875822,Hormone receptor negative neoplasm (disorder)|Schizophrenia (disorder),Neoplastic disease (disorder)|Schizophrenia (disorder)
8427,NCT01876355,Delirium (disorder)|Icu|Intussusception of intestine (disorder)|Ventilator-associated lung injury (disorder)|Mechanical complication of ventilator (disorder),Confusional state (disorder)|Icu|Disorder of digestive organ (disorder)|Injury of trunk (disorder)|Mechanical complication of device (disorder)
8428,NCT01876810,Nicotine dependence (disorder)|Tobacco dependence syndrome (disorder),Substance dependence (disorder)
8429,NCT01876823,Alzheimer's disease (disorder)|Age-associated memory impairment (disorder)|Cognitive disorder (disorder)|Dementia (disorder)|Dep-ci|Dep-mci|Depressive disorder (disorder)|Organic memory impairment (disorder)|Mild neurocognitive disorder (disorder),Alzheimer's disease (disorder)|Organic memory impairment (disorder)|Cognitive disorder (disorder)|Dementia (disorder)|Dep-ci|Dep-mci|Depressive disorder (disorder)
8430,NCT01878136,Subarachnoid intracranial hemorrhage (disorder)|Spasm of cerebral arteries (disorder)|Acquired obstructive hydrocephalus (disorder),Intracranial hemorrhage (disorder)|Disorder of blood vessel (disorder)|Hydrocephalus (disorder)
8431,NCT01878513,Psychotic disorder (disorder),Psychotic disorder (disorder)
8432,NCT01878656,Delirium (disorder)|Malocclusion of teeth (disorder)|Postoperative complication (disorder),Confusional state (disorder)|Disorder of upper digestive tract (disorder)|Perioperative complication (disorder)
8433,NCT01879202,Psychogenic fatigue (disorder)|Ms -|Multiple sclerosis (disorder),Bodily distress disorder (disorder)|Ms -|Multiple sclerosis (disorder)
8434,NCT01879241,Amyotrophic lateral sclerosis (disorder),Motor neuron disease (disorder)
8435,NCT01879722,Chronic undifferentiated schizophrenia (disorder),Chronic mental disorder (disorder)
8436,NCT01880099,Smoking|Tobacco dependence syndrome (disorder),Smoking|Substance dependence (disorder)
8437,NCT01880593,Major depressive disorder (disorder)|Treatment resistant depression (disorder),Depressive disorder (disorder)
8438,NCT01880749,Intracranial meningioma (disorder)|Neurofibromatosis type 2 (disorder)|Acoustic neuroma (disorder)|Sturge-Weber syndrome (disorder),Neoplastic disease (disorder)
8439,NCT01880957,Bipolar disorder (disorder)|Depressive disorder (disorder)|Major depressive disorder (disorder),Bipolar disorder (disorder)|Depressive disorder (disorder)
8440,NCT01881763,Depressive disorder (disorder)|Injury caused by electrical exposure (disorder),Depressive disorder (disorder)|Injury due to exposure to external cause (disorder)
8441,NCT01882010,Parkinson's disease (disorder)|Pd,Parkinsonism (disorder)|Pd
8442,NCT01882062,Huntington's chorea (disorder),Chronic mental disorder (disorder)
