,nct_id,aact_snomed_term_canonical_interventions,aact_top_concept_canonical_first_interventions
10609,NCT02460731,Platelet rich plasma (substance),Blood component (substance)
10610,NCT02461069,Dimethyl fumarate (substance),Immunologic agent (substance)
10611,NCT02462109,Lorazepam (substance),Psychotropic agent (substance)
10612,NCT02462161,Insulin aspart (substance),Insulin (substance)
10613,NCT02462317,Clostridium botulinum toxin (substance)|Baclofen (substance),Bacterial agent (substance)|Baclofen (substance)
10614,NCT02462473,Paliperidone (substance)|Aripiprazole (substance)|Risperidone (substance)|Olanzapine (substance)|Quetiapine (substance),Psychotropic agent (substance)
10615,NCT02462603,Platinum-189 (substance),Radioactive isotope (substance)
10616,NCT02462629,Blinatumomab (substance),Antineoplastic agent (substance)
10617,NCT02462759,Nusinersen (substance),Oligonucleotide (substance)
10618,NCT02463110,Sertraline (substance)|Failure of penetration (disorder),Psychotropic agent (substance)|Failure of penetration (disorder)
10619,NCT02463318,Melatonin (substance),Azole (substance)
10620,NCT02464124,Nitazoxanide (substance)|Lactulose (substance),Nitazoxanide (substance)|Nutrients (substance)
10621,NCT02465853,Hyaluronic acid (substance)|Sodium chloride solution (substance),Replacement agent (substance)|Sodium chloride solution (substance)
10622,NCT02466074,Acetazolamide (substance),Diuretic (substance)
10623,NCT02466087,Magnesium chloride (substance),Magnesium compound (substance)
10624,NCT02466243,22q11.2 deletion syndrome (disorder),22q11.2 deletion syndrome (disorder)
10625,NCT02466334,Calcitonin gene-related peptide (substance),Calcitonin gene-related peptide (substance)
10626,NCT02466373,Clonidine hydrochloride (substance),Clonidine hydrochloride (substance)
10627,NCT02466477,Psychotropic agent (substance)|Grimaces (disorder),Psychotropic agent (substance)|Grimaces (disorder)
10628,NCT02466685,Ampicillin (substance),Amide (substance)
10629,NCT02466750,Antigen of Western equine encephalitis virus (substance),Immunologic substance (substance)
10630,NCT02467153,Colecalciferol (substance),Nutrients (substance)
10631,NCT02467413,Bacon (substance),Bacon (substance)
10632,NCT02467517,Magnesium sulfate (substance)|Ketamine (substance),Magnesium compound (substance)|Ketone (substance)
10633,NCT02468674,Bimekizumab (substance),Immunologic substance (substance)
10634,NCT02469155,Icatibant (substance)|Risperidone (substance),Icatibant (substance)|Psychotropic agent (substance)
10635,NCT02469259,Oxytocin (substance),Oxytocin (substance)
10636,NCT02469545,Cellulose (substance)|Escitalopram (substance)|Sertraline (substance)|Lactobacillus plantarum (substance),Laxative (substance)|Psychotropic agent (substance)|Bacterial agent (substance)
10637,NCT02469896,Tocilizumab (substance),Immunologic substance (substance)
10638,NCT02469948,Botulinum toxin type A (substance),Bacterial agent (substance)
10639,NCT02470325,Automotive lubricating oil (substance)|Kerosene (substance),Automotive lubricant (substance)|Kerosene (substance)
10640,NCT02470546,Metformin (substance),Biguanide oral hypoglycemic agent (substance)
10641,NCT02470780,Rifaximin (substance),Rifaximin (substance)
10642,NCT02471196,Argon-41 (substance),Radioactive isotope (substance)
10643,NCT02471222,Recombinant non-replicating human adenovirus 5 vector encoding severe acute respiratory syndrome coronavirus 2 spike protein (substance),Recombinant non-replicating human adenovirus 5 vector encoding severe acute respiratory syndrome coronavirus 2 spike protein (substance)
10644,NCT02471560,"N,-N-dimethyltryptamine (substance)|Dimethyl fumarate (substance)",Plant extract (substance)|Immunologic agent (substance)
10645,NCT02471833,Telmisartan (substance),Telmisartan (substance)
10646,NCT02471898,Haplotoxin (substance),Haplotoxin (substance)
10647,NCT02472210,Clostridium botulinum toxin (substance),Bacterial agent (substance)
10648,NCT02472418,Interferon alfa-n1 (substance)|Substance (substance)|Defibrotide (substance),Antineoplastic agent (substance)|Substance (substance)|Oligonucleotide (substance)
10649,NCT02472938,Dimethyl fumarate (substance),Immunologic agent (substance)
10650,NCT02473016,Toxic effect of carbon dioxide (disorder),Poisoning (disorder)
10651,NCT02473250,Citalopram (substance)|Fluoxetine (substance),Psychotropic agent (substance)
10652,NCT02473276,Sodium chloride solution (substance)|Morphine (substance),Sodium chloride solution (substance)|Analgesic (substance)
10653,NCT02473458,Licorice (substance),Plant extract (substance)
10654,NCT02473562,Varenicline (substance),Parasympathomimetic agent (substance)
10655,NCT02473913,Silybum marianum (substance),Flavonoid (substance)
10656,NCT02473965,Vaccinia human immune globulin (substance),Blood component (substance)
10657,NCT02474134,Interferon beta-1b (substance),Antineoplastic agent (substance)
10658,NCT02474407,Diazepam (substance)|Rectal skin tag (disorder),Psychotropic agent (substance)|Neoplastic disease (disorder)
10659,NCT02475265,Carrel patch (substance),Body tissue patch material (substance)
10660,NCT02475928,Zinc gluconate (substance)|Substance (substance),Zinc and/or zinc compound (substance)|Substance (substance)
10661,NCT02476708,Curcumin stain (substance),Curcumin stain (substance)
10662,NCT02477020,Chocolate covered fruit/nut bar (substance),Nut (substance)
10663,NCT02477280,Methylphenidate (substance),Psychotropic agent (substance)
10664,NCT02477436,Avanafil (substance),Avanafil (substance)
10665,NCT02477527,Dasabuvir sodium (substance),Amide (substance)
10666,NCT02477670,Argipressin (substance),Argipressin (substance)
10667,NCT02477800,Aducanumab (substance),Immunologic substance (substance)
10668,NCT02478346,Fluorescein sodium stain (substance),Fluorescent stain (substance)
10669,NCT02478450,Autologous fluid containing progenitor cells (substance),Fluid containing hemopoietic stem cells (substance)
10670,NCT02479139,Cosmetic vehicle (substance)|Alpha-naphthyl thiourea (substance),Cosmetic vehicle (substance)|Alpha-naphthyl thiourea (substance)
10671,NCT02479698,Tisagenlecleucel (substance),Antineoplastic agent (substance)
10672,NCT02479802,Albumin (substance),Blood component (substance)
10673,NCT02480803,Iatrogenic Jakob-Creutzfeldt disease (disorder),Iatrogenic Jakob-Creutzfeldt disease (disorder)
10674,NCT02481193,Cisatracurium (substance),Nondepolarizing agent (substance)
10675,NCT02481232,Antigen of Neisseria meningitidis serogroup W135 capsular oligosaccharide conjugated (substance),Immunologic substance (substance)
10676,NCT02481245,Bezafibrate (substance),Bezafibrate (substance)
10677,NCT02481323,Isosorbide mononitrate (substance)|Cilostazol (substance),Isosorbide mononitrate (substance)|Azole (substance)
10678,NCT02481440,Human mesenchymal stem cell (substance),Immunologic agent (substance)
10679,NCT02481609,Acetylcysteine (substance),Nutrients (substance)
10680,NCT02481674,Nerve agent VX (substance),Nerve agent VX (substance)
10681,NCT02481882,Gadoteridol (substance),Contrast media (substance)
10682,NCT02482194,Human mesenchymal stem cell (substance),Immunologic agent (substance)
10683,NCT02482233,Nicorandil (substance),Amide (substance)
10684,NCT02483169,Aspirin (substance)|Cilostazol (substance)|Probucol (substance),Analgesic (substance)|Azole (substance)|Polyphenol (substance)
10685,NCT02483585,Erenumab (substance),Immunologic substance (substance)
10686,NCT02484001,Periodontal pack - eugenol-free (substance)|Vegetable suet (substance)|Sodium succinate (substance),Periodontal pack (substance)|Nutrients (substance)|Sodium succinate (substance)
10687,NCT02484027,Rosuvastatin (substance),Antilipemic agent (substance)
10688,NCT02484170,Mannitol (substance),Nutrients (substance)
10689,NCT02484300,Melatonin (substance),Azole (substance)
10690,NCT02484547,Aducanumab (substance),Immunologic substance (substance)
10691,NCT02484560,Human mesenchymal stem cell (substance),Immunologic agent (substance)
10692,NCT02484703,Ceftriaxone sodium (substance),Amide (substance)
10693,NCT02484755,Gefitinib (substance),Antineoplastic agent (substance)
10694,NCT02484768,Ferric derisomaltose (substance)|Sodium chloride solution (substance),Ferric derisomaltose (substance)|Sodium chloride solution (substance)
10695,NCT02485340,Sumatriptan (substance)|Isosorbide mononitrate (substance),Amide (substance)|Isosorbide mononitrate (substance)
10696,NCT02485418,Propofol (substance),General anesthetic (substance)
10697,NCT02485938,Autologous fluid containing progenitor cells (substance),Fluid containing hemopoietic stem cells (substance)
10698,NCT02486211,Amantadine (substance),Amantadine (substance)
10699,NCT02486276,Sumatriptan (substance)|Cilostazol (substance),Amide (substance)|Azole (substance)
10700,NCT02486432,Carbidopa monohydrate (substance),Catecholamine (substance)
10701,NCT02487082,Donepezil (substance),Ketone (substance)
10702,NCT02487407,Silver-109m (substance),Radioactive isotope (substance)
10703,NCT02487485,Ketamine (substance)|Sirolimus (substance),Ketone (substance)|Antineoplastic agent (substance)
10704,NCT02487953,Nicotine resin complex (substance),Parasympathomimetic agent (substance)
10705,NCT02488044,Silver-104 (substance),Radioactive isotope (substance)
10706,NCT02489097,Nitrous oxide (substance),Gaseous substance (substance)
10707,NCT02489292,Heparin sodium (substance),Anticoagulant (substance)
10708,NCT02489344,Sarilumab (substance),Immunologic substance (substance)
10709,NCT02490046,Mannose (substance),Nutrients (substance)
10710,NCT02490436,Cetuximab (substance),Antineoplastic agent (substance)
10711,NCT02492165,Antigen of inactivated whole Japanese encephalitis virus adsorbed (substance),Immunologic substance (substance)
10712,NCT02492295,Propofol (substance),General anesthetic (substance)
10713,NCT02492516,Human mesenchymal stem cell (substance),Immunologic agent (substance)
10714,NCT02493049,Domperidone (substance),Domperidone (substance)
10715,NCT02493179,Helium-5 (substance),Helium-5 (substance)
10716,NCT02493426,Oxytocin (substance),Oxytocin (substance)
10717,NCT02493517,Lanreotide acetate (substance),Lanreotide acetate (substance)
10718,NCT02494024,Besilesomab (substance),Immunologic substance (substance)
10719,NCT02494102,Modafinil (substance),Psychotropic agent (substance)
10720,NCT02494778,Piminodine (substance),Analgesic (substance)
10721,NCT02495467,Glyceryl trinitrate (substance),Glyceryl trinitrate (substance)
10722,NCT02495766,C-C motif chemokine 18 (substance),Immunologic substance (substance)
10723,NCT02495883,Propranolol (substance),Propranolol (substance)
10724,NCT02496520,Toxicity due to chemotherapy (disorder)|Dendritic cell neoplasm (disorder),Poisoning (disorder)|Neoplastic disease (disorder)
10725,NCT02496767,Mertiatide (substance),Mertiatide (substance)
10726,NCT02496845,Vinblastine sulfate (substance),Antineoplastic agent (substance)
10727,NCT02496884,Probucol (substance),Polyphenol (substance)
10728,NCT02496962,Atorvastatin (substance),Antilipemic agent (substance)
10729,NCT02496975,Ciclosporin (substance),Immunosuppressant (substance)
10730,NCT02497443,Human mesenchymal stem cell (substance),Immunologic agent (substance)
10731,NCT02498392,Oxiconazole nitrate (substance),Azole (substance)
10732,NCT02499029,Acetylcysteine (substance),Nutrients (substance)
10733,NCT02499354,Ferrous sulfate (substance)|Ferumoxytol (substance),Ferrous sulfate (substance)|Ferumoxytol (substance)
10734,NCT02499900,Glatiramer (substance),Immunosuppressant (substance)
10735,NCT02500342,Levothyroxine (substance),Levothyroxine (substance)
10736,NCT02500381,Naftifine hydrochloride (substance)|B*4005 (substance),Naftifine hydrochloride (substance)|Gene (substance)
10737,NCT02500459,Topotecan (substance),Antineoplastic agent (substance)
10738,NCT02500602,Doxazosin (substance),Doxazosin (substance)
10739,NCT02500628,Metformin (substance),Biguanide oral hypoglycemic agent (substance)
10740,NCT02500732,Atomoxetine (substance),Atomoxetine (substance)
10741,NCT02500784,Formoterol (substance),Formoterol (substance)
10742,NCT02501109,Aripiprazole (substance),Psychotropic agent (substance)
10743,NCT02501265,Varenicline (substance)|Nicotine resin complex (substance),Parasympathomimetic agent (substance)
10744,NCT02501434,Heparin-induced thrombocytopenia (disorder),Heparin-induced thrombocytopenia (disorder)
10745,NCT02501928,Fesoterodine (substance)|Antigen of Streptococcus pneumoniae Danish serotype 4 capsular polysaccharide conjugated to nontypeable Haemophilus influenzae protein D (substance),Fesoterodine (substance)|Immunologic substance (substance)
10746,NCT02501941,Ketamine (substance),Ketone (substance)
10747,NCT02502032,Cisatracurium (substance),Nondepolarizing agent (substance)
10748,NCT02502162,Dextran 40 (substance),Replacement agent (substance)
10749,NCT02502253,Resveratrol (substance),Anticoagulant (substance)
10750,NCT02503124,Drug or medicament (substance),Drug or medicament (substance)
10751,NCT02504008,Zoledronic acid anhydrous (substance),Bisphosphonate (substance)
10752,NCT02504151,Cannabidiol (substance),Psychotropic agent (substance)
10753,NCT02504554,Feces (substance)|Milnacipran (substance)|Intentional vancomycin poisoning (disorder)|Frozen food (substance)|Omeprazole (substance),Rectal contents (substance)|Psychotropic agent (substance)|Poisoning (disorder)|Frozen food (substance)|Omeprazole (substance)
10754,NCT02504931,Sertraline (substance),Psychotropic agent (substance)
10755,NCT02504996,Morphine (substance)|Paracetamol (substance),Analgesic (substance)
10756,NCT02505477,Acetylcysteine (substance),Nutrients (substance)
10757,NCT02505802,Botulinum toxoid type A (substance),Bacterial agent (substance)
10758,NCT02506140,Ticagrelor (substance)|Clopidogrel bisulfate (substance),Nucleoside (substance)|Clopidogrel bisulfate (substance)
10759,NCT02506673,Midazolam (substance),General anesthetic (substance)
10760,NCT02506686,Meropenem (substance),Amide (substance)
10761,NCT02506751,Liothyronine (substance),Liothyronine (substance)
10762,NCT02507206,Daratumumab (substance),Antineoplastic agent (substance)
10763,NCT02507284,Autosomal recessive spastic paraplegia type 46 (disorder),Autosomal recessive spastic paraplegia type 46 (disorder)
10764,NCT02507700,Bupivacaine (substance)|Sevoflurane (substance),Local anesthetic (substance)|General anesthetic (substance)
10765,NCT02508259,Sodium chloride solution (substance)|Suramin (substance),Sodium chloride solution (substance)|Suramin (substance)
10766,NCT02508311,Salbutamol sulfate (substance),Salbutamol sulfate (substance)
10767,NCT02509520,Stimulation of muscle pocket due to and after implantation of cardiac pacemaker (disorder),Stimulation of muscle pocket due to and after implantation of cardiac pacemaker (disorder)
10768,NCT02509793,Tetrabenazine (substance),Tetrabenazine (substance)
10769,NCT02509936,Nutritional supplement (substance),Replacement agent (substance)
10770,NCT02510222,Magnesium sulfate (substance),Magnesium compound (substance)
10771,NCT02510586,Sevoflurane (substance),General anesthetic (substance)
10772,NCT02511028,Ferumoxytol (substance),Ferumoxytol (substance)
10773,NCT02511704,Nicotine (substance),Parasympathomimetic agent (substance)
10774,NCT02511873,Perampanel (substance),Perampanel (substance)
10775,NCT02512029,Flortaucipir (18-F) (substance),Radioactive isotope (substance)
10776,NCT02512588,Botulinum toxoid (substance),Bacterial agent (substance)
10777,NCT02512809,Dexmedetomidine (substance)|Isoflurane (substance),Azole (substance)|General anesthetic (substance)
10778,NCT02513433,Bupivacaine (substance)|Levobupivacaine (substance)|Ropivacaine (substance),Local anesthetic (substance)
10779,NCT02513485,Carbidopa (substance),Catecholamine (substance)
10780,NCT02513589,Florbetapir (18-F) (substance),Radioactive isotope (substance)
10781,NCT02513654,Lamotrigine (substance),Lamotrigine (substance)
10782,NCT02513992,Technetium (99m-Tc) succimer (substance),Radioactive isotope (substance)
10783,NCT02514044,Dexamfetamine (substance),Psychotropic agent (substance)
10784,NCT02514746,Antigen of inactivated whole Japanese encephalitis virus SA14-14-2 strain (substance),Immunologic substance (substance)
10785,NCT02515695,Interferon beta-1a (substance),Antineoplastic agent (substance)
10786,NCT02515773,Metformin (substance),Biguanide oral hypoglycemic agent (substance)
10787,NCT02515890,Dexmedetomidine (substance)|Ketamine (substance)|Midazolam (substance),Azole (substance)|Ketone (substance)|General anesthetic (substance)
10788,NCT02516046,Flortaucipir (18-F) (substance),Radioactive isotope (substance)
10789,NCT02516085,Arginine (substance)|Metformin (substance),Nutrients (substance)|Biguanide oral hypoglycemic agent (substance)
10790,NCT02517424,Cannabis (substance)|Cannabinosis (disorder),Psychotropic agent (substance)|Cannabinosis (disorder)
10791,NCT02517788,Interferon beta-1a (substance),Antineoplastic agent (substance)
10792,NCT02518464,Ticagrelor (substance),Nucleoside (substance)
10793,NCT02518789,Dexmedetomidine (substance)|Etomidate (substance)|Remifentanil (substance)|Sodium chloride solution (substance)|Rocuronium bromide (substance),Azole (substance)|General anesthetic (substance)|Sodium chloride solution (substance)|Nondepolarizing agent (substance)
10794,NCT02519036,Implantable cardioverter and defibrillator coronary sinus lead insulation fracture (disorder)|Silicon-31 (substance)|Titanium-44 (substance)|4-methylumbelliferyl-beta-N-acetylglucosamine-6-sulfate (substance),Implantable cardioverter and defibrillator coronary sinus lead insulation fracture (disorder)|Radioactive isotope (substance)|4-methylumbelliferyl-beta-N-acetylglucosamine-6-sulfate (substance)
10795,NCT02519387,Buprenorphine (substance),Analgesic (substance)
10796,NCT02519400,Amitriptyline (substance),Psychotropic agent (substance)
10797,NCT02519543,Metformin (substance),Biguanide oral hypoglycemic agent (substance)
10798,NCT02520934,Miglustat (substance)|Substance with estrogen receptor agonist mechanism of action (substance),Miglustat (substance)|Substance with estrogen receptor agonist mechanism of action (substance)
10799,NCT02520947,Desflurane (substance),General anesthetic (substance)
10800,NCT02521012,Alfacalcidol (substance)|Vitamin D supplement (substance),Nutrients (substance)|Replacement agent (substance)
10801,NCT02521311,Clemastine (substance),Clemastine (substance)
10802,NCT02521493,Tioguanine (substance)|Asparaginase (substance)|Cytarabine (substance)|Mitoxantrone hydrochloride (substance)|Daunorubicin hydrochloride (substance)|Etoposide (substance)|Crisantaspase (substance),Antineoplastic agent (substance)
10803,NCT02521545,Ibritumomab tiuxetan (substance),Antineoplastic agent (substance)
10804,NCT02523664,Hydrocortisone (substance),Corticosteroid and/or corticosteroid derivative (substance)
10805,NCT02523690,Lorcaserin (substance),Lorcaserin (substance)
10806,NCT02523703,Glutamate (substance),Glutamate (substance)
10807,NCT02524301,Diprenorphine (substance),Antidote (substance)
10808,NCT02524899,Guanfacine (substance),Guanfacine (substance)
10809,NCT02525172,Bortezomib (substance)|Methotrexate (substance)|Rituximab (substance)|Immunoglobulin (substance),Immunologic agent (substance)|Antineoplastic agent (substance)|Blood component (substance)
10810,NCT02525302,Neuronal cell marker (substance),Neuronal cell marker (substance)
10811,NCT02525432,Autologous bone marrow fluid (substance),Fluid containing hemopoietic stem cells (substance)
10812,NCT02525874,Dimethyl fumarate (substance),Immunologic agent (substance)
10813,NCT02526030,Ziprasidone (substance)|Quetiapine (substance)|Aripiprazole (substance),Psychotropic agent (substance)
10814,NCT02526394,Pertussis (disorder)|Meningococcal infectious disease (disorder),Pertussis (disorder)|Meningococcal infectious disease (disorder)
10815,NCT02526550,Antigen of inactivated whole Japanese encephalitis virus adsorbed (substance)|Antigen of inactivated whole Hepatitis A virus (substance),Immunologic substance (substance)
10816,NCT02527460,Anakinra (substance),Immunologic agent (substance)
10817,NCT02527564,Suvorexant (substance),Azole (substance)
10818,NCT02528409,Vortioxetine (substance),Psychotropic agent (substance)
10819,NCT02528513,Fentanyl (substance)|Midazolam (substance)|Dexmedetomidine (substance)|Propofol (substance),General anesthetic (substance)|Azole (substance)
10820,NCT02529124,Protein (substance)|Test control (substance),Protein (substance)|Test control (substance)
10821,NCT02529423,Multivitamin multimineral supplement (substance),Replacement agent (substance)
10822,NCT02529839,Cyclophosphamide (substance)|Fludarabine (substance)|Alemtuzumab (substance),Immunologic agent (substance)|Antineoplastic agent (substance)
10823,NCT02529917,Custard powder (substance)|Glycine max flour (substance),Powder (substance)|Flour (substance)
10824,NCT02530255,Topotecan (substance),Antineoplastic agent (substance)
10825,NCT02530281,Glycopyrronium (substance),Glycopyrronium (substance)
10826,NCT02530294,Glycopyrronium (substance),Glycopyrronium (substance)
10827,NCT02530905,B*4005 (substance),Gene (substance)
10828,NCT02531217,Terconazole (substance),Azole (substance)
10829,NCT02531633,Prednisone (substance)|Risankizumab (substance),Corticosteroid and/or corticosteroid derivative (substance)|Immunologic substance (substance)
10830,NCT02531880,Mangafodipir (substance),Nutrients (substance)
10831,NCT02532023,N-3 fatty acid (substance)|Curcumin stain (substance),Essential fatty acid (substance)|Curcumin stain (substance)
10832,NCT02532153,Ketamine hydrochloride (substance),General anesthetic (substance)
10833,NCT02532322,Sodium chloride solution (substance)|Intentional paracetamol poisoning (disorder),Sodium chloride solution (substance)|Poisoning (disorder)
10834,NCT02532491,Risperidone (substance)|Aripiprazole (substance),Psychotropic agent (substance)
10835,NCT02532569,Antigen of inactivated whole Japanese encephalitis virus Nakayama-NIH strain (substance),Immunologic substance (substance)
10836,NCT02532660,Choc ice (substance)|Escitalopram oxalate (substance),Choc ice (substance)|Psychotropic agent (substance)
10837,NCT02532686,Double aortic arch with dominant right arch and hypoplasia of left arch (disorder),Double aortic arch with dominant right arch and hypoplasia of left arch (disorder)
10838,NCT02533128,Labile hypertension due to being in a clinical environment (disorder)|Labile systemic arterial hypertension (disorder),Labile hypertension due to being in a clinical environment (disorder)|Labile systemic arterial hypertension (disorder)
10839,NCT02533232,Minocycline (substance),Minocycline (substance)
10840,NCT02534363,Ziprasidone (substance)|Substance (substance)|Quetiapine (substance)|Aripiprazole (substance),Psychotropic agent (substance)|Substance (substance)
10841,NCT02534454,Nicotine resin complex (substance),Parasympathomimetic agent (substance)
10842,NCT02534480,Nicotinurate (substance),Nutrients (substance)
10843,NCT02534844,Antigen of Hepatitis B virus subtype adr surface protein (substance),Immunologic substance (substance)
10844,NCT02535039,Methylprednisolone (substance),Corticosteroid and/or corticosteroid derivative (substance)
10845,NCT02535091,Ciprofloxacin hydrochloride (substance),Ciprofloxacin hydrochloride (substance)
10846,NCT02535156,Risperidone (substance),Psychotropic agent (substance)
10847,NCT02536417,Melatonin (substance)|Sugar sweetened beverage (substance),Azole (substance)|Drinks (substance)
10848,NCT02536755,Eliglustat (substance),Eliglustat (substance)
10849,NCT02536911,Eliglustat (substance),Eliglustat (substance)
10850,NCT02536937,Eliglustat (substance),Eliglustat (substance)
10851,NCT02536976,Mirabegron (substance),Mirabegron (substance)
10852,NCT02537197,Naltrexone (substance),Antidote (substance)
10853,NCT02537899,Merlin (substance),Merlin (substance)
10854,NCT02537938,Nicotinurate (substance),Nutrients (substance)
10855,NCT02538081,Risperidone (substance),Psychotropic agent (substance)
10856,NCT02538302,Oxybutynin (substance)|Desmopressin (substance),Oxybutynin (substance)|Hemostatic agent (substance)
10857,NCT02538744,Modafinil (substance)|Cocaine (substance)|Doxazosin (substance),Psychotropic agent (substance)|Local anesthetic (substance)|Doxazosin (substance)
10858,NCT02539134,Latamoxef disodium (substance),Amide (substance)
10859,NCT02539186,Platelet rich plasma (substance),Blood component (substance)
10860,NCT02540655,Antigen of Stemphylium botryosum protein (substance),Immunologic substance (substance)
10861,NCT02541032,Arecoline (substance),Parasympathomimetic agent (substance)
10862,NCT02541370,Axicabtagene ciloleucel (substance),Antineoplastic agent (substance)
10863,NCT02541500,Minocycline (substance),Minocycline (substance)
10864,NCT02541513,Paliperidone (substance),Psychotropic agent (substance)
10865,NCT02541526,Mirtazapine (substance),Psychotropic agent (substance)
10866,NCT02542605,Vasoactive intestinal peptide (substance)|Erenumab (substance),Vasoactive intestinal peptide (substance)|Immunologic substance (substance)
10867,NCT02542696,Aplysiatoxin (substance),Aplysiatoxin (substance)
10868,NCT02543203,Complication of reimplant (disorder)|Coconut oil (substance),Complication of reimplant (disorder)|Nutrients (substance)
10869,NCT02543944,Naltrexone hydrochloride (substance)|Clonidine (substance)|Naltrexone (substance)|Buprenorphine (substance)|Gabapentin (substance),Antidote (substance)|Clonidine (substance)|Analgesic (substance)|Nutrients (substance)
10870,NCT02543983,Ketamine hydrochloride (substance),General anesthetic (substance)
10871,NCT02544217,Catha edulis (substance),Catha edulis (substance)
10872,NCT02544607,Ketamine (substance),Ketone (substance)
10873,NCT02544750,Picornain 3C (substance),Picornain 3C (substance)
10874,NCT02544763,Picornain 3C (substance),Picornain 3C (substance)
10875,NCT02545114,Tolvaptan (substance),Diuretic (substance)
10876,NCT02545868,Ocrelizumab (substance)|Influenza (disorder)|Tetanus antitoxin (substance)|Antigen of Streptococcus pneumoniae Danish serotype 12F capsular polysaccharide conjugated (substance)|Antigen of Streptococcus pneumoniae Danish serotype 23F capsular polysaccharide (substance)|Keyhole-limpet hemocyanin (substance),Immunologic substance (substance)|Influenza (disorder)|Keyhole-limpet hemocyanin (substance)
10877,NCT02545959,Rituximab (substance)|Methylprednisolone hemisuccinate (substance),Antineoplastic agent (substance)|Corticosteroid and/or corticosteroid derivative (substance)
10878,NCT02546310,Atrolysin B (substance),Atrolysin B (substance)
10879,NCT02546765,Dexmedetomidine (substance)|Propofol poisoning (disorder),Azole (substance)|Poisoning (disorder)
10880,NCT02546999,Clostridium botulinum toxin (substance)|OnabotulinumtoxinA (substance),Bacterial agent (substance)
10881,NCT02547818,Autosomal dominant Alzheimer disease due to mutation of presenilin 2 (disorder)|Autosomal dominant Alzheimer disease due to mutation of presenilin 1 (disorder),Alzheimer's disease (disorder)
10882,NCT02548923,Dexmedetomidine (substance),Azole (substance)
10883,NCT02549118,Tenoxicam (substance)|Pethidine (substance),Analgesic (substance)
10884,NCT02549170,Varicella-zoster virus antibody (substance)|Recombinant human hyaluronidase (substance)|Human immunoglobulin G (substance),Immunologic substance (substance)|Hyaluronidase (substance)|Blood component (substance)
10885,NCT02549573,Apomorphine (substance),Apomorphine (substance)
10886,NCT02549716,Adverse reaction caused by paracetamol (disorder)|Intentional paracetamol poisoning (disorder),Adverse reaction caused by paracetamol (disorder)|Poisoning (disorder)
10887,NCT02549768,Dexmedetomidine (substance)|Sodium chloride solution (substance),Azole (substance)|Sodium chloride solution (substance)
10888,NCT02549898,Cilostazol (substance)|Ferumoxytol (substance),Azole (substance)|Ferumoxytol (substance)
10889,NCT02549963,Rivaroxaban (substance),Anticoagulant (substance)
10890,NCT02550665,Donepezil (substance),Ketone (substance)
10891,NCT02550756,Antigen of Streptococcus pneumoniae Danish serotype 5 capsular polysaccharide conjugated to nontypeable Haemophilus influenzae protein D (substance),Immunologic substance (substance)
10892,NCT02551003,Arterial cord blood (substance),Blood (substance)
10893,NCT02551380,Folinic acid (substance),Nutrients (substance)
10894,NCT02551731,Cannabidiol (substance),Psychotropic agent (substance)
10895,NCT02551809,Ubiquitin (substance),Ubiquitin (substance)
10896,NCT02551848,Botulinum toxin type A (substance),Bacterial agent (substance)
10897,NCT02552147,Electronic cigarette liquid containing nicotine (substance)|Substance (substance),Electronic cigarette liquid (substance)|Substance (substance)
10898,NCT02552277,Deoxy adenosine diphosphate (substance),Deoxy adenosine diphosphate (substance)
10899,NCT02552303,Armodafinil (substance),Psychotropic agent (substance)
10900,NCT02552758,N-3 fatty acid (substance),Essential fatty acid (substance)
10901,NCT02553161,Escitalopram (substance),Psychotropic agent (substance)
10902,NCT02553265,Carbidopa monohydrate (substance),Catecholamine (substance)
10903,NCT02553798,Glycopyrronium (substance),Glycopyrronium (substance)
10904,NCT02553824,Topiramate (substance),Topiramate (substance)
10905,NCT02554253,Ketamine (substance)|Propofol (substance),Ketone (substance)|General anesthetic (substance)
10906,NCT02554734,Entacapone (substance)|Silver-104 (substance),Entacapone (substance)|Radioactive isotope (substance)
10907,NCT02555215,Dimethyl fumarate (substance),Immunologic agent (substance)
10908,NCT02556320,Venous puncture (disorder)|Anticonvulsant (substance),Venous puncture (disorder)|Anticonvulsant (substance)
10909,NCT02557737,Botulinum toxin type A (substance),Bacterial agent (substance)
10910,NCT02558569,Levobupivacaine (substance),Local anesthetic (substance)
10911,NCT02558972,Droxidopa (substance),Amino acid derivative (substance)
10912,NCT02559102,Dexmedetomidine (substance)|Sevoflurane (substance),Azole (substance)|General anesthetic (substance)
10913,NCT02559167,Cannabidiol (substance),Psychotropic agent (substance)
10914,NCT02559830,Fluid containing cord blood derived stem cells (substance),Fluid containing hemopoietic stem cells (substance)
10915,NCT02559895,Carbonyl reductase (reduced nicotinamide adenine dinucleotide phosphate) (substance),Carbonyl reductase (reduced nicotinamide adenine dinucleotide phosphate) (substance)
10916,NCT02560324,Ramelteon (substance),Psychotropic agent (substance)
10917,NCT02560389,Levodopa (substance),Catecholamine (substance)
10918,NCT02560545,Cannabis oil (substance),Psychotropic agent (substance)
10919,NCT02560753,Ribavirin (substance),Azole (substance)
10920,NCT02560805,Atenolol (substance)|Sodium nitroprusside (substance)|Losartan (substance)|Phenylephrine (substance),Atenolol (substance)|Sodium nitroprusside (substance)|Azole (substance)|Decongestant (substance)
10921,NCT02560935,Hydroxycarbamide (substance),Antineoplastic agent (substance)
