,nct_id,linkbert_snomed_term_canonical_interventions,linkbert_top_concept_canonical_first_interventions
6492,NCT01291511,Iloperidone (substance),Iloperidone (substance)
6493,NCT01291537,Du antigen (substance)|Levodopa (substance),Du antigen (substance)|Catecholamine (substance)
6494,NCT01292499,Antidepressant (substance),Antidepressant (substance)
6495,NCT01292694,Substance with angiotensin-converting enzyme inhibitor mechanism of action (substance)|Angiotensin II (substance)|Substance with angiotensin II receptor antagonist mechanism of action (substance)|Captopril (substance)|Losartan (substance),Substance with angiotensin-converting enzyme inhibitor mechanism of action (substance)|Angiotensin (substance)|Substance with angiotensin II receptor antagonist mechanism of action (substance)|Captopril (substance)|Losartan (substance)
6496,NCT01292837,Levetiracetam (substance),Levetiracetam (substance)
6497,NCT01293825,Ziprasidone (substance),Ziprasidone (substance)
6498,NCT01293838,Ciprofloxacin lactate (substance)|Escitalopram (substance),Ciprofloxacin lactate (substance)|Antidepressant (substance)
6499,NCT01294059,Milnacipran (substance)|Substance with serotonin re-uptake inhibitor mechanism of action (substance),Antidepressant (substance)|Substance with serotonin re-uptake inhibitor mechanism of action (substance)
6500,NCT01294176,Lipoic acid (substance),Fatty acid (substance)
6501,NCT01294540,Monosodium glutamate (substance),Glutamate (substance)
6502,NCT01294800,Amok (disorder)|Anticholinergic adverse reaction (disorder)|Substance with dihydroxyphenylalanine decarboxylase inhibitor mechanism of action (substance)|Substance with dopamine receptor agonist mechanism of action (substance)|Levodopa (substance)|Lemborexant (substance),Amok (disorder)|Anticholinergic adverse reaction (disorder)|Substance with dihydroxyphenylalanine decarboxylase inhibitor mechanism of action (substance)|Substance with dopamine receptor agonist mechanism of action (substance)|Catecholamine (substance)|Lemborexant (substance)
6503,NCT01295060,Octreotide (substance),Gastrointestinal hormone (substance)
6504,NCT01295372,Risperidone (substance)|Ziram (substance),Risperidone (substance)|Zinc compound (substance)
6505,NCT01295619,Iodine (substance),Mineral (substance)
6506,NCT01296360,Complement component iC3 (substance)|Ixekizumab (substance)|Antigen of inactivated whole Japanese encephalitis virus Nakayama-NIH strain (substance),Complement component iC3 (substance)|Antibody (substance)|Antigen of Japanese encephalitis virus (substance)
6507,NCT01296464,Blood group antigen c (substance)|Carbidopa (substance)|Blood group antigen E (substance)|Entacapone (substance)|Leucine (substance)|Levodopa (substance)|Cerebellar decompression injury (disorder),Blood group antigen c (substance)|Catecholamine (substance)|Blood group antigen E (substance)|Entacapone (substance)|Nutrients (substance)|Cerebellar decompression injury (disorder)
6508,NCT01296802,"2,4-dichlorophenoxyacetic acid (substance)|Dexfenfluramine (substance)|Hay-Wells syndrome of ectodermal dysplasia (disorder)|Plague (disorder)|Methylenedioxymethamphetamine (substance)",Biocide (substance)|Amfetamine and/or amfetamine derivative (substance)|Hay-Wells syndrome of ectodermal dysplasia (disorder)|Plague (disorder)
6509,NCT01297036,Donepezil (substance)|Dipivefrine hydrochloride (substance),Piperidine (substance)|Dipivefrine hydrochloride (substance)
6510,NCT01298141,Agalsidase alfa (substance)|Enzyme overdose (disorder)|Albutrepenonacog alfa (substance),Recombinant protein (substance)|Enzyme overdose (disorder)|Proenzyme (substance)
6511,NCT01298310,Lidocaine (substance)|Lidocaine hydrochloride anhydrous (substance),Local anesthetic (substance)
6512,NCT01298466,Pregabalin (substance),Nutrients (substance)
6513,NCT01298765,Buprenorphine (substance),Analgesic (substance)
6514,NCT01298921,Sumatriptan (substance)|Tripe (substance),Sulfone (substance)|Tripe (substance)
6515,NCT01299389,Acute sensory ataxic neuropathy (disorder)|Paliperidone palmitate (substance),Acute sensory ataxic neuropathy (disorder)|Paliperidone palmitate (substance)
6516,NCT01299454,Pl-12 antibody (substance),Antibody (substance)
6517,NCT01299597,Atorvastatin (substance)|Ticarcillin disodium (substance)|Simvastatin (substance),Antilipemic agent (substance)|Lactam (substance)
6518,NCT01300364,Antidepressant (substance)|Citalopram (substance)|Substance with norepinephrine reuptake inhibitor mechanism of action (substance)|Reversible ischemic neurologic deficit syndrome (disorder)|Olanzapine (substance)|Reboxetine (substance)|Risperidone (substance)|Substance with serotonin re-uptake inhibitor mechanism of action (substance),Antidepressant (substance)|Substance with norepinephrine reuptake inhibitor mechanism of action (substance)|Reversible ischemic neurologic deficit syndrome (disorder)|Olanzapine (substance)|Risperidone (substance)|Substance with serotonin re-uptake inhibitor mechanism of action (substance)
6519,NCT01300455,Carbidopa (substance)|Suvorexant (substance),Catecholamine (substance)|Suvorexant (substance)
6520,NCT01300637,Metformin (substance),Metformin (substance)
6521,NCT01300819,Rotigotine (substance),Rotigotine (substance)
6522,NCT01300923,Acamprosate (substance),Nutrients (substance)
6523,NCT01301079,Ketamine (substance),Hallucinogenic agent (substance)
6524,NCT01301183,Estradiol (substance)|Substance with estrogen receptor agonist mechanism of action (substance)|Somatomedin C (substance)|Mecasermin (substance)|Oprelvekin (substance),Estradiol and/or estradiol derivative (substance)|Sex hormone (substance)|Growth substance (substance)|Mediator of immune response (substance)
6525,NCT01301898,Clofazimine (substance)|Idursulfase (substance),Antileprotic drug (substance)|Idursulfase (substance)
6526,NCT01302275,Oxcarbazepine (substance),Ketone (substance)
6527,NCT01302327,Exalamide (substance)|Substance with glucagon-like peptide 1 receptor agonist mechanism of action (substance)|Insulin (substance),Exalamide (substance)|Substance with glucagon-like peptide 1 receptor agonist mechanism of action (substance)|Insulin (substance)
6528,NCT01302340,Delta-9-tetrahydrocannabinol (substance)|Dronabinol (substance)|Cannabis (substance),Hallucinogenic agent (substance)|Synthetic cannabinoid (substance)
6529,NCT01302964,Mirtazapine (substance),Antidepressant (substance)
6530,NCT01303146,Mannitol (substance)|Cerebroside-sulfatase (substance)|Rha antigen (substance),Nutrients (substance)|Cerebroside-sulfatase (substance)|Rha antigen (substance)
6531,NCT01303380,Canakinumab (substance),Antibody (substance)
6532,NCT01303406,Idebenone (substance),Ketone (substance)
6533,NCT01303536,Ondansetron (substance)|Substance with serotonin re-uptake inhibitor mechanism of action (substance),Tricyclic compound (substance)|Substance with serotonin re-uptake inhibitor mechanism of action (substance)
6534,NCT01303601,Olanzapine (substance),Olanzapine (substance)
6535,NCT01303744,Ivabradine oxalate (substance),Benzazepine (substance)
6536,NCT01303861,Bupropion (substance)|Varenicline (substance),Antidepressant (substance)|Benzazepine (substance)
6537,NCT01304277,Agalsidase alfa (substance)|Replacement agent (substance),Recombinant protein (substance)|Replacement agent (substance)
6538,NCT01305083,Indacaterol (substance),Bronchodilator (substance)
6539,NCT01305408,Armodafinil (substance)|Mood disorder (disorder),Armodafinil (substance)|Mood disorder (disorder)
6540,NCT01306760,Ketamine (substance),Hallucinogenic agent (substance)
6541,NCT01306929,Anoctamin-1 (substance)|Piminodine (substance),Anoctamin-1 (substance)|Piperidine (substance)
6542,NCT01307332,Alemtuzumab (substance),Antibody (substance)
6543,NCT01307800,Latamoxef disodium (substance),Lactam (substance)
6544,NCT01308736,Varenicline (substance),Benzazepine (substance)
6545,NCT01308814,Estradiol (substance)|Substance with estrogen receptor agonist mechanism of action (substance),Estradiol and/or estradiol derivative (substance)|Sex hormone (substance)
6546,NCT01308957,N-3 fatty acid (substance),Fatty acid (substance)
6547,NCT01309074,Pregabalin (substance)|Sertraline (substance),Nutrients (substance)|Antidepressant (substance)
6548,NCT01309581,Ketamine (substance),Hallucinogenic agent (substance)
6549,NCT01309646,"Antigen of Haemophilus influenzae type b capsular polysaccharide polyribosylribitol phosphate conjugated to Clostridium tetani toxoid protein (substance)|Canada balsam (substance)|Adverse reaction to component of vaccine product containing only acellular Bordetella pertussis, Clostridium tetani, Corynebacterium diphtheriae, Haemophilus influenzae type b, Hepatitis B virus and inactivated Human poliovirus antigens (disorder)",Antigen of Haemophilus influenzae type b capsular polysaccharide conjugated (substance)|Canada balsam (substance)|Adverse reaction to component of vaccine product (disorder)
6550,NCT01309685,Varenicline (substance),Benzazepine (substance)
6551,NCT01309763,Silver-103 (substance),Radioactive isotope (substance)
6552,NCT01309945,Duloxetine (substance)|Quinagolide (substance),Antidepressant (substance)|Ergoline derivative (substance)
6553,NCT01310712,Oxybutynin (substance),Antispasmodic (substance)
6554,NCT01310881,Iridium-189 (substance),Radioactive isotope (substance)
6555,NCT01311570,Buprenorphine (substance),Analgesic (substance)
6556,NCT01312272,Oxytocin (substance),Oxytocin (substance)
6557,NCT01312844,Scopolamine (substance),Antispasmodic (substance)
6558,NCT01313117,Lipoic acid (substance)|Paclitaxel (substance),Fatty acid (substance)|Terpene (substance)
6559,NCT01313299,AbobotulinumtoxinA (substance),Bacterial agent (substance)
6560,NCT01313312,Botulinum toxoid type D (substance),Bacterial agent (substance)
6561,NCT01313819,Amantadine (substance),Amantadine (substance)
6562,NCT01313845,Amantadine (substance),Amantadine (substance)
6563,NCT01314300,"Lidocaine (substance)|Spondyloepimetaphyseal dysplasia, hypotrichosis syndrome (disorder)",Local anesthetic (substance)|Short stature disorder (disorder)
6564,NCT01315002,Nicotine (substance),Nicotine (substance)
6565,NCT01315158,Benzodiazepine (substance)|Poisoning caused by opioid receptor agonist (disorder)|Substance with opioid receptor agonist mechanism of action (substance)|Propofol (substance),Hypnotic agent (substance)|Poisoning caused by drug AND/OR medicinal substance (disorder)|Substance with opioid receptor agonist mechanism of action (substance)|Propofol (substance)
6566,NCT01315210,Ribose (substance),Nutrients (substance)
6567,NCT01315262,Sildenafil (substance)|Sildenafil citrate (substance),Sulfone (substance)
6568,NCT01315327,Fish oil (substance)|N-3 fatty acid (substance),Fish (substance)|Fatty acid (substance)
6569,NCT01315847,Carbidopa (substance)|Telaprevir (substance),Catecholamine (substance)|Gaseous substance (substance)
6570,NCT01315938,Abatacept (substance),Immunosuppressant (substance)
6571,NCT01316445,Benzodiazepine (substance)|Midazolam (substance),Hypnotic agent (substance)
6572,NCT01316926,Paroxetine (substance),Antidepressant (substance)
6573,NCT01317004,Fingolimod (substance)|Fingolimod hydrochloride (substance),Immunosuppressant (substance)
6574,NCT01317849,Vitamin B and/or vitamin B derivative (substance)|Folic acid (substance)|Vitamin (substance),Nutrients (substance)
6575,NCT01318226,Saxitoxin (substance)|Substance with peroxisome proliferator-activated receptor agonist mechanism of action (substance)|Methyldimethoxyamphetamine (substance),Saxitoxin (substance)|Substance with peroxisome proliferator-activated receptor agonist mechanism of action (substance)|Amfetamine and/or amfetamine derivative (substance)
6576,NCT01318356,Doxycycline (substance),Doxycycline (substance)
6577,NCT01318408,Progressive avascular necrosis of lunate (disorder)|Levetiracetam (substance),Progressive avascular necrosis of lunate (disorder)|Levetiracetam (substance)
6578,NCT01318421,Elaterin (substance),Plant sapogenin glycoside (substance)
6579,NCT01319188,Ranibizumab (substance),Antibody (substance)
6580,NCT01319214,Indan (substance)|Propranolol hydrochloride (substance),Indan (substance)|Propranolol hydrochloride (substance)
6581,NCT01320527,Vitamin (substance),Nutrients (substance)
6582,NCT01320982,Aspirin (substance)|Anti-psychotic agent (substance)|Minocycline (substance)|Pramipexole (substance),Analgesic (substance)|Anti-psychotic agent (substance)|Minocycline (substance)|Pramipexole (substance)
6583,NCT01321489,Sildenafil citrate (substance),Sulfone (substance)
6584,NCT01321931,Nicotine (substance),Nicotine (substance)
6585,NCT01322048,Clonidine (substance)|Propranolol (substance),Clonidine (substance)|Propranolol (substance)
6586,NCT01323205,Substance with glutamate receptor antagonist mechanism of action (substance)|Naftifine hydrochloride (substance),Substance with glutamate receptor antagonist mechanism of action (substance)|Naftifine hydrochloride (substance)
6587,NCT01323270,Incomplete antibody (substance)|Mosquito repellant (substance)|Antigen of live attenuated Mumps orthorubulavirus Jeryl-Lynn RIT 4385 strain (substance),Antibody (substance)|Biocide (substance)|Antigen of live attenuated virus (substance)
6588,NCT01323374,Carbidopa (substance)|Levodopa (substance)|Droxidopa (substance)|Norepinephrine (substance),Catecholamine (substance)|Droxidopa (substance)|Neurotransmitter (substance)
6589,NCT01323647,Canada balsam (substance)|Antigen of inactivated whole Human poliovirus (substance)|Acute poliomyelitis (disorder)|Infection caused by Human poliovirus (disorder),Canada balsam (substance)|Antigen of Human poliovirus (substance)|Viral disease (disorder)
6590,NCT01323855,Pretzels (substance),Savory snacks (substance)
6591,NCT01324232,Desmopressin acetate trihydrate (substance)|Dextromethorphan (substance)|Quinidine (substance),Desmopressin acetate trihydrate (substance)|Dextromethorphan (substance)|Quinidine (substance)
6592,NCT01324518,Argon-41 (substance),Radioactive isotope (substance)
6593,NCT01324700,Antidepressant (substance)|Citalopram (substance),Antidepressant (substance)
6594,NCT01325090,Clostridium botulinum toxin (substance)|Botulinum toxin type A (substance)|OnabotulinumtoxinA (substance),Bacterial agent (substance)
6595,NCT01325168,Oxytocin (substance),Oxytocin (substance)
6596,NCT01325220,Benoxaprofen (substance)|Shiga toxin 1 (substance),Analgesic (substance)|Bacterial agent (substance)
6597,NCT01325259,Arteriovenous fistula (disorder),Disorder of blood vessel (disorder)
6598,NCT01325571,Tacrolimus (substance),Immunosuppressant (substance)
6599,NCT01325740,Shiga toxin 1 (substance),Bacterial agent (substance)
6600,NCT01326715,Mango fruit (substance),Fresh fruit (substance)
6601,NCT01327859,Donepezil (substance),Piperidine (substance)
6602,NCT01328015,Oxybutynin (substance),Antispasmodic (substance)
6603,NCT01328093,Aripiprazole (substance)|Latamoxef disodium (substance),Aripiprazole (substance)|Lactam (substance)
6604,NCT01328379,Fampridine (substance),Biocide (substance)
6605,NCT01329614,Nicotine (substance),Nicotine (substance)
6606,NCT01329757,Somatotropin (substance),Somatotropin (substance)
6607,NCT01329770,Food antioxidant (substance)|Ascorbic acid (substance)|Melatonin (substance)|Vitamin E and/or vitamin E derivative (substance),Food antioxidant (substance)|Nutrients (substance)|Melatonin (substance)
6608,NCT01330030,Selegiline (substance),Selegiline (substance)
6609,NCT01331122,Droxidopa (substance)|Levodopa (substance),Droxidopa (substance)|Catecholamine (substance)
6610,NCT01331239,Ribavirin (substance),Ribavirin (substance)
6611,NCT01331304,Antidepressant (substance)|Lithium (substance)|Quetiapine (substance)|Anti-psychotic agent (substance),Antidepressant (substance)|Quetiapine (substance)|Anti-psychotic agent (substance)
6612,NCT01331616,Bevacizumab (substance),Antibody (substance)
6613,NCT01332305,Gabapentin (substance)|Genetic material (substance)|Lapatinib ditosylate (substance)|Xp22.13p22.2 duplication syndrome (disorder),Nutrients (substance)|Genetic material (substance)|Lapatinib ditosylate (substance)|Xp22.13p22.2 duplication syndrome (disorder)
6614,NCT01332318,Diphenhydramine (substance)|Lapatinib ditosylate (substance)|Xp22.13p22.2 duplication syndrome (disorder),Diphenhydramine (substance)|Lapatinib ditosylate (substance)|Xp22.13p22.2 duplication syndrome (disorder)
6615,NCT01332513,Retigabine (substance),Retigabine (substance)
6616,NCT01332695,Methyldimethoxyamphetamine (substance),Amfetamine and/or amfetamine derivative (substance)
6617,NCT01333098,Substance with glucocorticoid receptor antagonist mechanism of action (substance)|Mifepristone (substance),Substance with glucocorticoid receptor antagonist mechanism of action (substance)|Mifepristone (substance)
6618,NCT01333358,Alemtuzumab (substance)|Monoclonal antibody (substance),Antibody (substance)
6619,NCT01333488,Magnesium sulfate (substance),Laxative (substance)
6620,NCT01333501,Fingolimod (substance)|Interferon beta-1b (substance),Immunosuppressant (substance)|Mediator of immune response (substance)
6621,NCT01333865,Memantine (substance)|Memantine hydrochloride (substance),Memantine (substance)|Memantine hydrochloride (substance)
6622,NCT01335217,Antidepressant (substance),Antidepressant (substance)
6623,NCT01335295,Deflazacort (substance)|Flavoxate (substance)|Steroid (substance),Corticosteroid and/or corticosteroid derivative (substance)|Piperidine (substance)|Steroid (substance)
6624,NCT01335789,Oxytocin (substance),Oxytocin (substance)
6625,NCT01335867,Vigabatrin (substance),Nutrients (substance)
6626,NCT01336088,Probucol (substance)|Levodopa (substance),Polyphenol (substance)|Catecholamine (substance)
6627,NCT01336413,17-hydroxypregnenolone (substance)|Brexanolone (substance)|Neurotransmitter (substance)|Pregnenolone (substance),Pregnane (substance)|Antidepressant (substance)|Neurotransmitter (substance)
6628,NCT01336439,Botulinum toxin type A (substance)|Satratoxin (substance),Bacterial agent (substance)|Satratoxin (substance)
6629,NCT01336621,Retigabine (substance),Retigabine (substance)
6630,NCT01337427,Bismuth-211 (substance)|Peginterferon beta-1a (substance),Radioactive isotope (substance)|Mediator of immune response (substance)
6631,NCT01337596,Latamoxef disodium (substance),Lactam (substance)
6632,NCT01337687,Oxytocin (substance),Oxytocin (substance)
6633,NCT01337700,Aripiprazole (substance)|Milnacipran (substance)|Risperidone (substance),Aripiprazole (substance)|Antidepressant (substance)|Risperidone (substance)
6634,NCT01338298,Anti-psychotic agent (substance)|Aripiprazole (substance),Anti-psychotic agent (substance)|Aripiprazole (substance)
6635,NCT01338896,Rotigotine (substance),Rotigotine (substance)
6636,NCT01339247,Paroxetine (substance),Antidepressant (substance)
6637,NCT01339494,Arginine (substance)|Citrulline (substance),Nutrients (substance)
6638,NCT01339559,Brivaracetam (substance),Brivaracetam (substance)
6639,NCT01339676,Colecalciferol (substance)|Interferon beta-1b (substance),Nutrients (substance)|Mediator of immune response (substance)
6640,NCT01339689,Ganirelix (substance),Ganirelix (substance)
6641,NCT01339858,Acetylcysteine (substance),Nutrients (substance)
6642,NCT01339884,Resveratrol (substance),Anticoagulant (substance)
6643,NCT01339923,"Multiple endocrine neoplasia, type 1 (disorder)|Antigen of Neisseria meningitidis serogroup C capsular polysaccharide conjugated (substance)|Antigen of Neisseria meningitidis serogroup B recombinant Neisserial heparin binding protein (substance)|Antigen of Neisseria meningitidis serogroup B outer membrane vesicle (substance)|Recessive dystrophic epidermolysis bullosa non-Hallopeau Siemens type (disorder)|Nut and rice roast with egg (substance)",Neoplastic disease (disorder)|Antigen of Neisseria meningitidis (substance)|Recessive dystrophic epidermolysis bullosa non-Hallopeau Siemens type (disorder)|Egg product (substance)
6644,NCT01340885,Atomoxetine (substance)|Rivastigmine (substance),Atomoxetine (substance)|Phenylcarbamate (substance)
6645,NCT01341080,Varenicline (substance),Benzazepine (substance)
6646,NCT01341379,Carglumic acid (substance),Carglumic acid (substance)
6647,NCT01341925,Antidepressant (substance)|Fluoxetine (substance)|N-3 fatty acid (substance),Antidepressant (substance)|Fatty acid (substance)
6648,NCT01342328,Dexmedetomidine (substance)|Propofol (substance)|Substance with alpha-2 adrenergic receptor agonist mechanism of action (substance)|Alpha-adrenergic receptor (substance),Sedative (substance)|Propofol (substance)|Substance with alpha-2 adrenergic receptor agonist mechanism of action (substance)|Receptor (substance)
6649,NCT01342757,Temozolomide (substance)|Vorinostat (substance),Immunologic agent (substance)|Vorinostat (substance)
6650,NCT01343329,Esmolol (substance)|Propranolol (substance),Esmolol (substance)|Propranolol (substance)
6651,NCT01343355,Iridium-190m1 (substance)|Bexarotene (substance),Radioactive isotope (substance)|Terpene (substance)
6652,NCT01343563,Antidepressant (substance),Antidepressant (substance)
6653,NCT01343862,Cycloserine (substance),Cycloserine (substance)
6654,NCT01343966,Antibody to pancreatic islet cell 512 (substance),Antibody (substance)
6655,NCT01344759,Dexmedetomidine (substance)|Propofol (substance),Sedative (substance)|Propofol (substance)
6656,NCT01345058,Lacosamide (substance)|Levetiracetam (substance),Lacosamide (substance)|Levetiracetam (substance)
6657,NCT01345136,Everolimus (substance),Lactam (substance)
6658,NCT01346163,Pexidartinib (substance),Pexidartinib (substance)
6659,NCT01346293,Antigen of acellular Bordetella pertussis (substance)|Daptomycin (substance)|Antigen of Corynebacterium diphtheriae toxoid (substance)|Antigen of Bordetella pertussis toxoid (substance)|Antigen of inactivated whole Human poliovirus (substance)|Ipomea (substance)|Pentaerithrityl tetranitrate (substance)|Acute poliomyelitis (disorder)|Antigen of live attenuated Human poliovirus (substance),Antigen of acellular Bordetella pertussis (substance)|Daptomycin (substance)|Antigen of Corynebacterium diphtheriae toxoid (substance)|Antigen of Human poliovirus (substance)|Ipomea (substance)|Nitric acid ester (substance)|Viral disease (disorder)
6660,NCT01347073,Neuronal cell marker (substance),Neuronal cell marker (substance)
6661,NCT01347112,Substance with A4beta2 acetylcholine receptor partial agonist mechanism of action (substance)|Varenicline (substance),Substance with A4beta2 acetylcholine receptor partial agonist mechanism of action (substance)|Benzazepine (substance)
6662,NCT01347671,Ceftazidime (substance),Lactam (substance)
6663,NCT01347762,Cannabis (substance)|Nabilone (substance),Hallucinogenic agent (substance)|Synthetic cannabinoid (substance)
6664,NCT01348087,Afatinib (substance),Afatinib (substance)
6665,NCT01348100,Iloperidone (substance),Iloperidone (substance)
6666,NCT01348737,Ciprofloxacin hydrochloride (substance),Ciprofloxacin hydrochloride (substance)
6667,NCT01348880,Nifedipine (substance)|Vardenafil (substance),Nifedipine (substance)|Sulfone (substance)
6668,NCT01349205,Caffeine (substance)|Caffeine monohydrate (substance),Caffeine (substance)|Caffeine monohydrate (substance)
6669,NCT01349439,Propranolol (substance),Propranolol (substance)
6670,NCT01349907,Asenapine (substance),Asenapine (substance)
6671,NCT01350362,Sonidegib (substance),Sonidegib (substance)
6672,NCT01350440,Immunoglobulin (substance),Immunoglobulin (substance)
6673,NCT01351168,Levodopa (substance)|Protein Z antigen (substance)|Zolpidem (substance),Catecholamine (substance)|Protein Z antigen (substance)|Sedative (substance)
6674,NCT01352013,N-3 fatty acid (substance),Fatty acid (substance)
6675,NCT01352507,Sildenafil (substance)|Tadalafil (substance),Sulfone (substance)|Tadalafil (substance)
6676,NCT01352572,Antidepressant (substance),Antidepressant (substance)
6677,NCT01352611,Baclofen (substance),Baclofen (substance)
6678,NCT01352741,Pregabalin (substance)|Tapentadol (substance),Nutrients (substance)|Analgesic (substance)
6679,NCT01352793,Antigen of inactivated whole Hepatitis A virus (substance)|Antigen of Neisseria meningitidis serogroup B recombinant factor H binding protein (substance)|Antigen of live attenuated Mumps orthorubulavirus Jeryl-Lynn RIT 4385 strain (substance),Antigen of inactivated whole Hepatitis A virus (substance)|Antigen of Neisseria meningitidis (substance)|Antigen of live attenuated virus (substance)
6680,NCT01353378,Dexmedetomidine (substance),Sedative (substance)
6681,NCT01353599,Steroid (substance),Steroid (substance)
6682,NCT01353703,"Adverse reaction to component of vaccine product containing only acellular Bordetella pertussis, Clostridium tetani, Corynebacterium diphtheriae, Haemophilus influenzae type b, Hepatitis B virus and inactivated Human poliovirus antigens (disorder)|Antigen of live attenuated Measles morbillivirus (substance)",Adverse reaction to component of vaccine product (disorder)|Antigen of live attenuated virus (substance)
6683,NCT01354158,Droxidopa (substance),Droxidopa (substance)
6684,NCT01354353,Aripiprazole (substance)|Latamoxef disodium (substance),Aripiprazole (substance)|Lactam (substance)
6685,NCT01354444,Carvedilol (substance),Carvedilol (substance)
6686,NCT01354691,Lifitegrast (substance),Nutrients (substance)
6687,NCT01355523,Melatonin (substance),Melatonin (substance)
6688,NCT01355952,Lipoic acid (substance),Fatty acid (substance)
6689,NCT01355991,Inanition (disorder)|Anticholinergic adverse reaction (disorder)|Substance with beta-2 adrenergic receptor agonist mechanism of action (substance)|Salmeterol (substance)|Tiotropium (substance)|Substance with beta adrenergic receptor agonist mechanism of action (substance),Inanition (disorder)|Anticholinergic adverse reaction (disorder)|Bronchodilator (substance)|Substance with beta adrenergic receptor agonist mechanism of action (substance)
6690,NCT01356121,Midazolam (substance)|Propofol (substance),Hypnotic agent (substance)|Propofol (substance)
6691,NCT01356940,Fampridine (substance),Biocide (substance)
6692,NCT01357031,Amitriptyline (substance)|Melatonin (substance),Antidepressant (substance)|Melatonin (substance)
6693,NCT01357213,Antibody to Clostridium botulinum toxin A (substance)|Catumaxomab (substance),Antibody (substance)
6694,NCT01357239,Afatinib (substance),Afatinib (substance)
6695,NCT01357421,Tubulin--tyrosine ligase (substance),Tubulin--tyrosine ligase (substance)
6696,NCT01357681,Gallic acid ester (substance),Gallic acid ester (substance)
6697,NCT01357798,Botulinum toxin type A (substance),Bacterial agent (substance)
6698,NCT01357902,Lamotrigine (substance),Lamotrigine (substance)
6699,NCT01358825,"Adverse reaction to component of vaccine product containing only acellular Bordetella pertussis, Clostridium tetani, Corynebacterium diphtheriae, Haemophilus influenzae type b, Hepatitis B virus and inactivated Human poliovirus antigens (disorder)|Pentetic acid (substance)|Antigen of live attenuated Measles morbillivirus (substance)|Haemophilus influenzae type b infection (disorder)",Adverse reaction to component of vaccine product (disorder)|Pentetic acid (substance)|Antigen of live attenuated virus (substance)|Haemophilus influenzae type b infection (disorder)
6700,NCT01359202,Coagulation factor VII (substance),Proenzyme (substance)
6701,NCT01359449,"Antigen of Neisseria meningitidis serogroup A capsular polysaccharide conjugated to Corynebacterium diphtheriae toxoid protein (substance)|Multiple endocrine neoplasia, type 1 (disorder)|Antigen of Neisseria meningitidis serogroup C capsular polysaccharide conjugated (substance)|Antigen of Neisseria meningitidis serogroup C capsular polysaccharide conjugated to Corynebacterium diphtheriae toxoid protein (substance)|Meningococcal infectious disease (disorder)|Pederasty (disorder)",Antigen of Neisseria meningitidis (substance)|Neoplastic disease (disorder)|Meningococcal infectious disease (disorder)|Sexual disorder (disorder)
6702,NCT01359566,Ambroxol acefyllinate (substance),Bronchodilator (substance)
6703,NCT01359670,Phosphodiesterase 4D haploinsufficiency syndrome (disorder)|Sildenafil (substance)|Tadalafil (substance),Phosphodiesterase 4D haploinsufficiency syndrome (disorder)|Sulfone (substance)|Tadalafil (substance)
6704,NCT01359826,Milnacipran (substance),Antidepressant (substance)
6705,NCT01360450,Benzodiazepine (substance)|Substance with central alpha-2 adrenergic receptor agonist mechanism of action (substance)|Clonidine (substance)|Substance with opioid receptor agonist mechanism of action (substance),Hypnotic agent (substance)|Substance with central alpha-2 adrenergic receptor agonist mechanism of action (substance)|Clonidine (substance)|Substance with opioid receptor agonist mechanism of action (substance)
6706,NCT01360632,Antidepressant (substance)|Brexpiprazole (substance)|Pl-12 antibody (substance)|Piblokto (disorder),Antidepressant (substance)|Brexpiprazole (substance)|Antibody (substance)|Piblokto (disorder)
6707,NCT01360645,Antidepressant (substance)|Brexpiprazole (substance)|Pl-12 antibody (substance),Antidepressant (substance)|Brexpiprazole (substance)|Antibody (substance)
6708,NCT01360866,Antidepressant (substance)|Brexpiprazole (substance)|Pl-12 antibody (substance),Antidepressant (substance)|Brexpiprazole (substance)|Antibody (substance)
6709,NCT01361555,Quinagolide (substance),Ergoline derivative (substance)
6710,NCT01361763,Aspirin (substance)|Dabigatran (substance),Analgesic (substance)|Anticoagulant (substance)
6711,NCT01362205,Dexmedetomidine (substance)|Lorazepam (substance)|Doxapram (substance),Sedative (substance)|Hypnotic agent (substance)|Doxapram (substance)
6712,NCT01362439,Paliperidone (substance),Paliperidone (substance)
6713,NCT01362803,Osimertinib (substance)|Sulfate salt (substance)|Substance with mitogen-activated protein kinase kinase 1 inhibitor mechanism of action (substance)|Selumetinib (substance),Osimertinib (substance)|Sulfate salt (substance)|Substance with mitogen-activated protein kinase kinase 1 inhibitor mechanism of action (substance)|Benzimidazole (substance)
6714,NCT01363349,Cypridina-luciferin 2-monooxygenase (substance)|Risperidone (substance),Cypridina-luciferin 2-monooxygenase (substance)|Risperidone (substance)
6715,NCT01363583,Epoprostenol (substance),Fatty acid (substance)
6716,NCT01363648,Choline bitartrate (substance)|Dofetilide (substance),Nutrients (substance)|Sulfone (substance)
6717,NCT01364220,Rosuvastatin (substance)|Substance with 3-hydroxy-3-methylglutaryl-coenzyme A reductase inhibitor mechanism of action (substance),Antilipemic agent (substance)
6718,NCT01364259,Amifostine (substance),Organic phosphorus compound (substance)
6719,NCT01364545,Ketone (substance),Ketone (substance)
6720,NCT01364558,Diazepam (substance),Hypnotic agent (substance)
6721,NCT01364597,Brivaracetam (substance),Brivaracetam (substance)
6722,NCT01364701,Phosphodiesterase I (substance),Phosphodiesterase I (substance)
6723,NCT01364792,Valaciclovir (substance),Valaciclovir (substance)
