,nct_id,canonical_BioLinkBERT-base_conditions,snomed_termid,linkbert_snomed_term_canonical_conditions,linkbert_cdist_conditions,Top_Concept,Top_Concept_Canonical,Top_Concept_Canonical_First
35943,NCT03361631,endothelial dysfunction,697976003,Microvascular ischemia of myocardium (disorder),11.9352,"[56265001, 48125009]","['Heart disease (disorder)', 'Injury of trunk (disorder)']",Heart disease (disorder)
35946,NCT03361631,type 1 diabetes mellitus,46635009,Diabetes mellitus type 1 (disorder),0.0053,"[126877002, 362969004]","['Disorder of glucose metabolism (disorder)', 'Disorder of endocrine system (disorder)']",Disorder of glucose metabolism (disorder)
35947,NCT03361631,type 1 diabetic,46635009,Diabetes mellitus type 1 (disorder),4.48,"[126877002, 362969004]","['Disorder of glucose metabolism (disorder)', 'Disorder of endocrine system (disorder)']",Disorder of glucose metabolism (disorder)
35948,NCT03361631,type i diabetes,46635009,Diabetes mellitus type 1 (disorder),3.3569,"[126877002, 362969004]","['Disorder of glucose metabolism (disorder)', 'Disorder of endocrine system (disorder)']",Disorder of glucose metabolism (disorder)
35949,NCT03362502,duchenne muscular dystrophy,76670001,Duchenne muscular dystrophy (disorder),0.0085,"[276654001, 363058009, 75047002]","['Congenital malformation (disorder)', 'Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Congenital malformation (disorder)
35950,NCT03362502,"muscular dystrophy, duchenne",76670001,Duchenne muscular dystrophy (disorder),2.1429,"[276654001, 363058009, 75047002]","['Congenital malformation (disorder)', 'Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Congenital malformation (disorder)
35960,NCT03363217,neurofibromatosis 1,92824003,Neurofibromatosis type 1 (disorder),0.0048,"[55342001, 95320005, 11164009]","['Neoplastic disease (disorder)', 'Disorder of skin (disorder)', 'Autosomal dominant hereditary disorder (disorder)']",Neoplastic disease (disorder)
35965,NCT03363763,cutaneous angiofibromas,302857002,Angiofibroma (disorder),5.8256,"[55342001, 27550009]","['Neoplastic disease (disorder)', 'Disorder of blood vessel (disorder)']",Neoplastic disease (disorder)
35966,NCT03363763,tuberous sclerosis,7199000,Tuberous sclerosis syndrome (disorder),0.0053,"[55342001, 95320005, 11164009]","['Neoplastic disease (disorder)', 'Disorder of skin (disorder)', 'Autosomal dominant hereditary disorder (disorder)']",Neoplastic disease (disorder)
35968,NCT03364036,highly active relapsing multiple sclerosis,230372003,Acute relapsing multiple sclerosis (disorder),8.6849,"[128283000, 24700007]","['Chronic nervous system disorder (disorder)', 'Multiple sclerosis (disorder)']",Chronic nervous system disorder (disorder)
35970,NCT03364660,cardiovascular and respiratory dysfunction,86234004,Hypertensive heart AND renal disease (disorder),10.4215,"[56265001, 42030000]","['Heart disease (disorder)', 'Disorder of the genitourinary system (disorder)']",Heart disease (disorder)
35975,NCT03365011,chronic tinnitus,232325008,Chronic deafness (disorder),10.7447,"[232208008, 15188001]","['Ear, nose and throat disorder (disorder)', 'Hearing loss (disorder)']","Ear, nose and throat disorder (disorder)"
35986,NCT03367403,early symptomatic alzheimer's disease,416780008,"Primary degenerative dementia of the Alzheimer type, presenile onset (disorder)",7.5578,"[12348006, 26929004]","['Presenile dementia (disorder)', ""Alzheimer's disease (disorder)""]",Presenile dementia (disorder)
35994,NCT03368170,levodopa,387086006,Levodopa,0.0,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Levodopa
36001,NCT03368742,duchenne muscular dystrophy,76670001,Duchenne muscular dystrophy (disorder),0.0085,"[276654001, 363058009, 75047002]","['Congenital malformation (disorder)', 'Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Congenital malformation (disorder)
36002,NCT03368742,"muscular dystrophy, duchenne",76670001,Duchenne muscular dystrophy (disorder),2.1429,"[276654001, 363058009, 75047002]","['Congenital malformation (disorder)', 'Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Congenital malformation (disorder)
36006,NCT03368872,sarcopenia,772791006,Sarcopenia (disorder),0.0,"[363058009, 75047002]","['Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Degenerative disorder of muscle (disorder)
36007,NCT03369093,pneumonia,233604007,Pneumonia (disorder),0.0,"[40733004, 50043002]","['Infectious disease (disorder)', 'Disorder of respiratory system (disorder)']",Infectious disease (disorder)
36008,NCT03369093,severe pneumonia,707224005,Severe acute respiratory infection (disorder),10.3059,"[40733004, 50043002]","['Infectious disease (disorder)', 'Disorder of respiratory system (disorder)']",Infectious disease (disorder)
36009,NCT03369093,who,39998009,Verner-Morrison syndrome (disorder),13.9545,"[362969004, 76712006]","['Disorder of endocrine system (disorder)', 'Disorder of digestive organ (disorder)']",Disorder of endocrine system (disorder)
36015,NCT03369665,highly-active relapsing multiple sclerosis,230372003,Acute relapsing multiple sclerosis (disorder),8.3353,"[128283000, 24700007]","['Chronic nervous system disorder (disorder)', 'Multiple sclerosis (disorder)']",Chronic nervous system disorder (disorder)
36017,NCT03369665,relapsing multiple sclerosis,724778008,Progressive relapsing multiple sclerosis (disorder),4.9867,"[24700007, 128283000]","['Multiple sclerosis (disorder)', 'Chronic nervous system disorder (disorder)']",Multiple sclerosis (disorder)
36025,NCT03371329,acute spontaneous hemorrhagic stroke,270907008,Spontaneous intracranial subarachnoid hemorrhage (disorder),11.0587,"[1386000, 1119219007]","['Intracranial hemorrhage (disorder)', 'Nontraumatic injury (disorder)']",Intracranial hemorrhage (disorder)
36032,NCT03371589,bell palsy,193093009,Bell's palsy (disorder),0.0,"[302226006, 37340000, 41969006]","['Peripheral nerve disease (disorder)', 'Motor neuron disease (disorder)', 'Idiopathic disease (disorder)']",Peripheral nerve disease (disorder)
36033,NCT03371589,bell's phenomenon,193093009,Bell's palsy (disorder),9.6335,"[302226006, 37340000, 41969006]","['Peripheral nerve disease (disorder)', 'Motor neuron disease (disorder)', 'Idiopathic disease (disorder)']",Peripheral nerve disease (disorder)
36047,NCT03372499,tips treatment,128059004,Partial portal-systemic vascular shunt (disorder),13.0766,"[428794004, 27550009]","['Fistula (disorder)', 'Disorder of blood vessel (disorder)']",Fistula (disorder)
36048,NCT03372499,transjugular intrahepatic portosystemic shunt,128059004,Partial portal-systemic vascular shunt (disorder),9.8398,"[428794004, 27550009]","['Fistula (disorder)', 'Disorder of blood vessel (disorder)']",Fistula (disorder)
36049,NCT03372499,transjugular intrahepatic portosystemic shunt treatment,128059004,Partial portal-systemic vascular shunt (disorder),10.1558,"[428794004, 27550009]","['Fistula (disorder)', 'Disorder of blood vessel (disorder)']",Fistula (disorder)
36054,NCT03373968,dmd,76670001,Duchenne muscular dystrophy (disorder),8.6181,"[276654001, 363058009, 75047002]","['Congenital malformation (disorder)', 'Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Congenital malformation (disorder)
36055,NCT03373968,duchenne's muscular dystrophy,76670001,Duchenne muscular dystrophy (disorder),1.4625,"[276654001, 363058009, 75047002]","['Congenital malformation (disorder)', 'Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Congenital malformation (disorder)
36056,NCT03374514,cochlear,85571008,Sensory hearing loss (disorder),12.5263,"[232208008, 15188001]","['Ear, nose and throat disorder (disorder)', 'Hearing loss (disorder)']","Ear, nose and throat disorder (disorder)"
36062,NCT03374709,trigeminal neuralgia,31681005,Trigeminal neuralgia (disorder),0.005,"[23096007, 302226006]","['Cranial neuralgia (disorder)', 'Peripheral nerve disease (disorder)']",Cranial neuralgia (disorder)
36068,NCT03375164,dmd,76670001,Duchenne muscular dystrophy (disorder),8.6181,"[276654001, 363058009, 75047002]","['Congenital malformation (disorder)', 'Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Congenital malformation (disorder)
36069,NCT03375164,duchenne muscular dystrophy,76670001,Duchenne muscular dystrophy (disorder),0.0085,"[276654001, 363058009, 75047002]","['Congenital malformation (disorder)', 'Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Congenital malformation (disorder)
36070,NCT03375164,"muscular dystrophy, duchenne",76670001,Duchenne muscular dystrophy (disorder),2.1429,"[276654001, 363058009, 75047002]","['Congenital malformation (disorder)', 'Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Congenital malformation (disorder)
36071,NCT03375255,dmd,76670001,Duchenne muscular dystrophy (disorder),8.6181,"[276654001, 363058009, 75047002]","['Congenital malformation (disorder)', 'Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Congenital malformation (disorder)
36072,NCT03375255,duchenne muscular dystrophy,76670001,Duchenne muscular dystrophy (disorder),0.0085,"[276654001, 363058009, 75047002]","['Congenital malformation (disorder)', 'Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Congenital malformation (disorder)
36073,NCT03375255,exon 51 skipping treatment,389274008,Whyte Hemingway carpal tarsal phalangeal osteolyses (disorder),14.7368,"[11164009, 41969006, 88230002]","['Autosomal dominant hereditary disorder (disorder)', 'Idiopathic disease (disorder)', 'Disorder of skeletal system (disorder)']",Autosomal dominant hereditary disorder (disorder)
36074,NCT03375255,"muscular dystrophy, duchenne",76670001,Duchenne muscular dystrophy (disorder),2.1429,"[276654001, 363058009, 75047002]","['Congenital malformation (disorder)', 'Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Congenital malformation (disorder)
36076,NCT03375255,to exon 51 skipping treatment,389274008,Whyte Hemingway carpal tarsal phalangeal osteolyses (disorder),14.972,"[11164009, 41969006, 88230002]","['Autosomal dominant hereditary disorder (disorder)', 'Idiopathic disease (disorder)', 'Disorder of skeletal system (disorder)']",Autosomal dominant hereditary disorder (disorder)
36081,NCT03375697,prodromal or mild alzheimer's disease,416780008,"Primary degenerative dementia of the Alzheimer type, presenile onset (disorder)",7.6462,"[12348006, 26929004]","['Presenile dementia (disorder)', ""Alzheimer's disease (disorder)""]",Presenile dementia (disorder)
36092,NCT03377322,constipation,197118003,Constipation - functional (disorder),5.6313,"[76712006, 119292006]","['Disorder of digestive organ (disorder)', 'Disorder of gastrointestinal tract (disorder)']",Disorder of digestive organ (disorder)
36094,NCT03378414,spinocerebellar ataxia,129609000,Spinocerebellar ataxia (disorder),0.0059,"[48522003, 223176004, 763597000]","['Spinal cord disorder (disorder)', 'Cerebellar disorder (disorder)', 'Hereditary ataxia (disorder)']",Spinal cord disorder (disorder)
36095,NCT03378414,spinocerebellar ataxias,129609000,Spinocerebellar ataxia (disorder),2.6889,"[48522003, 223176004, 763597000]","['Spinal cord disorder (disorder)', 'Cerebellar disorder (disorder)', 'Hereditary ataxia (disorder)']",Spinal cord disorder (disorder)
36096,NCT03378531,arginase i deficiency,23501004,Arginase deficiency (disorder),3.2479,"[1821000146108, 44779003]","['Hereditary metabolic disease (disorder)', 'Disorder of amino acid metabolism (disorder)']",Hereditary metabolic disease (disorder)
36106,NCT03380091,polycystic ovary syndrome,237055002,Polycystic ovary syndrome (disorder),0.0057,"[362969004, 42030000, 441457006]","['Disorder of endocrine system (disorder)', 'Disorder of the genitourinary system (disorder)', 'Cyst (disorder)']",Disorder of endocrine system (disorder)
36107,NCT03381170,relapsing forms of multiple sclerosis,724778008,Progressive relapsing multiple sclerosis (disorder),5.9585,"[24700007, 128283000]","['Multiple sclerosis (disorder)', 'Chronic nervous system disorder (disorder)']",Multiple sclerosis (disorder)
36108,NCT03381261,chronic migraine,427419006,Transformed migraine (disorder),0.0,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
36117,NCT03384433,acute ischemic stroke,422504002,Ischemic stroke (disorder),7.675,"[230690007, 389100007]","['Cerebrovascular accident (disorder)', 'Ischemic encephalopathy (disorder)']",Cerebrovascular accident (disorder)
36124,NCT03385174,monoxide,6710000,Monoxide,7.1597,"[312413002, 115669006]","['Substance categorized by structure (substance)', 'Substance categorized by physical state (substance)']",Monoxide
36138,NCT03386669,cbs,24308003,Cystathionine beta-synthase deficiency (disorder),8.9771,"[1821000146108, 44779003]","['Hereditary metabolic disease (disorder)', 'Disorder of amino acid metabolism (disorder)']",Hereditary metabolic disease (disorder)
36145,NCT03387046,acute relapse,12281000132104,Relapsing acute myeloid leukemia (disorder),9.8149,"[425333006, 55342001]","['Myeloproliferative disorder (disorder)', 'Neoplastic disease (disorder)']",Myeloproliferative disorder (disorder)
36166,NCT03392987,pre-symptomatic early onset mld,768935003,Multiple epiphyseal dysplasia Lowry type (disorder),13.4553,"[276654001, 237836003, 88230002]","['Congenital malformation (disorder)', 'Short stature disorder (disorder)', 'Disorder of skeletal system (disorder)']",Congenital malformation (disorder)
36168,NCT03393689,sporadic vestibuarl schwannomas,92503002,Neurofibromatosis type 2 (disorder),7.7632,"[55342001, 95320005, 302226006]","['Neoplastic disease (disorder)', 'Disorder of skin (disorder)', 'Peripheral nerve disease (disorder)']",Neoplastic disease (disorder)
36169,NCT03393689,vestibularis schwannomer,126949007,Acoustic neuroma (disorder),11.0551,"[55342001, 302226006]","['Neoplastic disease (disorder)', 'Peripheral nerve disease (disorder)']",Neoplastic disease (disorder)
36185,NCT03396588,nas,238889004,Membranous lipodystrophy (disorder),12.7768,"[363168001, 105969002]","['Inflammation of skin and/or subcutaneous tissue (disorder)', 'Disorder of connective tissue (disorder)']",Inflammation of skin and/or subcutaneous tissue (disorder)
36192,NCT03397446,attention-deficit/hyperactivity disorder,406506008,Attention deficit hyperactivity disorder (disorder),2.4084,"[229712006, 129104009]","['Disorders of attention and motor control (disorder)', 'Developmental mental disorder (disorder)']",Disorders of attention and motor control (disorder)
36200,NCT03398044,adenotomy,111591002,Hypertrophy of adenoids (disorder),12.462,"[232208008, 50410009, 50043002, 76712006, 362971004]","['Ear, nose and throat disorder (disorder)', 'Disorder of upper digestive tract (disorder)', 'Disorder of respiratory system (disorder)', 'Disorder of digestive organ (disorder)', 'Disorder of lymphatic system (disorder)']","Ear, nose and throat disorder (disorder)"
36201,NCT03398044,post-operative nausea,64581007,Postoperative nausea (disorder),4.081,"[738668004, 119292006, 50410009]","['Perioperative complication (disorder)', 'Disorder of gastrointestinal tract (disorder)', 'Disorder of upper digestive tract (disorder)']",Perioperative complication (disorder)
36202,NCT03398044,post-operative nausea and vomiting,1488000,Postoperative nausea and vomiting (disorder),4.1085,"[50410009, 738668004, 119292006]","['Disorder of upper digestive tract (disorder)', 'Perioperative complication (disorder)', 'Disorder of gastrointestinal tract (disorder)']",Disorder of upper digestive tract (disorder)
36203,NCT03398044,strabism correction,415592003,Strabismus following ocular surgery (disorder),10.2667,"[738668004, 45030009]","['Perioperative complication (disorder)', 'Disorder of eye movements (disorder)']",Perioperative complication (disorder)
36204,NCT03398044,tonsillectomy,110138006,Avulsion of tonsil (disorder),9.3643,"[232208008, 284554003, 50410009, 50043002, 76712006, 362971004]","['Ear, nose and throat disorder (disorder)', 'Avulsion - injury (disorder)', 'Disorder of upper digestive tract (disorder)', 'Disorder of respiratory system (disorder)', 'Disorder of digestive organ (disorder)', 'Disorder of lymphatic system (disorder)']","Ear, nose and throat disorder (disorder)"
36206,NCT03399318,cns malaria,53622003,Cerebral malaria (disorder),7.9261,"[40733004, 45170000]","['Infectious disease (disorder)', 'Encephalitis (disorder)']",Infectious disease (disorder)
36209,NCT03400852,duchenne muscular dystrophy,76670001,Duchenne muscular dystrophy (disorder),0.0085,"[276654001, 363058009, 75047002]","['Congenital malformation (disorder)', 'Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Congenital malformation (disorder)
36210,NCT03400852,"muscular dystrophy, duchenne",76670001,Duchenne muscular dystrophy (disorder),2.1429,"[276654001, 363058009, 75047002]","['Congenital malformation (disorder)', 'Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Congenital malformation (disorder)
36212,NCT03401073,fgfr3,785283003,Fgfr3,12.5468,"[417176000, 106181007]","['Growth substance (substance)', 'Immunologic substance (substance)']",Fgfr3
36218,NCT03401346,acute migraine headache,4473006,Migraine with aura (disorder),8.697,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
36219,NCT03401515,autonomic dysfunction syndrome,231517009,Somatoform autonomic dysfunction (disorder),6.3155,"[723916001, 15241006]","['Bodily distress disorder (disorder)', 'Disorder of autonomic nervous system (disorder)']",Bodily distress disorder (disorder)
36223,NCT03401515,severe tbt,46764007,Severe pre-eclampsia (disorder),12.6926,"[38341003, 173300003]","['Hypertensive disorder, systemic arterial (disorder)', 'Disorder of pregnancy (disorder)']","Hypertensive disorder, systemic arterial (disorder)"
36225,NCT03401515,sympathetic storm phenomenon,192915005,Paralysis of cervical sympathetic trunk (disorder),11.4765,"[15241006, 784289008]","['Disorder of autonomic nervous system (disorder)', 'Nerve palsy (disorder)']",Disorder of autonomic nervous system (disorder)
36227,NCT03401788,rcc,702391001,Renal cell carcinoma (disorder),8.9679,"[42030000, 55342001]","['Disorder of the genitourinary system (disorder)', 'Neoplastic disease (disorder)']",Disorder of the genitourinary system (disorder)
36228,NCT03401788,renal cell carcinoma,702391001,Renal cell carcinoma (disorder),0.0,"[42030000, 55342001]","['Disorder of the genitourinary system (disorder)', 'Neoplastic disease (disorder)']",Disorder of the genitourinary system (disorder)
36229,NCT03401788,vhl disease associated,46659004,Von Hippel-Lindau syndrome (disorder),7.4392,"[55342001, 95320005]","['Neoplastic disease (disorder)', 'Disorder of skin (disorder)']",Neoplastic disease (disorder)
36230,NCT03401788,von hippel lindau disease-associated,46659004,Von Hippel-Lindau syndrome (disorder),6.1816,"[55342001, 95320005]","['Neoplastic disease (disorder)', 'Disorder of skin (disorder)']",Neoplastic disease (disorder)
36231,NCT03401801,stellate ganglion block,52723009,Injury of stellate ganglion (disorder),10.7507,"[282026002, 15241006, 57182000, 302226006]","['Soft tissue injury (disorder)', 'Disorder of autonomic nervous system (disorder)', 'Nerve injury (disorder)', 'Peripheral nerve disease (disorder)']",Soft tissue injury (disorder)
36241,NCT03403205,hepatolenticular degeneration,88518009,Wilson's disease (disorder),0.0,"[271700006, 76712006]","['Chorea (disorder)', 'Disorder of digestive organ (disorder)']",Chorea (disorder)
36242,NCT03403309,multiple system atrophy,230297002,Multiple system atrophy (disorder),0.0,"[15241006, 785810000]","['Disorder of autonomic nervous system (disorder)', 'Synucleinopathy (disorder)']",Disorder of autonomic nervous system (disorder)
36244,NCT03403842,laparoscopic colon resections,262875008,Transection of colon (disorder),14.6067,"[76712006, 48125009, 119292006]","['Disorder of digestive organ (disorder)', 'Injury of trunk (disorder)', 'Disorder of gastrointestinal tract (disorder)']",Disorder of digestive organ (disorder)
36246,NCT03405727,sarcopenia,772791006,Sarcopenia (disorder),0.0,"[363058009, 75047002]","['Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Degenerative disorder of muscle (disorder)
36250,NCT03406169,nerve sparing,230621002,Complete division of peripheral nerve (disorder),11.046,"[282026002, 57182000, 302226006]","['Soft tissue injury (disorder)', 'Nerve injury (disorder)', 'Peripheral nerve disease (disorder)']",Soft tissue injury (disorder)
36251,NCT03406169,robotic assisted laparoscopic prostatectomy,723508002,RAS-associated autoimmune leukoproliferative disease (disorder),14.848,"[234532001, 85828009]","['Immunodeficiency disorder (disorder)', 'Autoimmune disease (disorder)']",Immunodeficiency disorder (disorder)
36252,NCT03406169,robotic-assisted laparoscopic prostatectomy,723508002,RAS-associated autoimmune leukoproliferative disease (disorder),14.7068,"[234532001, 85828009]","['Immunodeficiency disorder (disorder)', 'Autoimmune disease (disorder)']",Immunodeficiency disorder (disorder)
36253,NCT03406611,cbs) deficiency,24308003,Cystathionine beta-synthase deficiency (disorder),1.9096,"[1821000146108, 44779003]","['Hereditary metabolic disease (disorder)', 'Disorder of amino acid metabolism (disorder)']",Hereditary metabolic disease (disorder)
36255,NCT03406611,cystathionine beta-synthase deficient,24308003,Cystathionine beta-synthase deficiency (disorder),3.4928,"[1821000146108, 44779003]","['Hereditary metabolic disease (disorder)', 'Disorder of amino acid metabolism (disorder)']",Hereditary metabolic disease (disorder)
36259,NCT03406780,duchenne muscular dystrophy,76670001,Duchenne muscular dystrophy (disorder),0.0085,"[276654001, 363058009, 75047002]","['Congenital malformation (disorder)', 'Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Congenital malformation (disorder)
36260,NCT03406780,"muscular dystrophy, duchenne",76670001,Duchenne muscular dystrophy (disorder),2.1429,"[276654001, 363058009, 75047002]","['Congenital malformation (disorder)', 'Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Congenital malformation (disorder)
36284,NCT03415061,surgery,44402007,Loss of teeth due to extraction (disorder),12.9254,"[50410009, 76712006]","['Disorder of upper digestive tract (disorder)', 'Disorder of digestive organ (disorder)']",Disorder of upper digestive tract (disorder)
36288,NCT03415360,post limb amputation,735915008,Disorder due to and following amputation of limb (disorder),8.2886,"[738668004, 88797001]","['Perioperative complication (disorder)', 'Complication of surgical procedure (disorder)']",Perioperative complication (disorder)
36295,NCT03417492,repetitive mild traumatic brain injury,110030002,Concussion injury of brain (disorder),10.0734,"[127295002, 708540005]","['Traumatic brain injury (disorder)', 'Concussion injury of body structure (disorder)']",Traumatic brain injury (disorder)
36298,NCT03417492,traumatic microvascular injury,57662003,Injury of blood vessel (disorder),12.3454,"[282026002, 27550009]","['Soft tissue injury (disorder)', 'Disorder of blood vessel (disorder)']",Soft tissue injury (disorder)
36301,NCT03417531,progressive muscle mass loss,772791006,Sarcopenia (disorder),8.5096,"[363058009, 75047002]","['Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Degenerative disorder of muscle (disorder)
36303,NCT03417531,sarcopenia,772791006,Sarcopenia (disorder),0.0,"[363058009, 75047002]","['Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Degenerative disorder of muscle (disorder)
36305,NCT03417986,early onset of alzheimer's disease,416780008,"Primary degenerative dementia of the Alzheimer type, presenile onset (disorder)",4.5165,"[12348006, 26929004]","['Presenile dementia (disorder)', ""Alzheimer's disease (disorder)""]",Presenile dementia (disorder)
36306,NCT03417986,early-to-mild ad,230266001,Non-familial Alzheimer's disease of early onset (disorder),8.3039,"[12348006, 26929004]","['Presenile dementia (disorder)', ""Alzheimer's disease (disorder)""]",Presenile dementia (disorder)
36308,NCT03417986,newly diagnosed,405749004,Newly diagnosed diabetes (disorder),11.4304,"[126877002, 362969004]","['Disorder of glucose metabolism (disorder)', 'Disorder of endocrine system (disorder)']",Disorder of glucose metabolism (disorder)
36320,NCT03419000,drug-resistant focal epilepsy,434541000124109,"Benign childhood epilepsy with centrotemporal spikes, refractory (disorder)",10.2835,"[128613002, 41969006]","['Seizure disorder (disorder)', 'Idiopathic disease (disorder)']",Seizure disorder (disorder)
36322,NCT03419000,ictal/post-ictal hypoxemia,288581000119102,Sleep related hypoxemia (disorder),11.062,"[389087006, 39898005]","['Hypoxemia (disorder)', 'Sleep disorder (disorder)']",Hypoxemia (disorder)
36324,NCT03419000,seizure-related respiratory dysfunction,1163073003,Encephalitis caused by human respiratory syncytial virus (disorder),11.5138,"[40733004, 45170000]","['Infectious disease (disorder)', 'Encephalitis (disorder)']",Infectious disease (disorder)
36325,NCT03419000,sudden and unexpected death in epilepsy,735686002,Sudden cardiac death due to cardiac arrhythmia (disorder),9.9307,"[56265001, 128487001]","['Heart disease (disorder)', 'Acute disease of cardiovascular system (disorder)']",Heart disease (disorder)
36328,NCT03419325,diabetes,73211009,Diabetes mellitus (disorder),3.8005,"[126877002, 362969004]","['Disorder of glucose metabolism (disorder)', 'Disorder of endocrine system (disorder)']",Disorder of glucose metabolism (disorder)
36329,NCT03419325,heart,363435002,Malignant tumor of heart (disorder),10.0678,"[56265001, 55342001]","['Heart disease (disorder)', 'Neoplastic disease (disorder)']",Heart disease (disorder)
36332,NCT03419715,migraine,37796009,Migraine (disorder),0.0076,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
36333,NCT03419715,migraine disorders,37796009,Migraine (disorder),3.8284,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
36336,NCT03419767,insulin resistance,763325000,Insulin resistance (disorder),0.0034,"[237597000, 362969004]","['Disorder of glucose regulation (disorder)', 'Disorder of endocrine system (disorder)']",Disorder of glucose regulation (disorder)
36338,NCT03419806,on -,427488005,On - off phenomenon (disorder),11.7071,"[32798002, 47362003]","['Parkinsonism (disorder)', 'Medication-induced movement disorder (disorder)']",Parkinsonism (disorder)
36343,NCT03419819,phenylketonuria,190687004,Phenylketonuria (disorder),0.0034,"[1821000146108, 44779003]","['Hereditary metabolic disease (disorder)', 'Disorder of amino acid metabolism (disorder)']",Hereditary metabolic disease (disorder)
36344,NCT03419819,phenylketonurias,190687004,Phenylketonuria (disorder),2.3806,"[1821000146108, 44779003]","['Hereditary metabolic disease (disorder)', 'Disorder of amino acid metabolism (disorder)']",Hereditary metabolic disease (disorder)
36345,NCT03420105,breast cancer,254837009,Malignant neoplasm of breast (disorder),0.0,"[79604008, 55342001]","['Disorder of breast (disorder)', 'Neoplastic disease (disorder)']",Disorder of breast (disorder)
36350,NCT03420222,intermittent explosive disorder,40987004,Intermittent explosive disorder (disorder),0.0031,"[33449004, 128293007, 66347000]","['Personality disorder (disorder)', 'Chronic mental disorder (disorder)', 'Impulse control disorder (disorder)']",Personality disorder (disorder)
36356,NCT03420794,minimally invasive hysterectomy,32581000119101,Mild to moderate hyperstimulation of ovaries (disorder),13.6101,"[362969004, 42030000]","['Disorder of endocrine system (disorder)', 'Disorder of the genitourinary system (disorder)']",Disorder of endocrine system (disorder)
36361,NCT03422796,migraine,37796009,Migraine (disorder),0.0076,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
36362,NCT03422796,migraine disorders,37796009,Migraine (disorder),3.8284,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
36363,NCT03422796,migraine without aura,56097005,Migraine without aura (disorder),0.0,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
36364,NCT03422900,diabetics,73211009,Diabetes mellitus (disorder),6.4215,"[126877002, 362969004]","['Disorder of glucose metabolism (disorder)', 'Disorder of endocrine system (disorder)']",Disorder of glucose metabolism (disorder)
36369,NCT03423667,cocaine,387085005,Cocaine,0.002,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Cocaine
36370,NCT03423667,cocaine dependence,31956009,Cocaine dependence (disorder),0.0037,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
36377,NCT03424460,deep vein thrombosis,128053003,Deep venous thrombosis (disorder),0.0034,"[27550009, 439127006]","['Disorder of blood vessel (disorder)', 'Thrombosis (disorder)']",Disorder of blood vessel (disorder)
36379,NCT03424460,myotonic dystrophy type 1,77956009,Steinert myotonic dystrophy syndrome (disorder),0.0,"[363058009, 75047002, 11164009]","['Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)', 'Autosomal dominant hereditary disorder (disorder)']",Degenerative disorder of muscle (disorder)
36381,NCT03424460,venous thromboembolic events,429098002,Thromboembolism of vein (disorder),6.4813,"[27550009, 439127006]","['Disorder of blood vessel (disorder)', 'Thrombosis (disorder)']",Disorder of blood vessel (disorder)
