,nct_id,aact_snomed_term_canonical_conditions,aact_top_concept_canonical_first_conditions
11114,NCT02517424,Posttraumatic stress disorder (disorder),Anxiety disorder (disorder)
11115,NCT02517788,Relapsing remitting multiple sclerosis (disorder),Multiple sclerosis (disorder)
11116,NCT02517931,Post dural puncture headache (disorder),Headache disorder (disorder)
11117,NCT02518464,Migraine (disorder),Headache disorder (disorder)
11118,NCT02518789,Myoclonic disorder (disorder),Myoclonic disorder (disorder)
11119,NCT02519036,Huntington's chorea (disorder),Dystonia (disorder)
11120,NCT02519387,Polyalgia (disorder),Polyalgia (disorder)
11121,NCT02519400,Depressive disorder (disorder),Depressive disorder (disorder)
11122,NCT02519543,Bipolar disorder (disorder),Bipolar disorder (disorder)
11123,NCT02520934,Glucosylceramide beta-glucosidase deficiency (disorder),Sphingolipidosis (disorder)
11124,NCT02520947,Minimally conscious state (disorder),Minimally conscious state (disorder)
11125,NCT02521012,Depressive disorder (disorder),Depressive disorder (disorder)
11126,NCT02521311,Optic neuritis (disorder),Disorder of optic nerve (disorder)
11127,NCT02521493,Complete trisomy 21 syndrome (disorder),Complete trisomy 21 syndrome (disorder)
11128,NCT02521545,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
11129,NCT02523664,Borderline personality disorder (disorder)|Posttraumatic stress disorder (disorder),Personality disorder (disorder)|Anxiety disorder (disorder)
11130,NCT02523690,Muscle atrophy (disorder),Muscle atrophy (disorder)
11131,NCT02523703,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
11132,NCT02524301,Body dysmorphic disorder (disorder),Obsessive-compulsive disorder (disorder)
11133,NCT02524899,Schizotypal personality disorder (disorder),Personality disorder (disorder)
11134,NCT02525172,Glycogen storage disease due to acid maltase deficiency (disorder),Glycogen storage disease due to acid maltase deficiency (disorder)
11135,NCT02525302,Duchenne muscular dystrophy (disorder),Muscular dystrophy (disorder)
11136,NCT02525432,Traumatic brain injury (disorder),Traumatic brain injury (disorder)
11137,NCT02525874,Multiple sclerosis (disorder)|Relapsing remitting multiple sclerosis (disorder),Multiple sclerosis (disorder)
11138,NCT02526030,Psychotic disorder (disorder)|Schizophrenia (disorder),Psychotic disorder (disorder)|Schizophrenia (disorder)
11139,NCT02526394,Meningitis (disorder),Meningitis (disorder)
11140,NCT02526550,Encephalitis (disorder),Encephalitis (disorder)
11141,NCT02527460,Disorder of nervous system (disorder),Disorder of nervous system (disorder)
11142,NCT02527564,Bipolar disorder (disorder),Bipolar disorder (disorder)
11143,NCT02528409,Binge eating disorder (disorder),Behavioral syndrome associated with physiological disturbance and physical factors (disorder)
11144,NCT02528513,Delirium (disorder),Confusional state (disorder)
11145,NCT02529124,Sarcopenia (disorder),Sarcopenia (disorder)
11146,NCT02529423,Depressive disorder (disorder),Depressive disorder (disorder)
11147,NCT02529670,Neurological pain disorder (disorder)|Cranial neuralgia (disorder),Neurological pain disorder (disorder)|Cranial neuralgia (disorder)
11148,NCT02529839,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
11149,NCT02529917,Sarcopenia (disorder),Sarcopenia (disorder)
11150,NCT02530164,Depressive disorder (disorder),Depressive disorder (disorder)
11151,NCT02530255,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
11152,NCT02530281,Hyperhidrosis (disorder),Hyperhidrosis (disorder)
11153,NCT02530294,Hyperhidrosis (disorder),Hyperhidrosis (disorder)
11154,NCT02530905,Duchenne muscular dystrophy (disorder),Muscular dystrophy (disorder)
11155,NCT02531217,Facioscapulohumeral muscular dystrophy (disorder),Muscular dystrophy (disorder)
11156,NCT02531633,Giant cell arteritis (disorder),Giant cell arteritis (disorder)
11157,NCT02531880,Epilepsy (disorder),Seizure disorder (disorder)
11158,NCT02532023,Migraine (disorder),Headache disorder (disorder)
11159,NCT02532153,Injury due to suicide attempt (disorder),Injury due to suicide attempt (disorder)
11160,NCT02532322,"Chiari malformation (disorder)|Neoplasm of uncertain or unknown behavior of brain, infratentorial (disorder)",Congenital anomaly of nervous system (disorder)|Neoplasm of nervous system (disorder)
11161,NCT02532491,Psychotic disorder (disorder)|Schizophrenia (disorder),Psychotic disorder (disorder)|Schizophrenia (disorder)
11162,NCT02532569,Japanese encephalitis virus disease (disorder),Infectious disease of central nervous system (disorder)
11163,NCT02532660,Depressive disorder (disorder),Depressive disorder (disorder)
11164,NCT02532686,Schizophrenia (disorder),Schizophrenia (disorder)
11165,NCT02533128,Cerebrovascular accident (disorder),Cerebrovascular accident (disorder)
11166,NCT02533232,Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder),Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder)
11167,NCT02534363,Psychotic disorder (disorder)|Schizophrenia (disorder),Psychotic disorder (disorder)|Schizophrenia (disorder)
11168,NCT02534454,Tobacco dependence syndrome (disorder)|Nicotine dependence (disorder),Psychoactive substance abuse (disorder)|Nicotine dependence (disorder)
11169,NCT02534480,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
11170,NCT02534844,"Niemann-Pick disease, type C (disorder)",Sphingolipidosis (disorder)
11171,NCT02535039,Organic memory impairment (disorder),Organic memory impairment (disorder)
11172,NCT02535091,Partial epilepsy with impairment of consciousness (disorder),Seizure disorder (disorder)
11173,NCT02535156,Schizotypal personality disorder (disorder),Personality disorder (disorder)
11174,NCT02536417,Delirium (disorder),Confusional state (disorder)
11175,NCT02536755,Glucosylceramide beta-glucosidase deficiency (disorder),Sphingolipidosis (disorder)
11176,NCT02536911,Glucosylceramide beta-glucosidase deficiency (disorder),Sphingolipidosis (disorder)
11177,NCT02536937,Glucosylceramide beta-glucosidase deficiency (disorder),Sphingolipidosis (disorder)
11178,NCT02536976,Parkinson's disease (disorder),Parkinsonism (disorder)
11179,NCT02537106,Neoplasm of brain (disorder),Neoplasm of nervous system (disorder)
11180,NCT02537197,Compulsive gambling (disorder),Impulse control disorder (disorder)
11181,NCT02537899,Spinal cord injury (disorder),Spinal cord disorder (disorder)
11182,NCT02537938,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
11183,NCT02537951,Small fiber neuropathy (disorder),Small fiber neuropathy (disorder)
11184,NCT02538081,Schizophrenia (disorder),Schizophrenia (disorder)
11185,NCT02538302,Nocturnal epilepsy (disorder),Seizure disorder (disorder)
11186,NCT02538744,Cocaine dependence (disorder)|Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
11187,NCT02539134,Epilepsy (disorder),Seizure disorder (disorder)
11188,NCT02539186,Carpal tunnel syndrome (disorder),Median neuropathy (disorder)
11189,NCT02540655,Cerebellar ataxia (disorder),Cerebellar ataxia (disorder)
11190,NCT02541032,Cerebrovascular accident (disorder),Cerebrovascular accident (disorder)
11191,NCT02541370,Neoplasm of brain (disorder),Neoplasm of nervous system (disorder)
11192,NCT02541500,Organic mental disorder caused by amphetamine and/or amfetamine derivative (disorder),Organic mental disorder caused by amphetamine and/or amfetamine derivative (disorder)
11193,NCT02541513,Organic mental disorder caused by amphetamine and/or amfetamine derivative (disorder),Organic mental disorder caused by amphetamine and/or amfetamine derivative (disorder)
11194,NCT02541526,Organic mental disorder caused by amphetamine and/or amfetamine derivative (disorder),Organic mental disorder caused by amphetamine and/or amfetamine derivative (disorder)
11195,NCT02542605,Migraine (disorder),Headache disorder (disorder)
11196,NCT02542696,Parkinson's disease (disorder),Parkinsonism (disorder)
11197,NCT02542839,Dystonia (disorder),Dystonia (disorder)
11198,NCT02543203,Pervasive developmental disorder (disorder),Pervasive developmental disorder (disorder)
11199,NCT02543944,Substance-related disorders,Substance-related disorders
11200,NCT02543983,Depressive disorder (disorder),Depressive disorder (disorder)
11201,NCT02544217,"Juvenile myopathy, encephalopathy, lactic acidosis, stroke (disorder)|Leigh's disease (disorder)",Mitochondrial myopathy (disorder)|Hereditary disorder of nervous system (disorder)
11202,NCT02544607,Depressive disorder (disorder),Depressive disorder (disorder)
11203,NCT02544750,Seizure disorder (disorder)|Tuberous sclerosis syndrome (disorder),Seizure disorder (disorder)|Hereditary disorder of nervous system (disorder)
11204,NCT02544763,Seizure disorder (disorder)|Tuberous sclerosis syndrome (disorder),Seizure disorder (disorder)|Hereditary disorder of nervous system (disorder)
11205,NCT02545114,Syndrome of inappropriate vasopressin secretion (disorder),Disorder of pituitary gland (disorder)
11206,NCT02545868,Relapsing remitting multiple sclerosis (disorder),Multiple sclerosis (disorder)
11207,NCT02545959,Progressive multiple sclerosis (disorder)|Disorder of nervous system (disorder),Multiple sclerosis (disorder)|Disorder of nervous system (disorder)
11208,NCT02546310,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
11209,NCT02546765,Delirium (disorder),Confusional state (disorder)
11210,NCT02546999,Cerebral palsy (disorder)|Muscle strain (disorder),Cerebral palsy (disorder)|Muscle strain (disorder)
11211,NCT02547818,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
11212,NCT02548923,Delirium (disorder),Confusional state (disorder)
11213,NCT02549118,Analgesia,Analgesia
11214,NCT02549170,Chronic inflammatory demyelinating polyradiculoneuropathy (disorder),Polyneuropathy (disorder)
11215,NCT02549573,Parkinson's disease (disorder),Parkinsonism (disorder)
11216,NCT02549716,Subarachnoid intracranial hemorrhage (disorder)|Cerebrovascular accident (disorder),Intracranial hemorrhage (disorder)|Cerebrovascular accident (disorder)
11217,NCT02549768,Neoplasm of pituitary gland (disorder),Disorder of pituitary gland (disorder)
11218,NCT02549898,Migraine (disorder),Headache disorder (disorder)
11219,NCT02549963,Cerebrovascular accident (disorder),Cerebrovascular accident (disorder)
11220,NCT02550509,Cerebrovascular accident (disorder),Cerebrovascular accident (disorder)
11221,NCT02550665,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
11222,NCT02550756,Morton's metatarsalgia (disorder),Mononeuropathy (disorder)
11223,NCT02551003,Cerebral infarction (disorder),Cerebral infarction (disorder)
11224,NCT02551380,Pervasive developmental disorder (disorder),Pervasive developmental disorder (disorder)
11225,NCT02551731,Cryptogenic late-onset epileptic spasms (disorder),Seizure disorder (disorder)
11226,NCT02551809,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
11227,NCT02551848,Essential tremor (disorder),Essential tremor (disorder)
11228,NCT02552147,Pervasive developmental disorder (disorder)|Aggressive unsocial conduct disorder (disorder),Pervasive developmental disorder (disorder)|Disruptive behavior disorder (disorder)
11229,NCT02552277,Disorder of the peripheral nervous system (disorder),Disorder of the peripheral nervous system (disorder)
11230,NCT02552303,Sleep apnea (disorder),Sleep apnea (disorder)
11231,NCT02552758,Schizophrenia (disorder),Schizophrenia (disorder)
11232,NCT02553161,Bipolar disorder (disorder)|Depressive disorder (disorder),Bipolar disorder (disorder)|Depressive disorder (disorder)
11233,NCT02553265,Familial dysautonomia (disorder),Disorder of autonomic nervous system (disorder)
11234,NCT02553798,Hyperhidrosis (disorder),Hyperhidrosis (disorder)
11235,NCT02553824,Binge eating disorder (disorder)|Bulimia nervosa (disorder),Behavioral syndrome associated with physiological disturbance and physical factors (disorder)
11236,NCT02554253,Delirium (disorder),Confusional state (disorder)
11237,NCT02554487,Obstructive sleep apnea syndrome (disorder)|Central sleep apnea syndrome (disorder)|Cerebrovascular accident (disorder),Sleep apnea (disorder)|Central sleep apnea syndrome (disorder)|Cerebrovascular accident (disorder)
11238,NCT02554734,Parkinson's disease (disorder),Parkinsonism (disorder)
11239,NCT02555215,Relapsing remitting multiple sclerosis (disorder),Multiple sclerosis (disorder)
11240,NCT02556320,Epilepsy (disorder),Seizure disorder (disorder)
11241,NCT02557737,Cerebrovascular accident (disorder),Cerebrovascular accident (disorder)
11242,NCT02558569,Neoplasm of brain (disorder),Neoplasm of nervous system (disorder)
11243,NCT02558972,Near syncope (disorder),Near syncope (disorder)
11244,NCT02559102,Neurodevelopmental disorder (disorder),Neurodevelopmental disorder (disorder)
11245,NCT02559167,Substance-related disorders|Cocaine dependence (disorder)|Disorder caused by cocaine (disorder),Substance-related disorders|Disorder caused by cocaine (disorder)
11246,NCT02559830,Metachromatic leucodystrophy (disorder)|Adrenoleukodystrophy (disorder),Hereditary disorder of nervous system (disorder)
11247,NCT02559895,Migraine (disorder),Headache disorder (disorder)
11248,NCT02560324,Tobacco dependence syndrome (disorder),Psychoactive substance abuse (disorder)
11249,NCT02560389,Posttraumatic stress disorder (disorder),Anxiety disorder (disorder)
11250,NCT02560545,Neurological pain disorder (disorder)|Cranial neuralgia (disorder),Neurological pain disorder (disorder)|Cranial neuralgia (disorder)
11251,NCT02560753,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
11252,NCT02560805,Posttraumatic stress disorder (disorder),Anxiety disorder (disorder)
11253,NCT02560935,Cerebrovascular accident (disorder),Cerebrovascular accident (disorder)
11254,NCT02561091,Hearing loss (disorder),Hearing disorder (disorder)
11255,NCT02561156,Depressive disorder (disorder),Depressive disorder (disorder)
11256,NCT02561481,Pervasive developmental disorder (disorder),Pervasive developmental disorder (disorder)
11257,NCT02561702,Hereditary motor and sensory neuropathy (disorder),Hereditary disorder of nervous system (disorder)
11258,NCT02561754,Developmental delay (disorder)|Complete trisomy 21 syndrome (disorder)|Intellectual disability (disorder),Developmental delay (disorder)|Complete trisomy 21 syndrome (disorder)|Intellectual disability (disorder)
11259,NCT02562066,Congenital myasthenic syndrome (disorder),Neuromuscular junction disorder (disorder)
11260,NCT02562183,Cerebral infarction (disorder),Cerebral infarction (disorder)
11261,NCT02562287,Bipolar disorder (disorder),Bipolar disorder (disorder)
11262,NCT02562430,Depressive disorder (disorder),Depressive disorder (disorder)
11263,NCT02562768,Parkinson's disease (disorder),Parkinsonism (disorder)
11264,NCT02562820,Rett syndrome (disorder),Pervasive developmental disorder (disorder)
11265,NCT02562989,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
11266,NCT02563288,Intracranial aneurysm (disorder),Intracranial aneurysm (disorder)
11267,NCT02563769,Cocaine dependence (disorder)|Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
11268,NCT02563860,Rett syndrome (disorder),Pervasive developmental disorder (disorder)
11269,NCT02563899,Hyperhidrosis (disorder),Hyperhidrosis (disorder)
11270,NCT02564068,Sleep apnea (disorder),Sleep apnea (disorder)
11271,NCT02564328,Cerebrovascular accident (disorder),Cerebrovascular accident (disorder)
11272,NCT02564341,Substance-related disorders,Substance-related disorders
11273,NCT02564588,Binge eating disorder (disorder),Behavioral syndrome associated with physiological disturbance and physical factors (disorder)
11274,NCT02564939,Delirium (disorder),Confusional state (disorder)
11275,NCT02564952,Epilepsy (disorder),Seizure disorder (disorder)
11276,NCT02565108,Epilepsy (disorder),Seizure disorder (disorder)
11277,NCT02565121,Disorder of olfactory system (disorder)|Traumatic or nontraumatic brain injury (disorder),Disorder of olfactory system (disorder)|Traumatic or nontraumatic brain injury (disorder)
11278,NCT02565186,Migraine (disorder),Headache disorder (disorder)
11279,NCT02565316,Depressive disorder (disorder),Depressive disorder (disorder)
11280,NCT02565628,Parkinson's disease (disorder),Parkinsonism (disorder)
11281,NCT02565693,Cerebral hemorrhage (disorder),Intracranial hemorrhage (disorder)
11282,NCT02565732,Hyperhidrosis (disorder),Hyperhidrosis (disorder)
11283,NCT02566057,Bipolar disorder (disorder)|Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder),Bipolar disorder (disorder)|Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder)
11284,NCT02566226,Sleep apnea (disorder),Sleep apnea (disorder)
11285,NCT02566356,Schizophrenia (disorder),Schizophrenia (disorder)
11286,NCT02566590,Muscle atrophy (disorder),Muscle atrophy (disorder)
11287,NCT02566720,Traumatic brain injury (disorder)|Coma (disorder)|Persistent vegetative state (disorder),Traumatic brain injury (disorder)|Coma (disorder)|Chronic brain syndrome (disorder)
11288,NCT02567032,Psychotic disorder (disorder)|Schizophrenia (disorder),Psychotic disorder (disorder)|Schizophrenia (disorder)
11289,NCT02567279,Anorexia nervosa (disorder),Behavioral syndrome associated with physiological disturbance and physical factors (disorder)
11290,NCT02568020,Muscle atrophy (disorder),Muscle atrophy (disorder)
11291,NCT02568124,Chronic intracranial subdural hematoma (disorder),Intracranial hemorrhage (disorder)
11292,NCT02568644,Migraine (disorder),Headache disorder (disorder)
11293,NCT02568709,Schizophrenia (disorder),Schizophrenia (disorder)
11294,NCT02568878,Depressive disorder (disorder),Depressive disorder (disorder)
11295,NCT02569307,Psychotic disorder (disorder),Psychotic disorder (disorder)
11296,NCT02569775,Cerebral palsy (disorder),Cerebral palsy (disorder)
11297,NCT02569970,Epilepsy (disorder),Seizure disorder (disorder)
11298,NCT02570282,Sexual disorder (disorder),Sexual disorder (disorder)
11299,NCT02570724,Intracranial hypotension (disorder),Intracranial hypotension (disorder)
11300,NCT02570932,Spinal cord injury (disorder),Spinal cord disorder (disorder)
11301,NCT02571101,Anejaculation (disorder),Anejaculation (disorder)
11302,NCT02572674,Bipolar disorder (disorder),Bipolar disorder (disorder)
11303,NCT02573168,Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder),Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder)
11304,NCT02573701,Schizophrenia (disorder),Schizophrenia (disorder)
11305,NCT02573740,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
11306,NCT02574286,Glucosylceramide beta-glucosidase deficiency (disorder),Sphingolipidosis (disorder)
11307,NCT02574572,Spinal cord injury (disorder),Spinal cord disorder (disorder)
11308,NCT02574585,Spinal cord injury (disorder),Spinal cord disorder (disorder)
11309,NCT02574741,Pervasive developmental disorder (disorder),Pervasive developmental disorder (disorder)
11310,NCT02574923,Cerebral palsy (disorder),Cerebral palsy (disorder)
11311,NCT02575183,Tobacco dependence syndrome (disorder)|Nicotine dependence (disorder),Psychoactive substance abuse (disorder)|Nicotine dependence (disorder)
11312,NCT02575235,Sarcopenia (disorder),Sarcopenia (disorder)
11313,NCT02575521,Neoplasm of brain (disorder),Neoplasm of nervous system (disorder)
11314,NCT02576639,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
11315,NCT02576717,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
11316,NCT02577250,Posttraumatic stress disorder (disorder),Anxiety disorder (disorder)
11317,NCT02577523,Parkinson's disease (disorder),Parkinsonism (disorder)
11318,NCT02577575,Schizophrenia (disorder),Schizophrenia (disorder)
11319,NCT02578719,Migraine (disorder),Headache disorder (disorder)
11320,NCT02579148,Erectile dysfunction (disorder),Sexual disorder (disorder)
11321,NCT02579239,Facioscapulohumeral muscular dystrophy (disorder)|Muscular dystrophy with predominantly proximal limb girdle distribution (disorder),Muscular dystrophy (disorder)
11322,NCT02579252,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
11323,NCT02579421,Cannabis abuse (disorder),Psychoactive substance abuse (disorder)
11324,NCT02579473,Parkinson's disease (disorder),Parkinsonism (disorder)
11325,NCT02579642,Depressive disorder (disorder),Depressive disorder (disorder)
11326,NCT02579681,Relapsing remitting multiple sclerosis (disorder),Multiple sclerosis (disorder)
11327,NCT02579928,Anxiety disorder (disorder),Anxiety disorder (disorder)
11328,NCT02580019,Cerebrovascular accident (disorder),Cerebrovascular accident (disorder)
11329,NCT02580201,Acute poliomyelitis (disorder),Infectious disease of central nervous system (disorder)
11330,NCT02580305,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
11331,NCT02580838,Cerebrovascular accident (disorder),Cerebrovascular accident (disorder)
11332,NCT02580968,Migraine (disorder),Headache disorder (disorder)
11333,NCT02581111,Brainstem death (disorder),Brainstem death (disorder)
11334,NCT02581826,Anejaculation (disorder),Anejaculation (disorder)
11335,NCT02581865,Gilles de la Tourette's syndrome (disorder),Tic disorder (disorder)
11336,NCT02582151,Nonneurogenic neurogenic urinary bladder dysfunction (disorder),Nonneurogenic neurogenic urinary bladder dysfunction (disorder)
11337,NCT02582255,Acute poliomyelitis (disorder),Infectious disease of central nervous system (disorder)
11338,NCT02582476,Familial hypokalemic periodic paralysis (disorder),Familial hypokalemic periodic paralysis (disorder)
11339,NCT02582515,Gilles de la Tourette's syndrome (disorder),Tic disorder (disorder)
11340,NCT02582866,Epilepsy (disorder),Seizure disorder (disorder)
11341,NCT02582905,Bipolar disorder (disorder),Bipolar disorder (disorder)
11342,NCT02582996,Migraine (disorder),Headache disorder (disorder)
11343,NCT02584413,Neurofibromatosis type 1 (disorder),Neoplasm of nerve sheath origin (disorder)
11344,NCT02584426,Spinal cord injury (disorder),Spinal cord disorder (disorder)
11345,NCT02584712,Disorder of autonomic nervous system (disorder),Disorder of autonomic nervous system (disorder)
11346,NCT02585765,Spinal cord injury (disorder),Spinal cord disorder (disorder)
11347,NCT02585934,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
11348,NCT02586142,Cerebrovascular accident (disorder),Cerebrovascular accident (disorder)
11349,NCT02586649,Spinal cord injury (disorder),Spinal cord disorder (disorder)
11350,NCT02586909,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
11351,NCT02586935,Pervasive developmental disorder (disorder),Pervasive developmental disorder (disorder)
11352,NCT02587195,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
11353,NCT02587715,Relapsing remitting multiple sclerosis (disorder),Multiple sclerosis (disorder)
11354,NCT02587806,Relapsing remitting multiple sclerosis (disorder),Multiple sclerosis (disorder)
11355,NCT02587988,Erectile dysfunction (disorder),Sexual disorder (disorder)
11356,NCT02588196,Tuberculosis of meninges (disorder),Infectious disease of central nervous system (disorder)
11357,NCT02588742,Delirium (disorder),Confusional state (disorder)
11358,NCT02588807,Amyotrophic lateral sclerosis (disorder),Motor neuron disease (disorder)
11359,NCT02589262,Schizophrenia (disorder),Schizophrenia (disorder)
11360,NCT02589340,Movement disorder (disorder)|Parkinson's disease (disorder),Movement disorder (disorder)|Parkinsonism (disorder)
11361,NCT02590367,Disorder of the peripheral nervous system (disorder),Disorder of the peripheral nervous system (disorder)
11362,NCT02590393,Tobacco dependence syndrome (disorder)|Nicotine dependence (disorder),Psychoactive substance abuse (disorder)|Nicotine dependence (disorder)
11363,NCT02590510,Malignant meningitis (disorder),Meningitis (disorder)
11364,NCT02590848,Behavioral syndrome associated with physiological disturbance and physical factors (disorder),Behavioral syndrome associated with physiological disturbance and physical factors (disorder)
11365,NCT02590874,Depressive disorder (disorder),Depressive disorder (disorder)
11366,NCT02591004,Cerebral palsy (disorder),Cerebral palsy (disorder)
11367,NCT02591173,Pure autonomic failure (disorder)|Disorder of autonomic nervous system (disorder)|Multiple system atrophy (disorder),Disorder of autonomic nervous system (disorder)
11368,NCT02591290,Meningococcal meningitis (disorder)|Meningitis (disorder),Infectious disease of central nervous system (disorder)|Meningitis (disorder)
11369,NCT02591901,Nonneurogenic neurogenic urinary bladder dysfunction (disorder),Nonneurogenic neurogenic urinary bladder dysfunction (disorder)
11370,NCT02592863,Peripheral vertigo (disorder),Peripheral vertigo (disorder)
11371,NCT02593097,Migraine (disorder),Headache disorder (disorder)
11372,NCT02593396,Sexual disorder (disorder),Sexual disorder (disorder)
11373,NCT02593643,Bipolar disorder (disorder),Bipolar disorder (disorder)
11374,NCT02593682,Panic disorder (disorder),Anxiety disorder (disorder)
11375,NCT02593734,Anxiety disorder (disorder)|Schizophrenia (disorder),Anxiety disorder (disorder)|Schizophrenia (disorder)
11376,NCT02593773,Friedreich ataxia (disorder),Spinal cord disorder (disorder)
11377,NCT02593942,"Neoplasm of uncertain or unknown behavior of brain, supratentorial (disorder)",Neoplasm of nervous system (disorder)
11378,NCT02594124,Spinal muscular atrophy (disorder),Motor neuron disease (disorder)
11379,NCT02594358,Amblyopia (disorder),Disorder of vision (disorder)
11380,NCT02594579,Sarcopenia (disorder),Sarcopenia (disorder)
11381,NCT02594735,Dermatomyositis (disorder),Myositis (disorder)
11382,NCT02595749,Tobacco dependence syndrome (disorder)|Nicotine dependence (disorder),Psychoactive substance abuse (disorder)|Nicotine dependence (disorder)
11383,NCT02595983,Familial amyloid polyneuropathy (disorder),Polyneuropathy (disorder)
11384,NCT02596022,Cocaine dependence (disorder)|Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
11385,NCT02596360,Central pain syndrome (disorder),Central pain syndrome (disorder)
11386,NCT02596412,Cerebral palsy (disorder),Cerebral palsy (disorder)
11387,NCT02597231,Delirium (disorder),Confusional state (disorder)
11388,NCT02597257,Disorder of the peripheral nervous system (disorder)|Postherpetic neuralgia (disorder),Disorder of the peripheral nervous system (disorder)|Postherpetic neuralgia (disorder)
11389,NCT02599207,Cerebral palsy (disorder),Cerebral palsy (disorder)
11390,NCT02599571,Tobacco dependence syndrome (disorder)|Nicotine dependence (disorder),Psychoactive substance abuse (disorder)|Nicotine dependence (disorder)
11391,NCT02599753,Parkinson's disease (disorder),Parkinsonism (disorder)
11392,NCT02600130,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
11393,NCT02600494,Bipolar disorder (disorder),Bipolar disorder (disorder)
11394,NCT02600507,Bipolar disorder (disorder),Bipolar disorder (disorder)
11395,NCT02600715,Nonneurogenic neurogenic urinary bladder dysfunction (disorder),Nonneurogenic neurogenic urinary bladder dysfunction (disorder)
11396,NCT02601586,Parkinson's disease (disorder),Parkinsonism (disorder)
11397,NCT02601677,Obsessive-compulsive disorder (disorder),Obsessive-compulsive disorder (disorder)
11398,NCT02601885,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
11399,NCT02602288,Tobacco dependence syndrome (disorder)|Nicotine dependence (disorder),Psychoactive substance abuse (disorder)|Nicotine dependence (disorder)
11400,NCT02602652,Japanese encephalitis virus disease (disorder),Infectious disease of central nervous system (disorder)
11401,NCT02603198,Congenital ankylosis of temporomandibular joint (disorder),Congenital ankylosis of temporomandibular joint (disorder)
11402,NCT02603458,Schizophrenia (disorder),Schizophrenia (disorder)
11403,NCT02604186,Hereditary spastic paraplegia (disorder),Paraplegia (disorder)
11404,NCT02604459,Delirium (disorder),Confusional state (disorder)
11405,NCT02604654,Cerebrovascular accident (disorder),Cerebrovascular accident (disorder)
11406,NCT02604914,Parkinson's disease (disorder),Parkinsonism (disorder)
11407,NCT02604927,Spinal cord injury (disorder),Spinal cord disorder (disorder)
11408,NCT02605434,Parkinson's disease (disorder),Parkinsonism (disorder)
11409,NCT02605707,Cerebrovascular accident (disorder),Cerebrovascular accident (disorder)
11410,NCT02605785,Progressive supranuclear palsy (disorder),Chronic brain syndrome (disorder)
11411,NCT02606136,Duchenne muscular dystrophy (disorder),Muscular dystrophy (disorder)
11412,NCT02606279,Sarcopenia (disorder),Sarcopenia (disorder)
11413,NCT02606630,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
11414,NCT02607891,Epilepsy (disorder),Seizure disorder (disorder)
11415,NCT02607904,Epilepsy (disorder),Seizure disorder (disorder)
11416,NCT02607917,Cerebrovascular accident (disorder),Cerebrovascular accident (disorder)
11417,NCT02607943,Cerebrovascular accident (disorder),Cerebrovascular accident (disorder)
11418,NCT02608931,Familial dysautonomia (disorder),Disorder of autonomic nervous system (disorder)
11419,NCT02609022,Myasthenia gravis (disorder),Neuromuscular junction disorder (disorder)
11420,NCT02609087,Carotid artery stenosis (disorder),Disorder of carotid artery (disorder)
11421,NCT02609477,Substance-related disorders,Substance-related disorders
11422,NCT02609607,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
11423,NCT02609945,Migraine (disorder),Headache disorder (disorder)
11424,NCT02610231,Parkinson's disease (disorder),Parkinsonism (disorder)
11425,NCT02611167,Parkinson's disease (disorder),Parkinsonism (disorder)
11426,NCT02611921,Pervasive developmental disorder (disorder),Pervasive developmental disorder (disorder)
11427,NCT02612129,"Niemann-Pick disease, type C (disorder)",Sphingolipidosis (disorder)
