,Neurological Disease,Source,Disease Class
8991,"Limited autoimmune autonomic neuropathy, ganglionic acetylcholine receptor antibody positive",ICD,Diseases of the nervous system
8992,"Limited autoimmune autonomic neuropathy, neural autoantibody negative",ICD,Diseases of the nervous system
8993,"Limited autoimmune autonomic neuropathy, neural autoantibody positive",ICD,Diseases of the nervous system
8994,Lindau Disease,MeSH,Neurocutaneous Syndromes
8995,Lindau's Disease,MeSH,Neurocutaneous Syndromes
8996,Lindau's Diseases,MeSH,Neurocutaneous Syndromes
8997,Lindaus Disease,MeSH,Neurocutaneous Syndromes
8998,Linear Sebaceous Nevus,MeSH,Neurocutaneous Syndromes
8999,Linear Sebaceous Nevus Syndrome,MeSH,Neurocutaneous Syndromes
9000,Linear skull fracture due to birth injury,ICD,Diseases of the nervous system
9001,Lingual Nerve Injuries,MeSH,"Trauma, Nervous System"
9002,Lingual Nerve Injury,MeSH,"Trauma, Nervous System"
9003,Lip-biting,ICD,Diseases of the nervous system
9004,"Lipidoses, Glucosyl Cerebroside",MeSH,Central Nervous System Diseases
9005,"Lipidoses, Glucosylceramide",MeSH,Central Nervous System Diseases
9006,"Lipidoses, Neuronal Cholesterol",MeSH,Central Nervous System Diseases
9007,"Lipidoses, Sphingomyelin",MeSH,Central Nervous System Diseases
9008,"Lipidoses, Sphingomyelin Cholesterol",MeSH,Central Nervous System Diseases
9009,"Lipidosis Syndrome, Cerebroside",MeSH,Central Nervous System Diseases
9010,"Lipidosis Syndromes, Cerebroside",MeSH,Central Nervous System Diseases
9011,"Lipidosis, Glucosyl Cerebroside",MeSH,Central Nervous System Diseases
9012,"Lipidosis, Glucosylceramide",MeSH,Central Nervous System Diseases
9013,"Lipidosis, Hereditary Dystopic",MeSH,Central Nervous System Diseases
9014,"Lipidosis, Neuronal Cholesterol",MeSH,Central Nervous System Diseases
9015,"Lipidosis, Sphingomyelin",MeSH,Central Nervous System Diseases
9016,"Lipidosis, Sphingomyelin Cholesterol",MeSH,Central Nervous System Diseases
9017,"Lipidosis, Sulfatide",MeSH,Central Nervous System Diseases
9018,Lipofuscin Storage Disease,MeSH,Neurodegenerative Diseases
9019,Lipofuscin Storage Diseases,MeSH,Neurodegenerative Diseases
9020,"Lipofuscinosis, Neuronal Ceroid",MeSH,Neurodegenerative Diseases
9021,"Lipogranulomatosis, Farber",MeSH,Central Nervous System Diseases
9022,Lipoid Histiocytoses (Kerasin Type),MeSH,Central Nervous System Diseases
9023,Lipoid Histiocytosis (Kerasin Type),MeSH,Central Nervous System Diseases
9024,"Lipoidoses, Kerasin",MeSH,Central Nervous System Diseases
9025,"Lipoidosis, Kerasin",MeSH,Central Nervous System Diseases
9026,Lipomas associated with neurospinal dysraphism,ICD,Diseases of the nervous system
9027,Lipomyelomeningocele,ICD,Diseases of the nervous system
9028,Lissencephalia,MeSH,Nervous System Malformations
9029,Lissencephalies,MeSH,Nervous System Malformations
9030,"Lissencephalies, Cobblestone",MeSH,Nervous System Malformations
9031,Lissencephaly,MeSH,Nervous System Malformations
9032,Lissencephaly Subcortical Band Heterotopia,MeSH,Nervous System Malformations
9033,Lissencephaly Type 2,MeSH,Nervous System Malformations
9034,Lissencephaly due to TUBA1A gene mutation,ICD,Diseases of the nervous system
9035,Lissencephaly type 1 due to LIS1 gene mutation,ICD,Diseases of the nervous system
9036,Lissencephaly type 1 due to doublecortin gene mutation,ICD,Diseases of the nervous system
9037,Lissencephaly type 2,ICD,Diseases of the nervous system
9038,Lissencephaly type 3,ICD,Diseases of the nervous system
9039,Lissencephaly type 3 - familial fetal akinesia sequence,ICD,Diseases of the nervous system
9040,Lissencephaly type 3 - metacarpal bone dysplasia,ICD,Diseases of the nervous system
9041,Lissencephaly with cerebellar hypoplasia,ICD,Diseases of the nervous system
9042,Lissencephaly with cerebellar hypoplasia type A,ICD,Diseases of the nervous system
9043,Lissencephaly with cerebellar hypoplasia type B,ICD,Diseases of the nervous system
9044,Lissencephaly with cerebellar hypoplasia type C,ICD,Diseases of the nervous system
9045,Lissencephaly with cerebellar hypoplasia type D,ICD,Diseases of the nervous system
9046,Lissencephaly with cerebellar hypoplasia type E,ICD,Diseases of the nervous system
9047,Lissencephaly with cerebellar hypoplasia type F,ICD,Diseases of the nervous system
9048,"Lissencephaly, Cobblestone",MeSH,Nervous System Malformations
9049,Lissencephaly-Subcortical Band Heterotopia,MeSH,Nervous System Malformations
9050,Lissencephaly-Subcortical Band Heterotopias,MeSH,Nervous System Malformations
9051,Listeria Meningitides,MeSH,Central Nervous System Diseases
9052,Listeria Meningitis,MeSH,Central Nervous System Diseases
9053,Listeria monocytogenes Meningitides,MeSH,Central Nervous System Diseases
9054,Listeria monocytogenes Meningitis,MeSH,Central Nervous System Diseases
9055,Listerial cerebral arteritis,ICD,Diseases of the nervous system
9056,Listerial meningitis or meningoencephalitis,ICD,Diseases of the nervous system
9057,Livedo Reticularis And Cerebrovascular Accidents,MeSH,Central Nervous System Diseases
9058,"Livedo Reticularis, Systemic Involvement",MeSH,Central Nervous System Diseases
9059,Liver transplant failure,ICD,Diseases of the nervous system
9060,Liver transplant failure and rejection,ICD,Diseases of the nervous system
9061,Liver transplant rejection,ICD,Diseases of the nervous system
9062,Lobar Atrophies (Brain),MeSH,Central Nervous System Diseases
9063,Lobar Atrophy (Brain),MeSH,Central Nervous System Diseases
9064,Lobar Atrophy Of Brain,MeSH,Central Nervous System Diseases
9065,Lobar Atrophy of the Brain,MeSH,Central Nervous System Diseases
9066,"Lobar Degeneration, Frontotemporal",MeSH,Neurodegenerative Diseases
9067,"Lobar Degenerations, Frontotemporal",MeSH,Neurodegenerative Diseases
9068,Lobar cerebral hemispheric abscess,ICD,Diseases of the nervous system
9069,Lobar cerebral hemispheric granuloma,ICD,Diseases of the nervous system
9070,Lobar cerebral hemispheric infectious cyst,ICD,Diseases of the nervous system
9071,Lobar haemorrhage,ICD,Diseases of the nervous system
9072,Lobar holoprosencephaly,ICD,Diseases of the nervous system
9073,"Lobe Dementia, Frontotemporal",MeSH,Neurodegenerative Diseases
9074,"Lobe Dementias, Frontotemporal",MeSH,Neurodegenerative Diseases
9075,Local complication at access site of cardiac catheterisation,ICD,Diseases of the nervous system
9076,Localised hyperhidrosis,ICD,Diseases of the nervous system
9077,Localised hyperhidrosis due to focal neurological disorder,ICD,Diseases of the nervous system
9078,Localised hyperhidrosis of other specified site,ICD,Diseases of the nervous system
9079,Localised spinal muscular atrophy,ICD,Diseases of the nervous system
9080,Localization-Related Epilepsies,MeSH,Central Nervous System Diseases
9081,Localization-Related Epilepsy,MeSH,Central Nervous System Diseases
9082,Locked-in syndrome,ICD,Diseases of the nervous system
9083,"Locomotion Disorder, Neurologic",MeSH,Neurologic Manifestations
9084,"Locomotion Disorders, Neurologic",MeSH,Neurologic Manifestations
9085,Logagnosia,MeSH,Neurologic Manifestations
9086,Logagnosias,MeSH,Neurologic Manifestations
9087,Logamnesia,MeSH,Neurologic Manifestations
9088,Logamnesias,MeSH,Neurologic Manifestations
9089,Logasthenia,MeSH,Neurologic Manifestations
9090,Logasthenias,MeSH,Neurologic Manifestations
9091,Long QT syndrome type 7,ICD,Diseases of the nervous system
9092,Loss of Consciousness,MeSH,Neurologic Manifestations
9093,Loss of Taste,MeSH,Neurologic Manifestations
9094,"Loss of consciousness, duration unspecified or unknown due to effects of therapy",ICD,Diseases of the nervous system
9095,"Loss of consciousness, duration unspecified or unknown due to lack of information",ICD,Diseases of the nervous system
9096,"Loss of consciousness, intermediate duration of 6 hours to less than 24 hours",ICD,Diseases of the nervous system
9097,"Loss of consciousness, persisting longer than 24 hours or until discharge or latest assessment",ICD,Diseases of the nervous system
9098,"Loss of consciousness, persisting until death",ICD,Diseases of the nervous system
9099,"Loss of consciousness, short duration of 30 minutes to less than one hour",ICD,Diseases of the nervous system
9100,"Loss of consciousness, short duration of less than 30 minutes",ICD,Diseases of the nervous system
9101,"Loss of consciousness, short duration of one hour to less than 6 hours",ICD,Diseases of the nervous system
9102,"Loss of speech, not elsewhere classified",ICD,Diseases of the nervous system
9103,"Loss, Bilateral Hearing",MeSH,Neurologic Manifestations
9104,"Loss, Hearing",MeSH,Neurologic Manifestations
9105,"Loss, Mixed Hearing",MeSH,Neurologic Manifestations
9106,"Losses, Mixed Hearing",MeSH,Neurologic Manifestations
9107,Lou Gehrig Disease,MeSH,Central Nervous System Diseases
9108,Lou Gehrig's Disease,MeSH,Central Nervous System Diseases
9109,Lou-Gehrigs Disease,MeSH,Central Nervous System Diseases
9110,Loudness Perception Disturbance,MeSH,Neurologic Manifestations
9111,Loudness Perception Disturbances,MeSH,Neurologic Manifestations
9112,Loudness Recruitment,MeSH,Neurologic Manifestations
9113,Loudness Recruitments,MeSH,Neurologic Manifestations
9114,Louis Bar Syndrome,MeSH,Neurocutaneous Syndromes
9115,Louis-Bar Syndrome,MeSH,Neurocutaneous Syndromes
9116,Louping ill encephalitis,ICD,Diseases of the nervous system
9117,Low Vision,MeSH,Neurologic Manifestations
9118,Low pressure hydrocephaly,ICD,Diseases of the nervous system
9119,Lowe Bickel Syndrome,MeSH,Central Nervous System Diseases
9120,Lowe Disease,MeSH,Central Nervous System Diseases
9121,Lowe Oculocerebrorenal Syndrome,MeSH,Central Nervous System Diseases
9122,Lowe Syndrome,MeSH,Central Nervous System Diseases
9123,Lowe Terrey MacLachlan Syndrome,MeSH,Central Nervous System Diseases
9124,Lowe-Bickel Syndrome,MeSH,Central Nervous System Diseases
9125,Lowe-Terrey-MacLachlan Syndrome,MeSH,Central Nervous System Diseases
9126,"Lower Extremity Weakness, Spastic",MeSH,Neurologic Manifestations
9127,Lower motor neuron syndrome with late-adult onset,ICD,Diseases of the nervous system
9128,Luft disease,ICD,Diseases of the nervous system
9129,Lumbar and other intervertebral disc disorders with myelopathy,ICD,Diseases of the nervous system
9130,Lumbar and other intervertebral disc disorders with radiculopathy,ICD,Diseases of the nervous system
9131,Lumbar neuritis,ICD,Diseases of the nervous system
9132,Lumbar plexus lesion due to traumatic injury,ICD,Diseases of the nervous system
9133,Lumbosacral plexitis,ICD,Diseases of the nervous system
9134,Lumbosacral plexopathy due to neoplasm,ICD,Diseases of the nervous system
9135,Lumbosacral plexopathy due to spinal cord irradiation,ICD,Diseases of the nervous system
9136,Lumbosacral plexus disorders,ICD,Diseases of the nervous system
9137,Lumbosacral radiculoplexopathy,ICD,Diseases of the nervous system
9138,Lumbosacral spina bifida aperta,ICD,Diseases of the nervous system
9139,Lumbosacral spina bifida cystica with hydrocephalus,ICD,Diseases of the nervous system
9140,Lumbosacral spina bifida cystica without hydrocephalus,ICD,Diseases of the nervous system
9141,Lundborg Unverricht Syndrome,MeSH,Central Nervous System Diseases
9142,Lundborg-Unverricht Syndrome,MeSH,Central Nervous System Diseases
9143,Lung transplant failure or rejection,ICD,Diseases of the nervous system
9144,"Lupus Vasculitis, Central Nervous System",MeSH,Central Nervous System Diseases
9145,Luschka Magendie Foramina Atresia,MeSH,Central Nervous System Diseases
9146,Luschka-Magendie Foramina Atresia,MeSH,Central Nervous System Diseases
9147,"Lyme Borreliosis, Nervous System",MeSH,Central Nervous System Diseases
9148,"Lyme Disease, Nervous System",MeSH,Central Nervous System Diseases
9149,Lyme Neuroborreliosis,MeSH,Central Nervous System Diseases
9150,Lymphocytic Choriomeningitis,MeSH,Central Nervous System Diseases
9151,Lymphocytic Choriomeningitis Virus Encephalomyelitis,MeSH,Central Nervous System Diseases
9152,Lymphocytic Hypophysitides,MeSH,Central Nervous System Diseases
9153,Lymphocytic Hypophysitis,MeSH,Central Nervous System Diseases
9154,Lymphoid Hypophysitides,MeSH,Central Nervous System Diseases
9155,Lymphoid Hypophysitis,MeSH,Central Nervous System Diseases
9156,Lymphomatous meningitis,ICD,Diseases of the nervous system
9157,Lysine:Alpha Ketoglutarate Reductase Deficiency,MeSH,Central Nervous System Diseases
9158,Lysine:Alpha-Ketoglutarate Reductase Deficiencies,MeSH,Central Nervous System Diseases
9159,Lysine:Alpha-Ketoglutarate Reductase Deficiency,MeSH,Central Nervous System Diseases
9160,"Lysosomal Enzyme Disorders, Nervous System",MeSH,Central Nervous System Diseases
9161,Lysosomal Glycogen Storage Disease with Normal Acid Maltase,MeSH,Neurologic Manifestations
9162,Lysosomal Glycogen Storage Disease without Acid Maltase Deficiency,MeSH,Neurologic Manifestations
9163,"Lysosomal Storage Diseases, Nervous System",MeSH,Central Nervous System Diseases
9164,"Lysosomal alpha 1,4 Glucosidase Deficiency Disease",MeSH,Central Nervous System Diseases
9165,"Lysosomal alpha-1,4-Glucosidase Deficiency Disease",MeSH,Central Nervous System Diseases
9166,MASA syndrome,ICD,Diseases of the nervous system
9167,MCA Infarct,MeSH,Central Nervous System Diseases
9168,MCA Infarction,MeSH,Central Nervous System Diseases
9169,MCA Infarcts,MeSH,Central Nervous System Diseases
9170,"MDMA or related drug dependence, including MDA",ICD,Diseases of the nervous system
9171,"MDMA or related drug dependence, including MDA, current use",ICD,Diseases of the nervous system
9172,"MDMA or related drug dependence, including MDA, early full remission",ICD,Diseases of the nervous system
9173,"MDMA or related drug dependence, including MDA, sustained full remission",ICD,Diseases of the nervous system
9174,"MDMA or related drug dependence, including MDA, sustained partial remission",ICD,Diseases of the nervous system
9175,"MDMA or related drug intoxication, including MDA",ICD,Diseases of the nervous system
9176,"MDMA or related drug withdrawal, including MDA",ICD,Diseases of the nervous system
9177,MDMA or related drug-induced anxiety disorder,ICD,Diseases of the nervous system
9178,"MDMA or related drug-induced delirium, including MDA",ICD,Diseases of the nervous system
9179,"MDMA or related drug-induced mood disorder, including MDA",ICD,Diseases of the nervous system
9180,"MDMA or related drug-induced mood disorder, with depressive symptoms",ICD,Diseases of the nervous system
9181,"MDMA or related drug-induced mood disorder, with manic symptoms",ICD,Diseases of the nervous system
9182,"MDMA or related drug-induced mood disorder, with mixed depressive and manic symptoms",ICD,Diseases of the nervous system
9183,"MDMA or related drug-induced psychotic disorder, including MDA",ICD,Diseases of the nervous system
9184,MELAS,MeSH,Neuromuscular Diseases
9185,MELAS Syndrome,MeSH,Neuromuscular Diseases
9186,MERRF,MeSH,Neuromuscular Diseases
9187,MERRF Syndrome,MeSH,Neuromuscular Diseases
9188,MPTP Induced Parkinsonism,MeSH,Central Nervous System Diseases
9189,MPTP Neurotoxicity Syndrome,MeSH,Central Nervous System Diseases
9190,MPTP Neurotoxicity Syndromes,MeSH,Central Nervous System Diseases
9191,MPTP Poisoning,MeSH,Central Nervous System Diseases
9192,MPTP-Induced Parkinsonism,MeSH,Central Nervous System Diseases
9193,MS (Multiple Sclerosis),MeSH,Demyelinating Diseases
9194,MSUD (Maple Syrup Urine Disease),MeSH,Central Nervous System Diseases
9195,Machado Joseph Azorean Disease,MeSH,Neurodegenerative Diseases
9196,Machado Joseph Disease,MeSH,Neurodegenerative Diseases
9197,Machado-Joseph Azorean Disease,MeSH,Neurodegenerative Diseases
9198,Machado-Joseph Disease,MeSH,Neurodegenerative Diseases
9199,Machado-Joseph disease type 1,ICD,Diseases of the nervous system
9200,Machado-Joseph disease type 2,ICD,Diseases of the nervous system
9201,Machado-Joseph disease type 3,ICD,Diseases of the nervous system
9202,Macrocephalies,MeSH,Nervous System Malformations
9203,"Macrocephalies, Unilateral",MeSH,Nervous System Malformations
9204,Macrocephaly,MeSH,Nervous System Malformations
9205,"Macrocephaly, Unilateral",MeSH,Nervous System Malformations
9206,"Macrocheilia, Facial Palsy, Edema",MeSH,Cranial Nerve Diseases
9207,Mad Cow Disease,MeSH,Central Nervous System Diseases
9208,Mad Cow Diseases,MeSH,Central Nervous System Diseases
9209,Madras type motor neuron disease,ICD,Diseases of the nervous system
9210,"Magnetic foreign body in eye with heterochromia, unilateral",ICD,Diseases of the nervous system
9211,Major Epilepsies,MeSH,Central Nervous System Diseases
9212,Major Epilepsy,MeSH,Central Nervous System Diseases
9213,Major Motor Seizure Disorder,MeSH,Central Nervous System Diseases
9214,Maladaptive health behaviours affecting disorders or diseases classified elsewhere,ICD,Diseases of the nervous system
9215,"Malaria, Cerebral",MeSH,Central Nervous System Diseases
9216,Male delayed ejaculation,ICD,Diseases of the nervous system
9217,"Male delayed ejaculation, acquired, generalised",ICD,Diseases of the nervous system
9218,"Male delayed ejaculation, acquired, situational",ICD,Diseases of the nervous system
9219,"Male delayed ejaculation, lifelong, generalised",ICD,Diseases of the nervous system
9220,"Male delayed ejaculation, lifelong, situational",ICD,Diseases of the nervous system
9221,Male early ejaculation,ICD,Diseases of the nervous system
9222,"Male early ejaculation, acquired, generalised",ICD,Diseases of the nervous system
9223,"Male early ejaculation, acquired, situational",ICD,Diseases of the nervous system
9224,"Male early ejaculation, lifelong, generalised",ICD,Diseases of the nervous system
9225,"Male early ejaculation, lifelong, situational",ICD,Diseases of the nervous system
9226,Male erectile dysfunction,ICD,Diseases of the nervous system
9227,"Male erectile dysfunction, acquired, generalised",ICD,Diseases of the nervous system
9228,"Male erectile dysfunction, acquired, situational",ICD,Diseases of the nervous system
9229,"Male erectile dysfunction, lifelong, generalised",ICD,Diseases of the nervous system
9230,"Male erectile dysfunction, lifelong, situational",ICD,Diseases of the nervous system
9231,"Malformation, Arnold Chiari",MeSH,Nervous System Malformations
9232,"Malformation, Arnold-Chiari",MeSH,Nervous System Malformations
9233,"Malformation, CNS Vascular",MeSH,Nervous System Malformations
9234,"Malformation, Dandy-Walker",MeSH,Central Nervous System Diseases
9235,"Malformation, Intracranial Arteriovenous",MeSH,Central Nervous System Diseases
9236,"Malformation, Nervous System",MeSH,Nervous System Malformations
9237,Malformations Due to Abnormal Neuronal Migration,MeSH,Nervous System Malformations
9238,Malformations Due to Abnormal Neuronal and Glial Proliferation or Apoptosis,MeSH,Nervous System Malformations
9239,Malformations Due to Abnormal Postmigrational Development,MeSH,Nervous System Malformations
9240,Malformations Secondary to Abnormal Neuronal Migration,MeSH,Nervous System Malformations
9241,Malformations Secondary to Abnormal Neuronal and Glial Proliferation or Apoptosis,MeSH,Nervous System Malformations
9242,Malformations Secondary to Abnormal Postmigrational Development,MeSH,Nervous System Malformations
9243,"Malformations Vein, Galen",MeSH,Nervous System Malformations
9244,"Malformations Veins, Galen",MeSH,Nervous System Malformations
9245,Malformations of Cerebral Cortex Development,MeSH,Nervous System Malformations
9246,Malformations of Cortical Development,MeSH,Nervous System Malformations
9247,"Malformations of Cortical Development, Group I",MeSH,Nervous System Malformations
9248,"Malformations of Cortical Development, Group II",MeSH,Nervous System Malformations
9249,"Malformations of Cortical Development, Group III",MeSH,Nervous System Malformations
9250,"Malformations, CNS Vascular",MeSH,Nervous System Malformations
9251,"Malformations, Intracranial Arteriovenous",MeSH,Central Nervous System Diseases
9252,"Malformations, Nervous System",MeSH,Nervous System Malformations
9253,"Malformations, Nervous System, Congenital",MeSH,Nervous System Malformations
9254,Malignant Schwannomatosis,ICD,Diseases of the nervous system
9255,Malignant astrocytomas of optic nerve,ICD,Diseases of the nervous system
9256,Malignant ependymomas or choroid plexus tumours of optic nerve,ICD,Diseases of the nervous system
9257,Malignant hyperthermia due to anaesthesia,ICD,Diseases of the nervous system
9258,Malignant hyperthermia or hyperpyrexia,ICD,Diseases of the nervous system
9259,Malignant neoplasm metastasis in peripheral nervous system,ICD,Diseases of the nervous system
9260,Malignant neoplasm of the optic nerve,ICD,Diseases of the nervous system
9261,Malignant neoplasm: Overlapping lesion of peripheral nerves and autonomic nervous system,ICD,Diseases of the nervous system
9262,Malignant neoplasm: Peripheral nerves of abdomen,ICD,Diseases of the nervous system
9263,"Malignant neoplasm: Peripheral nerves of arm, including shoulder",ICD,Diseases of the nervous system
9264,"Malignant neoplasm: Peripheral nerves of head, face and neck",ICD,Diseases of the nervous system
9265,"Malignant neoplasm: Peripheral nerves of leg, including hip",ICD,Diseases of the nervous system
9266,Malignant neoplasm: Peripheral nerves of pelvis,ICD,Diseases of the nervous system
9267,Malignant neoplasm: Peripheral nerves of thorax,ICD,Diseases of the nervous system
9268,"Malignant neoplasm: Peripheral nerves of trunk, unspecified",ICD,Diseases of the nervous system
9269,Malignant neoplasms of peripheral nerves or autonomic nervous system,ICD,Diseases of the nervous system
9270,Malignant nerve sheath tumours of optic nerve,ICD,Diseases of the nervous system
9271,Malignant neuroepitheliomatous neoplasms of peripheral nerves or autonomic nervous system,ICD,Diseases of the nervous system
9272,Malignant pachymeningitis,ICD,Diseases of the nervous system
9273,Malignant perineurioma,ICD,Diseases of the nervous system
9274,Mandibular Fracture,MeSH,"Trauma, Nervous System"
9275,Mandibular Fractures,MeSH,"Trauma, Nervous System"
9276,Mandibular Injuries,MeSH,"Trauma, Nervous System"
9277,Mandibular Injury,MeSH,"Trauma, Nervous System"
9278,Mandibular bone fracture due to birth injury,ICD,Diseases of the nervous system
9279,Manganese Neurotoxicity Syndrome,MeSH,Neurotoxicity Syndromes
9280,Manganese Neurotoxicity Syndromes,MeSH,Neurotoxicity Syndromes
9281,Manganese Poisoning,MeSH,Neurotoxicity Syndromes
9282,Manganese-induced Parkinsonism,ICD,Diseases of the nervous system
9283,Manic mood symptoms in primary psychotic disorders,ICD,Diseases of the nervous system
9284,"Manifestation, Cognitive",MeSH,Neurologic Manifestations
9285,"Manifestation, Neurobehavioral",MeSH,Neurologic Manifestations
9286,"Manifestation, Neurologic",MeSH,Neurologic Manifestations
9287,"Manifestation, Neurological",MeSH,Neurologic Manifestations
9288,"Manifestation, Neuromuscular",MeSH,Neurologic Manifestations
9289,"Manifestations, Cognitive",MeSH,Neurologic Manifestations
9290,"Manifestations, Neurobehavioral",MeSH,Neurologic Manifestations
9291,"Manifestations, Neurologic",MeSH,Neurologic Manifestations
9292,"Manifestations, Neurological",MeSH,Neurologic Manifestations
9293,"Manifestations, Neuromuscular",MeSH,Neurologic Manifestations
9294,Maple Syrup Urine Disease,MeSH,Central Nervous System Diseases
9295,Marburg acute multiple sclerosis,ICD,Diseases of the nervous system
9296,Marburg disease,ICD,Diseases of the nervous system
9297,Marburg virus disease,ICD,Diseases of the nervous system
9298,Marchiafava Bignami Disease,MeSH,Central Nervous System Diseases
9299,Marchiafava Bignami Syndrome,MeSH,Central Nervous System Diseases
9300,Marchiafava-Bignami Disease,MeSH,Central Nervous System Diseases
9301,Marchiafava-Bignami Syndrome,MeSH,Central Nervous System Diseases
9302,Marchiafava-Bignami syndrome,ICD,Diseases of the nervous system
9303,Marinesco-Sjögren syndrome,ICD,Diseases of the nervous system
9304,Marker X Syndrome,MeSH,Neurologic Manifestations
9305,Marker X Syndromes,MeSH,Neurologic Manifestations
9306,Martin Bell Syndrome,MeSH,Neurologic Manifestations
9307,Martin-Bell Syndrome,MeSH,Neurologic Manifestations
9308,Maternal Phenylalanine Hydroxylase Deficiency Disease,MeSH,Central Nervous System Diseases
9309,Maternal Phenylketonuria,MeSH,Central Nervous System Diseases
9310,Maternally inherited Leigh syndrome,ICD,Diseases of the nervous system
9311,Maternally inherited diabetes and deafness,ICD,Diseases of the nervous system
9312,Maternally inherited mitochondrial cardiomyopathy,ICD,Diseases of the nervous system
9313,Maternally inherited mitochondrial dystonia,ICD,Diseases of the nervous system
9314,Maternally inherited mitochondrial myopathy,ICD,Diseases of the nervous system
9315,Maxillary Fracture,MeSH,"Trauma, Nervous System"
9316,Maxillary Fractures,MeSH,"Trauma, Nervous System"
9317,Maxillofacial Injuries,MeSH,"Trauma, Nervous System"
9318,Maxillofacial Injury,MeSH,"Trauma, Nervous System"
9319,McLeod syndrome,ICD,Diseases of the nervous system
9320,Measles Inclusion Body Encephalitis,MeSH,Central Nervous System Diseases
9321,Measles complicated by encephalitis,ICD,Diseases of the nervous system
9322,Measles complicated by meningitis,ICD,Diseases of the nervous system
9323,Medial Popliteal Neuropathies,MeSH,Neuromuscular Diseases
9324,Medial Popliteal Neuropathy,MeSH,Neuromuscular Diseases
9325,Medial Tibial Stress Syndrome,MeSH,Neuromuscular Diseases
9326,Medial Tibial Stress Syndrome (MTSS),MeSH,Neuromuscular Diseases
9327,Medial Tibial Stress Syndromes,MeSH,Neuromuscular Diseases
9328,Medial temporal transtentorial herniation,ICD,Diseases of the nervous system
9329,Median Mononeuropathies,MeSH,Neuromuscular Diseases
9330,Median Mononeuropathy,MeSH,Neuromuscular Diseases
9331,Median Nerve Disease,MeSH,Neuromuscular Diseases
9332,Median Nerve Diseases,MeSH,Neuromuscular Diseases
9333,Median Nerve Neuropathies,MeSH,Neuromuscular Diseases
9334,Median Nerve Neuropathy,MeSH,Neuromuscular Diseases
9335,Median Neuropathies,MeSH,Neuromuscular Diseases
9336,Median Neuropathy,MeSH,Neuromuscular Diseases
9337,"Median Neuropathy, Carpal Tunnel",MeSH,Neuromuscular Diseases
9338,Median nerve anterior interosseous syndrome,ICD,Diseases of the nervous system
9339,Median nerve pronator syndrome,ICD,Diseases of the nervous system
9340,Medication Resistant Epilepsies,MeSH,Central Nervous System Diseases
9341,Medication Resistant Epilepsy,MeSH,Central Nervous System Diseases
9342,Medication headache associated with other medication overuse,ICD,Diseases of the nervous system
9343,Medication-overuse headache,ICD,Diseases of the nervous system
9344,Medication-overuse headache associated with multiple drug classes not individually overused,ICD,Diseases of the nervous system
9345,Mediterranean Myoclonic Epilepsy,MeSH,Central Nervous System Diseases
9346,Medulla abscess,ICD,Diseases of the nervous system
9347,Medulla oblongata stroke,ICD,Diseases of the nervous system
9348,Medullary Involvement Poliomyelitis,MeSH,Neuromuscular Diseases
9349,"Medullary Syndrome, Dorsolateral",MeSH,Central Nervous System Diseases
9350,Medullary depression,ICD,Diseases of the nervous system
9351,Megacephalies,MeSH,Nervous System Malformations
9352,Megacephaly,MeSH,Nervous System Malformations
9353,Megalencephalies,MeSH,Nervous System Malformations
9354,"Megalencephalies, Unilateral",MeSH,Nervous System Malformations
9355,Megalencephaly,MeSH|ICD,Diseases of the nervous system|Nervous System Malformations
9356,"Megalencephaly, Unilateral",MeSH,Nervous System Malformations
9357,Megalocephalies,MeSH,Nervous System Malformations
9358,Megalocephaly,MeSH,Nervous System Malformations
9359,Megaloencephalic leukoencephalopathy with subcortical cysts,ICD,Diseases of the nervous system
9360,Megalopapilla,ICD,Diseases of the nervous system
9361,Meige Syndrome,MeSH,Central Nervous System Diseases
9362,Melanodermic Leukodystrophy,MeSH,Central Nervous System Diseases
9363,Melanoma associated retinopathy,ICD,Diseases of the nervous system
9364,Melanotic neurofibroma of unspecified site,ICD,Diseases of the nervous system
9365,Melkerson Rosenthal Syndrome,MeSH,Cranial Nerve Diseases
9366,Melkerson-Rosenthal Syndrome,MeSH,Cranial Nerve Diseases
9367,Melkersson Rosenthal Miescher Syndrome,MeSH,Cranial Nerve Diseases
9368,Melkersson Rosenthal Syndrome,MeSH,Cranial Nerve Diseases
9369,Melkersson Syndrome,MeSH,Cranial Nerve Diseases
9370,Melkersson syndrome,ICD,Diseases of the nervous system
9371,Melkersson-Rosenthal Syndrome,MeSH,Cranial Nerve Diseases
9372,Melkersson-Rosenthal-Miescher Syndrome,MeSH,Cranial Nerve Diseases
9373,Memory Disorder,MeSH,Neurologic Manifestations
9374,Memory Disorders,MeSH,Neurologic Manifestations
9375,Meniere disease,ICD,Diseases of the nervous system
9376,Meningeal Carcinomatoses,MeSH,Nervous System Neoplasms
9377,Meningeal Carcinomatosis,MeSH,Nervous System Neoplasms
9378,Meningeal Herniation,MeSH,Nervous System Malformations
9379,Meningeal Herniations,MeSH,Nervous System Malformations
9380,Meningeal Neoplasm,MeSH,Nervous System Neoplasms
9381,Meningeal Neoplasms,MeSH,Nervous System Neoplasms
9382,Meningeal Tuberculoses,MeSH,Central Nervous System Diseases
9383,Meningeal Tuberculosis,MeSH,Central Nervous System Diseases
9384,Meningeal Tumor,MeSH,Nervous System Neoplasms
9385,Meningeal Tumors,MeSH,Nervous System Neoplasms
