,Neurological Disease,Disease Class,Source
1590,"Disorder, Compulsive Personality",Psychiatry and Psychology Category,MeSH
1591,"Disorders, Compulsive Personality",Psychiatry and Psychology Category,MeSH
1592,"Personality Disorders, Compulsive",Psychiatry and Psychology Category,MeSH
1593,"Personality Disorder, Compulsive",Psychiatry and Psychology Category,MeSH
1594,Obsessive-Compulsive Personality,Psychiatry and Psychology Category,MeSH
1595,Obsessive Compulsive Personality,Psychiatry and Psychology Category,MeSH
1596,Obsessive-Compulsive Personalities,Psychiatry and Psychology Category,MeSH
1597,"Personalities, Obsessive-Compulsive",Psychiatry and Psychology Category,MeSH
1598,"Personality, Obsessive-Compulsive",Psychiatry and Psychology Category,MeSH
1599,Compulsive Personality,Psychiatry and Psychology Category,MeSH
1600,Compulsive Personalities,Psychiatry and Psychology Category,MeSH
1601,"Personalities, Compulsive",Psychiatry and Psychology Category,MeSH
1602,"Personality, Compulsive",Psychiatry and Psychology Category,MeSH
1603,"Personality Disorder, Dependent",Psychiatry and Psychology Category,MeSH
1604,Dependent Personality Disorders,Psychiatry and Psychology Category,MeSH
1605,"Disorder, Dependent Personality",Psychiatry and Psychology Category,MeSH
1606,Passive-Dependent Personality,Psychiatry and Psychology Category,MeSH
1607,Passive Dependent Personality,Psychiatry and Psychology Category,MeSH
1608,"Personality, Passive-Dependent",Psychiatry and Psychology Category,MeSH
1609,"Personality, Hysterical",Psychiatry and Psychology Category,MeSH
1610,Hysterical Personality,Psychiatry and Psychology Category,MeSH
1611,Hysterical Personalities,Psychiatry and Psychology Category,MeSH
1612,"Personalities, Hysterical",Psychiatry and Psychology Category,MeSH
1613,"Personality Disorder, Histrionic",Psychiatry and Psychology Category,MeSH
1614,"Disorder, Histrionic Personality",Psychiatry and Psychology Category,MeSH
1615,"Disorders, Histrionic Personality",Psychiatry and Psychology Category,MeSH
1616,Histrionic Personality Disorders,Psychiatry and Psychology Category,MeSH
1617,"Personality Disorders, Histrionic",Psychiatry and Psychology Category,MeSH
1618,"Personality Disorder, Narcissistic",Psychiatry and Psychology Category,MeSH
1619,Malignant Narcissism,Psychiatry and Psychology Category,MeSH
1620,Malignant Narcissisms,Psychiatry and Psychology Category,MeSH
1621,"Narcissism, Malignant",Psychiatry and Psychology Category,MeSH
1622,"Narcissisms, Malignant",Psychiatry and Psychology Category,MeSH
1623,Pathological Narcissism,Psychiatry and Psychology Category,MeSH
1624,"Narcissism, Pathological",Psychiatry and Psychology Category,MeSH
1625,"Narcissisms, Pathological",Psychiatry and Psychology Category,MeSH
1626,Pathological Narcissisms,Psychiatry and Psychology Category,MeSH
1627,Paranoid Personality,Psychiatry and Psychology Category,MeSH
1628,Paranoid Personalities,Psychiatry and Psychology Category,MeSH
1629,"Personalities, Paranoid",Psychiatry and Psychology Category,MeSH
1630,"Personality, Paranoid",Psychiatry and Psychology Category,MeSH
1631,"Personality Disorder, Paranoid",Psychiatry and Psychology Category,MeSH
1632,"Disorder, Paranoid Personality",Psychiatry and Psychology Category,MeSH
1633,"Disorders, Paranoid Personality",Psychiatry and Psychology Category,MeSH
1634,Paranoid Personality Disorders,Psychiatry and Psychology Category,MeSH
1635,"Personality Disorders, Paranoid",Psychiatry and Psychology Category,MeSH
1636,Passive Aggressive Personality Disorder,Psychiatry and Psychology Category,MeSH
1637,Passive Aggressive Personality Disorders,Psychiatry and Psychology Category,MeSH
1638,Negativistic Personality Disorder,Psychiatry and Psychology Category,MeSH
1639,"Disorder, Negativistic Personality",Psychiatry and Psychology Category,MeSH
1640,"Disorders, Negativistic Personality",Psychiatry and Psychology Category,MeSH
1641,Negativistic Personality Disorders,Psychiatry and Psychology Category,MeSH
1642,"Personality Disorder, Negativistic",Psychiatry and Psychology Category,MeSH
1643,"Personality Disorders, Negativistic",Psychiatry and Psychology Category,MeSH
1644,"Personality Disorder, Passive-Aggressive",Psychiatry and Psychology Category,MeSH
1645,"Disorder, Passive-Aggressive Personality",Psychiatry and Psychology Category,MeSH
1646,"Disorders, Passive-Aggressive Personality",Psychiatry and Psychology Category,MeSH
1647,Passive-Aggressive Personality Disorders,Psychiatry and Psychology Category,MeSH
1648,"Personality Disorder, Passive Aggressive",Psychiatry and Psychology Category,MeSH
1649,"Personality Disorders, Passive-Aggressive",Psychiatry and Psychology Category,MeSH
1650,Passive-Aggressive Personality,Psychiatry and Psychology Category,MeSH
1651,Passive Aggressive Personality,Psychiatry and Psychology Category,MeSH
1652,Passive-Aggressive Personalities,Psychiatry and Psychology Category,MeSH
1653,"Personalities, Passive-Aggressive",Psychiatry and Psychology Category,MeSH
1654,"Personality, Passive-Aggressive",Psychiatry and Psychology Category,MeSH
1655,"Personality Disorders, Passive Aggressive",Psychiatry and Psychology Category,MeSH
1656,Schizoid Personality,Psychiatry and Psychology Category,MeSH
1657,"Personalities, Schizoid",Psychiatry and Psychology Category,MeSH
1658,"Personality, Schizoid",Psychiatry and Psychology Category,MeSH
1659,Schizoid Personalities,Psychiatry and Psychology Category,MeSH
1660,"Personality Disorder, Schizoid",Psychiatry and Psychology Category,MeSH
1661,"Disorder, Schizoid Personality",Psychiatry and Psychology Category,MeSH
1662,"Disorders, Schizoid Personality",Psychiatry and Psychology Category,MeSH
1663,"Personality Disorders, Schizoid",Psychiatry and Psychology Category,MeSH
1664,Schizoid Personality Disorders,Psychiatry and Psychology Category,MeSH
1665,"Personality Disorder, Schizotypal",Psychiatry and Psychology Category,MeSH
1666,"Disorder, Schizotypal Personality",Psychiatry and Psychology Category,MeSH
1667,"Disorders, Schizotypal Personality",Psychiatry and Psychology Category,MeSH
1668,"Personality Disorders, Schizotypal",Psychiatry and Psychology Category,MeSH
1669,Schizotypal Personality Disorders,Psychiatry and Psychology Category,MeSH
1670,"Schizophrenia, Latent",Psychiatry and Psychology Category,MeSH
1671,Latent Schizophrenia,Psychiatry and Psychology Category,MeSH
1672,Latent Schizophrenias,Psychiatry and Psychology Category,MeSH
1673,"Schizophrenias, Latent",Psychiatry and Psychology Category,MeSH
1674,Pseudopsychopathic Schizophrenia,Psychiatry and Psychology Category,MeSH
1675,Pseudopsychopathic Schizophrenias,Psychiatry and Psychology Category,MeSH
1676,"Schizophrenia, Pseudopsychopathic",Psychiatry and Psychology Category,MeSH
1677,"Schizophrenias, Pseudopsychopathic",Psychiatry and Psychology Category,MeSH
1678,"Schizophrenia, Borderline",Psychiatry and Psychology Category,MeSH
1679,Borderline Schizophrenia,Psychiatry and Psychology Category,MeSH
1680,Borderline Schizophrenias,Psychiatry and Psychology Category,MeSH
1681,"Schizophrenias, Borderline",Psychiatry and Psychology Category,MeSH
1682,Incipient Schizophrenia,Psychiatry and Psychology Category,MeSH
1683,Incipient Schizophrenias,Psychiatry and Psychology Category,MeSH
1684,"Schizophrenia, Incipient",Psychiatry and Psychology Category,MeSH
1685,"Schizophrenias, Incipient",Psychiatry and Psychology Category,MeSH
1686,"Schizophrenia, Pseudoneurotic",Psychiatry and Psychology Category,MeSH
1687,Pseudoneurotic Schizophrenia,Psychiatry and Psychology Category,MeSH
1688,Pseudoneurotic Schizophrenias,Psychiatry and Psychology Category,MeSH
1689,"Schizophrenias, Pseudoneurotic",Psychiatry and Psychology Category,MeSH
1690,Schizophrenia and Disorders with Psychotic Features,Psychiatry and Psychology Category,MeSH
1691,"Psychoses, Affective",Psychiatry and Psychology Category,MeSH
1692,Affective Psychoses,Psychiatry and Psychology Category,MeSH
1693,Psychotic Affective Disorders,Psychiatry and Psychology Category,MeSH
1694,"Affective Disorder, Psychotic",Psychiatry and Psychology Category,MeSH
1695,"Disorder, Psychotic Affective",Psychiatry and Psychology Category,MeSH
1696,"Disorders, Psychotic Affective",Psychiatry and Psychology Category,MeSH
1697,Psychotic Affective Disorder,Psychiatry and Psychology Category,MeSH
1698,Psychotic Mood Disorders,Psychiatry and Psychology Category,MeSH
1699,"Mood Disorder, Psychotic",Psychiatry and Psychology Category,MeSH
1700,Psychotic Mood Disorder,Psychiatry and Psychology Category,MeSH
1701,"Mood Disorders, Psychotic",Psychiatry and Psychology Category,MeSH
1702,"Depression, Reactive, Psychotic",Psychiatry and Psychology Category,MeSH
1703,"Syndrome, Capgras",Psychiatry and Psychology Category,MeSH
1704,Delusional Parasitoses,Psychiatry and Psychology Category,MeSH
1705,"Parasitoses, Delusional",Psychiatry and Psychology Category,MeSH
1706,"Parasitosis, Delusional",Psychiatry and Psychology Category,MeSH
1707,Dermatozoic Delusion,Psychiatry and Psychology Category,MeSH
1708,"Delusion, Dermatozoic",Psychiatry and Psychology Category,MeSH
1709,"Delusions, Dermatozoic",Psychiatry and Psychology Category,MeSH
1710,Dermatozoic Delusions,Psychiatry and Psychology Category,MeSH
1711,Psychogenic Parasitosis,Psychiatry and Psychology Category,MeSH
1712,"Parasitoses, Psychogenic",Psychiatry and Psychology Category,MeSH
1713,"Parasitosis, Psychogenic",Psychiatry and Psychology Category,MeSH
1714,Psychogenic Parasitoses,Psychiatry and Psychology Category,MeSH
1715,Ekbom Delusory Parasitosis,Psychiatry and Psychology Category,MeSH
1716,"Delusory Parasitoses, Ekbom",Psychiatry and Psychology Category,MeSH
1717,"Delusory Parasitosis, Ekbom",Psychiatry and Psychology Category,MeSH
1718,Ekbom Delusory Parasitoses,Psychiatry and Psychology Category,MeSH
1719,"Parasitoses, Ekbom Delusory",Psychiatry and Psychology Category,MeSH
1720,"Parasitosis, Ekbom Delusory",Psychiatry and Psychology Category,MeSH
1721,Ekbom Dermatozoic Delusion,Psychiatry and Psychology Category,MeSH
1722,"Delusion, Ekbom Dermatozoic",Psychiatry and Psychology Category,MeSH
1723,"Delusions, Ekbom Dermatozoic",Psychiatry and Psychology Category,MeSH
1724,"Dermatozoic Delusion, Ekbom",Psychiatry and Psychology Category,MeSH
1725,"Dermatozoic Delusions, Ekbom",Psychiatry and Psychology Category,MeSH
1726,Ekbom Dermatozoic Delusions,Psychiatry and Psychology Category,MeSH
1727,Ekbom Psychogenic Parasitosis,Psychiatry and Psychology Category,MeSH
1728,Ekbom Psychogenic Parasitoses,Psychiatry and Psychology Category,MeSH
1729,"Parasitoses, Ekbom Psychogenic",Psychiatry and Psychology Category,MeSH
1730,"Parasitosis, Ekbom Psychogenic",Psychiatry and Psychology Category,MeSH
1731,"Psychogenic Parasitoses, Ekbom",Psychiatry and Psychology Category,MeSH
1732,"Psychogenic Parasitosis, Ekbom",Psychiatry and Psychology Category,MeSH
1733,Delusory Parasitosis,Psychiatry and Psychology Category,MeSH
1734,Delusory Parasitoses,Psychiatry and Psychology Category,MeSH
1735,"Parasitoses, Delusory",Psychiatry and Psychology Category,MeSH
1736,"Parasitosis, Delusory",Psychiatry and Psychology Category,MeSH
1737,Ekbom Delusional Parasitosis,Psychiatry and Psychology Category,MeSH
1738,"Delusional Parasitoses, Ekbom",Psychiatry and Psychology Category,MeSH
1739,"Delusional Parasitosis, Ekbom",Psychiatry and Psychology Category,MeSH
1740,Ekbom Delusional Parasitoses,Psychiatry and Psychology Category,MeSH
1741,"Parasitoses, Ekbom Delusional",Psychiatry and Psychology Category,MeSH
1742,"Parasitosis, Ekbom Delusional",Psychiatry and Psychology Category,MeSH
1743,"Disease, Morgellons",Diseases Category,MeSH
1744,Morgellons,Diseases Category,MeSH
1745,Morgellon,Diseases Category,MeSH
1746,Morgellons Syndrome,Diseases Category,MeSH
1747,"Syndrome, Morgellons",Diseases Category,MeSH
1748,Morgellon's,Diseases Category,MeSH
1749,"Disorder, Paranoid",Psychiatry and Psychology Category,MeSH
1750,"Disorders, Paranoid",Psychiatry and Psychology Category,MeSH
1751,Paranoid Disorder,Psychiatry and Psychology Category,MeSH
1752,"Psychoses, Paranoid",Psychiatry and Psychology Category,MeSH
1753,Paranoid Psychoses,Psychiatry and Psychology Category,MeSH
1754,Paranoia,Psychiatry and Psychology Category,MeSH
1755,Paranoias,Psychiatry and Psychology Category,MeSH
1756,"Disorder, Psychotic",Psychiatry and Psychology Category,MeSH
1757,"Disorders, Psychotic",Psychiatry and Psychology Category,MeSH
1758,Psychotic Disorder,Psychiatry and Psychology Category,MeSH
1759,Psychosis,Psychiatry and Psychology Category,MeSH
1760,Psychoses,Psychiatry and Psychology Category,MeSH
1761,Schizoaffective Disorder,Psychiatry and Psychology Category,MeSH
1762,"Disorder, Schizoaffective",Psychiatry and Psychology Category,MeSH
1763,"Disorders, Schizoaffective",Psychiatry and Psychology Category,MeSH
1764,Schizoaffective Disorders,Psychiatry and Psychology Category,MeSH
1765,Schizophreniform Disorders,Psychiatry and Psychology Category,MeSH
1766,"Disorder, Schizophreniform",Psychiatry and Psychology Category,MeSH
1767,"Disorders, Schizophreniform",Psychiatry and Psychology Category,MeSH
1768,Schizophreniform Disorder,Psychiatry and Psychology Category,MeSH
1769,"Psychosis, Brief Reactive",Psychiatry and Psychology Category,MeSH
1770,Brief Reactive Psychoses,Psychiatry and Psychology Category,MeSH
1771,Brief Reactive Psychosis,Psychiatry and Psychology Category,MeSH
1772,"Psychoses, Brief Reactive",Psychiatry and Psychology Category,MeSH
1773,"Reactive Psychoses, Brief",Psychiatry and Psychology Category,MeSH
1774,"Reactive Psychosis, Brief",Psychiatry and Psychology Category,MeSH
1775,Schizophrenias,Psychiatry and Psychology Category,MeSH
1776,Schizophrenic Disorders,Psychiatry and Psychology Category,MeSH
1777,"Disorder, Schizophrenic",Psychiatry and Psychology Category,MeSH
1778,"Disorders, Schizophrenic",Psychiatry and Psychology Category,MeSH
1779,Schizophrenic Disorder,Psychiatry and Psychology Category,MeSH
1780,Dementia Praecox,Psychiatry and Psychology Category,MeSH
1781,"Dysfunction, Psychological Sexual",Psychiatry and Psychology Category,MeSH
1782,"Dysfunctions, Psychological Sexual",Psychiatry and Psychology Category,MeSH
1783,Psychological Sexual Dysfunction,Psychiatry and Psychology Category,MeSH
1784,Psychological Sexual Dysfunctions,Psychiatry and Psychology Category,MeSH
1785,"Sexual Dysfunction, Psychological",Psychiatry and Psychology Category,MeSH
1786,Psychosexual Dysfunctions,Psychiatry and Psychology Category,MeSH
1787,"Dysfunction, Psychosexual",Psychiatry and Psychology Category,MeSH
1788,"Dysfunctions, Psychosexual",Psychiatry and Psychology Category,MeSH
1789,Psychosexual Dysfunction,Psychiatry and Psychology Category,MeSH
1790,Psychosexual Disorders,Psychiatry and Psychology Category,MeSH
1791,"Disorder, Psychosexual",Psychiatry and Psychology Category,MeSH
1792,"Disorders, Psychosexual",Psychiatry and Psychology Category,MeSH
1793,Psychosexual Disorder,Psychiatry and Psychology Category,MeSH
1794,Hypoactive Sexual Desire Disorder,Psychiatry and Psychology Category,MeSH
1795,Sexual Aversion Disorder,Psychiatry and Psychology Category,MeSH
1796,"Aversion Disorders, Sexual",Psychiatry and Psychology Category,MeSH
1797,"Disorders, Sexual Aversion",Psychiatry and Psychology Category,MeSH
1798,Sexual Aversion Disorders,Psychiatry and Psychology Category,MeSH
1799,Orgasmic Disorder,Psychiatry and Psychology Category,MeSH
1800,"Disorders, Orgasmic",Psychiatry and Psychology Category,MeSH
1801,Orgasmic Disorders,Psychiatry and Psychology Category,MeSH
1802,Sexual Arousal Disorder,Psychiatry and Psychology Category,MeSH
1803,"Arousal Disorders, Sexual",Psychiatry and Psychology Category,MeSH
1804,"Disorders, Sexual Arousal",Psychiatry and Psychology Category,MeSH
1805,Sexual Arousal Disorders,Psychiatry and Psychology Category,MeSH
1806,Frigidity,Psychiatry and Psychology Category,MeSH
1807,"Dysfunction, Erectile",Diseases Category,MeSH
1808,Male Impotence,Diseases Category,MeSH
1809,"Impotence, Male",Diseases Category,MeSH
1810,Male Sexual Impotence,Diseases Category,MeSH
1811,"Impotence, Male Sexual",Diseases Category,MeSH
1812,"Sexual Impotence, Male",Diseases Category,MeSH
1813,Impotence,Diseases Category,MeSH
1814,Gender Identity Disorder,Psychiatry and Psychology Category,MeSH
1815,"Disorder, Gender Identity",Psychiatry and Psychology Category,MeSH
1816,Gender Identity Disorders,Psychiatry and Psychology Category,MeSH
1817,"Identity Disorder, Gender",Psychiatry and Psychology Category,MeSH
1818,"Ejaculation, Premature",Diseases Category,MeSH
1819,"Ejaculations, Premature",Diseases Category,MeSH
1820,Premature Ejaculations,Diseases Category,MeSH
1821,Ejaculatio Praecox,Diseases Category,MeSH
1822,Ejaculatio Praecoxs,Diseases Category,MeSH
1823,"Praecox, Ejaculatio",Diseases Category,MeSH
1824,"Praecoxs, Ejaculatio",Diseases Category,MeSH
1825,"Disorder, Sleep Wake",Diseases Category,MeSH
1826,"Disorders, Sleep Wake",Diseases Category,MeSH
1827,Sleep Wake Disorder,Diseases Category,MeSH
1828,"Wake Disorder, Sleep",Diseases Category,MeSH
1829,"Wake Disorders, Sleep",Diseases Category,MeSH
1830,Subwakefullness Syndrome,Diseases Category,MeSH
1831,Subwakefullness Syndromes,Diseases Category,MeSH
1832,"Syndrome, Subwakefullness",Diseases Category,MeSH
1833,"Syndromes, Subwakefullness",Diseases Category,MeSH
1834,Sleep Disorders,Diseases Category,MeSH
1835,"Disorder, Sleep",Diseases Category,MeSH
1836,"Disorders, Sleep",Diseases Category,MeSH
1837,Sleep Disorder,Diseases Category,MeSH
1838,Sleep-Related Neurogenic Tachypnea,Diseases Category,MeSH
1839,"Neurogenic Tachypnea, Sleep-Related",Diseases Category,MeSH
1840,"Neurogenic Tachypneas, Sleep-Related",Diseases Category,MeSH
1841,Sleep Related Neurogenic Tachypnea,Diseases Category,MeSH
1842,Sleep-Related Neurogenic Tachypneas,Diseases Category,MeSH
1843,"Tachypnea, Sleep-Related Neurogenic",Diseases Category,MeSH
1844,"Tachypneas, Sleep-Related Neurogenic",Diseases Category,MeSH
1845,Long Sleeper Syndrome,Diseases Category,MeSH
1846,Long Sleeper Syndromes,Diseases Category,MeSH
1847,"Sleeper Syndrome, Long",Diseases Category,MeSH
1848,"Sleeper Syndromes, Long",Diseases Category,MeSH
1849,"Syndrome, Long Sleeper",Diseases Category,MeSH
1850,"Syndromes, Long Sleeper",Diseases Category,MeSH
1851,Short Sleeper Syndrome,Diseases Category,MeSH
1852,Short Sleeper Syndromes,Diseases Category,MeSH
1853,"Sleeper Syndrome, Short",Diseases Category,MeSH
1854,"Sleeper Syndromes, Short",Diseases Category,MeSH
1855,"Syndrome, Short Sleeper",Diseases Category,MeSH
1856,"Syndromes, Short Sleeper",Diseases Category,MeSH
1857,Short Sleep Phenotype,Diseases Category,MeSH
1858,"Phenotype, Short Sleep",Diseases Category,MeSH
1859,"Phenotypes, Short Sleep",Diseases Category,MeSH
1860,Short Sleep Phenotypes,Diseases Category,MeSH
1861,"Sleep Phenotypes, Short",Diseases Category,MeSH
1862,Dyssomnia,Diseases Category,MeSH
1863,"Sleep Disorders, Extrinsic",Diseases Category,MeSH
1864,Extrinsic Sleep Disorder,Diseases Category,MeSH
1865,Extrinsic Sleep Disorders,Diseases Category,MeSH
1866,"Sleep Disorder, Extrinsic",Diseases Category,MeSH
1867,Limit-Setting Sleep Disorder,Diseases Category,MeSH
1868,Limit Setting Sleep Disorder,Diseases Category,MeSH
1869,Limit-Setting Sleep Disorders,Diseases Category,MeSH
1870,"Sleep Disorders, Limit-Setting",Diseases Category,MeSH
1871,"Sleep Disorder, Limit-Setting",Diseases Category,MeSH
1872,"Sleep Disorder, Limit Setting",Diseases Category,MeSH
1873,Nocturnal Eating-Drinking Syndrome,Diseases Category,MeSH
1874,"Eating-Drinking Syndrome, Nocturnal",Diseases Category,MeSH
1875,"Eating-Drinking Syndromes, Nocturnal",Diseases Category,MeSH
1876,Nocturnal Eating Drinking Syndrome,Diseases Category,MeSH
1877,Nocturnal Eating-Drinking Syndromes,Diseases Category,MeSH
1878,"Syndrome, Nocturnal Eating-Drinking",Diseases Category,MeSH
1879,"Syndromes, Nocturnal Eating-Drinking",Diseases Category,MeSH
1880,Adjustment Sleep Disorder,Diseases Category,MeSH
1881,Adjustment Sleep Disorders,Diseases Category,MeSH
1882,"Sleep Disorders, Adjustment",Diseases Category,MeSH
1883,"Sleep Disorder, Adjustment",Diseases Category,MeSH
1884,Environmental Sleep Disorder,Diseases Category,MeSH
1885,Environmental Sleep Disorders,Diseases Category,MeSH
1886,"Sleep Disorders, Environmental",Diseases Category,MeSH
1887,"Sleep Disorder, Environmental",Diseases Category,MeSH
1888,Parasomnia,Diseases Category,MeSH
1889,Sleep-Related Abnormal Swallowing Syndrome,Diseases Category,MeSH
1890,Sleep Related Abnormal Swallowing Syndrome,Diseases Category,MeSH
1891,Sleep Drunkenness,Diseases Category,MeSH
1892,"Drunkenness, Sleep",Diseases Category,MeSH
1893,"Drunkennesses, Sleep",Diseases Category,MeSH
1894,Sleep Drunkennesses,Diseases Category,MeSH
1895,"Neonatal Sleep Myoclonus, Benign",Diseases Category,MeSH
1896,"Myoclonus, Benign Neonatal Sleep",Diseases Category,MeSH
1897,Benign Neonatal Sleep Myoclonus,Diseases Category,MeSH
1898,"Sensory Paroxysms, Sleep",Diseases Category,MeSH
1899,"Paroxysm, Sleep Sensory",Diseases Category,MeSH
1900,"Paroxysms, Sleep Sensory",Diseases Category,MeSH
1901,"Sensory Paroxysm, Sleep",Diseases Category,MeSH
1902,Sleep Sensory Paroxysm,Diseases Category,MeSH
1903,Sleep Sensory Paroxysms,Diseases Category,MeSH
1904,"Disorder, Somatoform",Psychiatry and Psychology Category,MeSH
1905,Somatoform Disorder,Psychiatry and Psychology Category,MeSH
1906,Medically Unexplained Syndromes,Psychiatry and Psychology Category,MeSH
1907,Medically Unexplained Syndrome,Psychiatry and Psychology Category,MeSH
1908,"Syndrome, Medically Unexplained",Psychiatry and Psychology Category,MeSH
1909,"Unexplained Syndrome, Medically",Psychiatry and Psychology Category,MeSH
1910,Somatization Disorder,Psychiatry and Psychology Category,MeSH
1911,Somatization Disorders,Psychiatry and Psychology Category,MeSH
1912,Briquet Syndrome,Psychiatry and Psychology Category,MeSH
1913,"Syndrome, Briquet",Psychiatry and Psychology Category,MeSH
1914,Pain Disorder,Psychiatry and Psychology Category,MeSH
1915,Body Dysmorphic Disorder,Psychiatry and Psychology Category,MeSH
1916,"Disorder, Body Dysmorphic",Psychiatry and Psychology Category,MeSH
1917,"Disorders, Body Dysmorphic",Psychiatry and Psychology Category,MeSH
1918,"Dysmorphic Disorder, Body",Psychiatry and Psychology Category,MeSH
1919,"Dysmorphic Disorders, Body",Psychiatry and Psychology Category,MeSH
1920,Body Image Disfunction,Psychiatry and Psychology Category,MeSH
1921,Body Image Disfunctions,Psychiatry and Psychology Category,MeSH
1922,"Disfunction, Body Image",Psychiatry and Psychology Category,MeSH
1923,"Disfunctions, Body Image",Psychiatry and Psychology Category,MeSH
1924,"Image Disfunction, Body",Psychiatry and Psychology Category,MeSH
1925,"Image Disfunctions, Body",Psychiatry and Psychology Category,MeSH
1926,Body Image Disorders,Psychiatry and Psychology Category,MeSH
1927,Body Image Disorder,Psychiatry and Psychology Category,MeSH
1928,"Disorders, Body Image",Psychiatry and Psychology Category,MeSH
1929,"Image Disorders, Body",Psychiatry and Psychology Category,MeSH
1930,BIID,Psychiatry and Psychology Category,MeSH
1931,Xenomelia,Psychiatry and Psychology Category,MeSH
1932,Xenomelias,Psychiatry and Psychology Category,MeSH
1933,Apotemnophilia,Psychiatry and Psychology Category,MeSH
1934,Apotemnophilias,Psychiatry and Psychology Category,MeSH
1935,Amputee Identity Disorder,Psychiatry and Psychology Category,MeSH
1936,Amputee Identity Disorders,Psychiatry and Psychology Category,MeSH
1937,"Disorders, Amputee Identity",Psychiatry and Psychology Category,MeSH
1938,Foreign Limb Syndrome,Psychiatry and Psychology Category,MeSH
1939,Foreign Limb Syndromes,Psychiatry and Psychology Category,MeSH
1940,"Limb Syndrome, Foreign",Psychiatry and Psychology Category,MeSH
1941,"Limb Syndromes, Foreign",Psychiatry and Psychology Category,MeSH
1942,Body Integrity Disorder,Psychiatry and Psychology Category,MeSH
1943,Body Integrity Disorders,Psychiatry and Psychology Category,MeSH
1944,"Disorder, Body Integrity",Psychiatry and Psychology Category,MeSH
1945,"Disorders, Body Integrity",Psychiatry and Psychology Category,MeSH
1946,"Integrity Disorder, Body",Psychiatry and Psychology Category,MeSH
1947,"Integrity Disorders, Body",Psychiatry and Psychology Category,MeSH
1948,Conversion Disorders,Psychiatry and Psychology Category,MeSH
1949,"Hysteria, Conversion",Psychiatry and Psychology Category,MeSH
1950,Conversion Hysteria,Psychiatry and Psychology Category,MeSH
1951,Conversion Reaction,Psychiatry and Psychology Category,MeSH
1952,Functional Movement Disorder,Psychiatry and Psychology Category,MeSH
1953,"Disorder, Functional Movement",Psychiatry and Psychology Category,MeSH
1954,Functional Movement Disorders,Psychiatry and Psychology Category,MeSH
1955,"Movement Disorder, Functional",Psychiatry and Psychology Category,MeSH
1956,"Movement Disorders, Functional",Psychiatry and Psychology Category,MeSH
1957,Functional Neurological Disorder,Psychiatry and Psychology Category,MeSH
1958,"Disorder, Functional Neurological",Psychiatry and Psychology Category,MeSH
1959,Functional Neurological Disorders,Psychiatry and Psychology Category,MeSH
1960,"Neurological Disorder, Functional",Psychiatry and Psychology Category,MeSH
1961,"Neurological Disorders, Functional",Psychiatry and Psychology Category,MeSH
1962,Conversion Neurosis,Psychiatry and Psychology Category,MeSH
1963,Conversion Neuroses,Psychiatry and Psychology Category,MeSH
1964,"Neuroses, Conversion",Psychiatry and Psychology Category,MeSH
1965,"Neurosis, Conversion",Psychiatry and Psychology Category,MeSH
1966,Astasia-Abasia,Psychiatry and Psychology Category,MeSH
1967,Astasia Abasia,Psychiatry and Psychology Category,MeSH
1968,"Disorders, Factitious",Psychiatry and Psychology Category,MeSH
1969,Ganser Syndrome,Psychiatry and Psychology Category,MeSH
1970,"Syndrome, Ganser",Psychiatry and Psychology Category,MeSH
1971,Pseudodementia,Psychiatry and Psychology Category,MeSH
1972,Pseudopsychosis,Psychiatry and Psychology Category,MeSH
1973,Hypochondriacal Neuroses,Psychiatry and Psychology Category,MeSH
1974,"Neurosis, Hypochondriacal",Psychiatry and Psychology Category,MeSH
1975,Hypochondriacal Neurosis,Psychiatry and Psychology Category,MeSH
1976,"Neuroses, Neurasthenic",Psychiatry and Psychology Category,MeSH
1977,Bodily Distress Disorder,Psychiatry and Psychology Category,MeSH
1978,Bodily Distress Disorders,Psychiatry and Psychology Category,MeSH
1979,"Disorder, Bodily Distress",Psychiatry and Psychology Category,MeSH
1980,"Distress Disorder, Bodily",Psychiatry and Psychology Category,MeSH
1981,Neurasthenic Neuroses,Psychiatry and Psychology Category,MeSH
1982,Substance Related Disorder,Diseases Category,MeSH
1983,"Disorder, Substance Related",Diseases Category,MeSH
1984,"Disorders, Substance Related",Diseases Category,MeSH
1985,"Related Disorder, Substance",Diseases Category,MeSH
1986,"Related Disorders, Substance",Diseases Category,MeSH
1987,Drug Use Disorders,Diseases Category,MeSH
1988,Drug Use Disorder,Diseases Category,MeSH
1989,"Disorder, Drug Use",Diseases Category,MeSH
1990,"Organic Mental Disorders, Substance-Induced",Diseases Category,MeSH
1991,"Organic Mental Disorders, Substance Induced",Diseases Category,MeSH
1992,Substance Abuse,Diseases Category,MeSH
1993,"Abuse, Substance",Diseases Category,MeSH
1994,Substance Abuses,Diseases Category,MeSH
1995,Substance Dependence,Diseases Category,MeSH
1996,"Dependence, Substance",Diseases Category,MeSH
1997,Substance Addiction,Diseases Category,MeSH
1998,"Addiction, Substance",Diseases Category,MeSH
1999,Chemical Dependence,Diseases Category,MeSH
2000,Chemical Dependences,Diseases Category,MeSH
2001,"Dependence, Chemical",Diseases Category,MeSH
2002,"Dependences, Chemical",Diseases Category,MeSH
2003,Drug Dependence,Diseases Category,MeSH
2004,"Dependence, Drug",Diseases Category,MeSH
2005,Drug Addiction,Diseases Category,MeSH
2006,"Addiction, Drug",Diseases Category,MeSH
